"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Outside London","45","45","31420","21260"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","London","10","10","50110","53360"
"In post","2022","Analysis","Department of Health and Social Care","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Economics","London","70","70","48360","53360"
"In post","2022","Analysis","Department of Health and Social Care","Economics","Outside London","15","15","45260","49530"
"In post","2022","Analysis","Department of Health and Social Care","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Medicine","London","10","10","53280","53360"
"In post","2022","Analysis","Department of Health and Social Care","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Operational Delivery","London","20","20","45900","53100"
"In post","2022","Analysis","Department of Health and Social Care","Operational Delivery","Outside London","15","15","49650","51480"
"In post","2022","Analysis","Department of Health and Social Care","Other","London","35","35","50150","53620"
"In post","2022","Analysis","Department of Health and Social Care","Policy","London","140","135","53940","53360"
"In post","2022","Analysis","Department of Health and Social Care","Policy","Outside London","25","20","46960","49530"
"In post","2022","Analysis","Department of Health and Social Care","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Science and Engineering","London","25","25","62090","66230"
"In post","2022","Analysis","Department of Health and Social Care","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Statistics","London","20","20","48930","53360"
"In post","2022","Analysis","Department of Health and Social Care","Statistics","Outside London","25","25","48030","50070"
"In post","2022","Analysis","Estyn","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","London","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Intelligence Analysis","Outside London","15","15","37060","37350"
"In post","2022","Analysis","Food Standards Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","London","10","10","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Social Research","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Operational Research","London","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Finance","London","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","Finance","Outside London","15","15","40410","38550"
"In post","2022","Analysis","HM Revenue and Customs","Economics","London","75","75","51540","43430"
"In post","2022","Analysis","HM Revenue and Customs","Economics","Outside London","45","40","38900","33370"
"In post","2022","Analysis","HM Revenue and Customs","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Operational Delivery","London","15","15","38950","33440"
"In post","2022","Analysis","HM Revenue and Customs","Operational Delivery","Outside London","15","10","37430","35980"
"In post","2022","Analysis","HM Revenue and Customs","Operational Research","London","40","40","48220","43430"
"In post","2022","Analysis","HM Revenue and Customs","Operational Research","Outside London","65","60","44310","40520"
"In post","2022","Analysis","HM Revenue and Customs","Social Research","London","65","60","50350","43810"
"In post","2022","Analysis","HM Revenue and Customs","Social Research","Outside London","50","45","43150","40520"
"In post","2022","Analysis","HM Revenue and Customs","Statistics","London","160","155","50340","43810"
"In post","2022","Analysis","HM Revenue and Customs","Statistics","Outside London","190","185","41710","40180"
"In post","2022","Analysis","HM Revenue and Customs","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Tax","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Unknown","London","35","35","51400","51300"
"In post","2022","Analysis","HM Revenue and Customs","Unknown","Outside London","25","25","45270","40520"
"In post","2022","Analysis","HM Treasury","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Economics","London","35","35","58960","53590"
"In post","2022","Analysis","HM Treasury","Operational Delivery","London","10","10","60090","52090"
"In post","2022","Analysis","HM Treasury","Policy","London","10","10","79980","65000"
"In post","2022","Analysis","Ministry of Defence","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Geography","Outside London","55","55","31070","33000"
"In post","2022","Analysis","Ministry of Defence","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Intelligence Analysis","Outside London","20","20","30150","29230"
"In post","2022","Analysis","Ministry of Defence","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Operational Delivery","Outside London","20","20","41360","38070"
"In post","2022","Analysis","Ministry of Defence","Operational Research","Outside London","275","265","43180","47010"
"In post","2022","Analysis","Ministry of Defence","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Science and Engineering","Outside London","170","160","38510","38070"
"In post","2022","Analysis","Ministry of Defence","Statistics","London","100","100","45200","45000"
"In post","2022","Analysis","Ministry of Defence","Statistics","Outside London","150","140","37690","36000"
"In post","2022","Analysis","Ministry of Defence","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Digital, Data and Technology","London","15","15","48300","41820"
"In post","2022","Analysis","Ministry of Justice","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Economics","London","50","50","48980","41750"
"In post","2022","Analysis","Ministry of Justice","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Finance","London","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Operational Delivery","London","80","75","45020","41880"
"In post","2022","Analysis","Ministry of Justice","Operational Delivery","Outside London","40","35","37040","36050"
"In post","2022","Analysis","Ministry of Justice","Operational Research","London","100","100","50270","47430"
"In post","2022","Analysis","Ministry of Justice","Operational Research","Outside London","10","10","38370","36050"
"In post","2022","Analysis","Ministry of Justice","Policy","London","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Social Research","London","70","70","52490","58130"
"In post","2022","Analysis","Ministry of Justice","Social Research","Outside London","10","10","42870","40630"
"In post","2022","Analysis","Ministry of Justice","Statistics","London","120","115","48290","43640"
"In post","2022","Analysis","Ministry of Justice","Statistics","Outside London","25","25","36280","30450"
"In post","2022","Analysis","Ministry of Justice","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","London","15","15","48840","42660"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Social Research","Outside London","25","25","38540","32010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","London","10","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Statistics","Outside London","80","75","39060","32010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Economics","London","30","30","46140","46250"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Economics","Outside London","10","10","47770","45760"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Finance","London","15","15","54750","52780"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Operational Delivery","Outside London","10","10","32570","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Other","London","55","55","40520","33400"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Other","Outside London","30","30","36760","33740"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Policy","London","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Science and Engineering","London","10","10","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Economics","London","15","15","62020","63340"
"In post","2022","Analysis","Office of Rail and Road","Economics","Outside London","10","10","50250","51310"
"In post","2022","Analysis","Office of Rail and Road","Statistics","London","15","10","49830","48700"
"In post","2022","Analysis","Office of Rail and Road","Statistics","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Scottish Government","Statistics","Outside London","25","25","38020","37710"
"In post","2022","Analysis","UK Export Finance","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Economics","London","5","5","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Knowledge and Information Management","London","20","20","50180","44760"
"In post","2022","Analysis","UK Statistics Authority","Economics","London","30","30","47460","39840"
"In post","2022","Analysis","UK Statistics Authority","Economics","Outside London","150","145","34130","30710"
"In post","2022","Analysis","UK Statistics Authority","Operational Delivery","London","25","25","34520","33710"
"In post","2022","Analysis","UK Statistics Authority","Operational Delivery","Outside London","505","475","32020","30210"
"In post","2022","Analysis","UK Statistics Authority","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","Operational Research","Outside London","25","20","34880","30710"
"In post","2022","Analysis","UK Statistics Authority","Social Research","London","70","70","38950","33710"
"In post","2022","Analysis","UK Statistics Authority","Social Research","Outside London","590","560","38810","38340"
"In post","2022","Analysis","UK Statistics Authority","Statistics","London","85","80","49290","41340"
"In post","2022","Analysis","UK Statistics Authority","Statistics","Outside London","500","485","42450","38340"
"In post","2022","Analysis","Water Services Regulation Authority","Economics","London","30","30","63720","60150"
"In post","2022","Analysis","Water Services Regulation Authority","Economics","Outside London","10","10","54190","47810"
"In post","2022","Analysis","Water Services Regulation Authority","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Government","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","Commercial","London","10","10","38800","34500"
"In post","2022","Commercial","Attorney General's Departments","Commercial","Outside London","30","30","38920","38180"
"In post","2022","Commercial","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Commercial","London","15","15","38580","39320"
"In post","2022","Commercial","Cabinet Office","Commercial","Outside London","335","325","35800","33620"
"In post","2022","Commercial","Cabinet Office","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cabinet Office","Policy","London","10","10","56120","57450"
"In post","2022","Commercial","Cabinet Office","Unknown","London","820","810","73350","65640"
"In post","2022","Commercial","Cabinet Office","Unknown","Outside London","765","755","66780","64500"
"In post","2022","Commercial","Cabinet Office","Unknown","Unknown","65","60","53190","53110"
"In post","2022","Commercial","Chancellor's other departments","Commercial","London","5","5","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Commercial","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chancellor's other departments","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Commercial","London","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","London","10","10","46220","43750"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","235","225","43750","45150"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Policy","London","15","15","49840","40050"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","Project Delivery","London","15","15","44790","41550"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Commercial","London","25","25","43940","39020"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Commercial","Outside London","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Education","Commercial","London","15","15","53450","54170"
"In post","2022","Commercial","Department for Education","Commercial","Outside London","240","235","37760","36500"
"In post","2022","Commercial","Department for Education","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Education","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Commercial","London","15","15","35470","36910"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Commercial","Outside London","140","135","37460","36520"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","40","35","33300","31000"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","20","15","28860","26730"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Commercial","London","25","25","37670","38160"
