"Status","Year","Age","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Female","20","20","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Female","100","100","23290","23140"
"In post","2022","16-19","HM Prison and Probation Service","Male","65","65","23180","23140"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Female","95","95","21980","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Male","105","95","21920","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","16-19","Home Office","Female","30","30","23640","21680"
"In post","2022","16-19","Home Office","Male","25","25","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Female","10","10","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Male","25","25","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","Female","5","5","[c]","[c]"
"In post","2022","16-19","Rural Payments Agency","Male","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Female","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Male","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Male","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Female","10","10","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Male","10","10","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Male","15","15","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Female","10","10","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Male","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Female","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Male","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Male","15","15","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Female","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Male","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Female","65","60","27460","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Male","35","35","27190","24250"
"In post","2022","20-29","Animal and Plant Health Agency","Female","345","340","25590","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Male","185","185","25700","24920"
"In post","2022","20-29","Attorney General's Office","Female","5","5","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Female","1940","1935","33910","29250"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Male","1425","1420","34910","32000"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Female","60","60","25970","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Male","55","55","26270","25460"
"In post","2022","20-29","Charity Commission","Female","50","45","25840","24440"
"In post","2022","20-29","Charity Commission","Male","25","20","[c]","[c]"
"In post","2022","20-29","Companies House","Female","80","80","25960","24500"
"In post","2022","20-29","Companies House","Male","80","80","25680","21120"
"In post","2022","20-29","Competition and Markets Authority","Female","85","85","38610","33610"
"In post","2022","20-29","Competition and Markets Authority","Male","65","65","39760","33610"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Female","20","20","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Male","15","15","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Female","75","75","31170","30420"
"In post","2022","20-29","Crown Commercial Service","Male","75","75","30550","30420"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Female","390","380","28120","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Male","165","165","28390","27230"
"In post","2022","20-29","Crown Prosecution Service","Female","775","765","27740","25480"
"In post","2022","20-29","Crown Prosecution Service","Male","265","265","27940","25480"
"In post","2022","20-29","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","Male","30","30","21170","20550"
"In post","2022","20-29","Defence Equipment and Support","Female","705","695","26750","26000"
"In post","2022","20-29","Defence Equipment and Support","Male","1195","1195","27410","27540"
"In post","2022","20-29","Defence Science and Technology Laboratory","Female","355","350","29690","29230"
"In post","2022","20-29","Defence Science and Technology Laboratory","Male","710","705","29560","29230"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","1045","1045","40440","40050"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","990","990","41670","40050"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Female","430","425","38160","34020"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Male","340","340","39470","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","Female","895","890","36320","33190"
"In post","2022","20-29","Department for Education (excl. agencies)","Male","495","490","35300","32940"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","830","825","34850","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","630","625","34530","32560"
"In post","2022","20-29","Department for International Trade","Female","530","530","38000","34920"
"In post","2022","20-29","Department for International Trade","Male","495","495","38250","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","505","500","37750","33210"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","460","460","38090","33990"
"In post","2022","20-29","Department for Transport (excl. agencies)","Female","480","480","38620","34710"
"In post","2022","20-29","Department for Transport (excl. agencies)","Male","465","460","39450","35060"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Female","6130","5955","26940","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Male","4600","4575","26900","27570"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Female","840","835","37970","32790"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Male","410","405","38070","32790"
"In post","2022","20-29","Disclosure Scotland","Female","35","30","24390","21050"
"In post","2022","20-29","Disclosure Scotland","Male","35","35","23130","21050"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","Female","425","390","22160","21840"
"In post","2022","20-29","Driver and Vehicle Licensing Agency","Male","365","360","23730","21840"
"In post","2022","20-29","Driver and Vehicle Standards Agency","Female","130","125","25440","26130"
"In post","2022","20-29","Driver and Vehicle Standards Agency","Male","175","170","26650","26130"
"In post","2022","20-29","Education and Skills Funding Agency","Female","180","180","32410","29360"
"In post","2022","20-29","Education and Skills Funding Agency","Male","155","155","33700","30200"
"In post","2022","20-29","Education Scotland","Female","10","10","[c]","[c]"
"In post","2022","20-29","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","FCDO Services","Female","50","50","27660","26010"
"In post","2022","20-29","FCDO Services","Male","100","100","27310","26560"
"In post","2022","20-29","Food Standards Agency","Female","95","95","32930","30810"
"In post","2022","20-29","Food Standards Agency","Male","40","40","31100","30350"
"In post","2022","20-29","Food Standards Scotland","Female","25","25","[c]","[c]"
"In post","2022","20-29","Food Standards Scotland","Male","20","20","[c]","[c]"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Female","650","650","35680","34710"
"In post","2022","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","Male","450","450","35290","34190"
"In post","2022","20-29","Forestry and Land Scotland","Female","45","45","27880","25940"
"In post","2022","20-29","Forestry and Land Scotland","Male","50","50","26440","25940"
"In post","2022","20-29","Government Actuary's Department","Female","20","20","[c]","[c]"
"In post","2022","20-29","Government Actuary's Department","Male","40","40","38820","35710"
"In post","2022","20-29","Government Internal Audit Agency","Female","20","20","[c]","[c]"
"In post","2022","20-29","Government Internal Audit Agency","Male","10","10","[c]","[c]"
"In post","2022","20-29","Government Legal Department","Female","230","225","36590","32730"
"In post","2022","20-29","Government Legal Department","Male","135","130","35870","30720"
"In post","2022","20-29","Government Property Agency","Female","25","25","[c]","[c]"
"In post","2022","20-29","Government Property Agency","Male","25","25","[c]","[c]"
"In post","2022","20-29","Health and Safety Executive","Female","190","185","28640","26370"
"In post","2022","20-29","Health and Safety Executive","Male","125","125","29170","26370"
"In post","2022","20-29","HM Courts and Tribunals Service","Female","1465","1420","24500","21490"
"In post","2022","20-29","HM Courts and Tribunals Service","Male","695","690","24840","23720"
"In post","2022","20-29","HM Land Registry","Female","650","635","25870","25660"
"In post","2022","20-29","HM Land Registry","Male","475","470","26470","27130"
"In post","2022","20-29","HM Prison and Probation Service","Female","7595","7460","25890","24730"
"In post","2022","20-29","HM Prison and Probation Service","Male","4420","4400","26360","25700"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","Female","5630","5480","28620","26590"
"In post","2022","20-29","HM Revenue and Customs (excl. agencies)","Male","5880","5820","28980","26820"
"In post","2022","20-29","HM Treasury (excl. agencies)","Female","475","470","38040","32320"
"In post","2022","20-29","HM Treasury (excl. agencies)","Male","505","500","39230","33570"
"In post","2022","20-29","Home Office","Female","3030","2970","29590","25170"
"In post","2022","20-29","Home Office","Male","2515","2490","29150","24890"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","Female","20","20","[c]","[c]"
"In post","2022","20-29","Institute for Apprenticeships and Technical Education","Male","10","10","[c]","[c]"
"In post","2022","20-29","Intellectual Property Office","Female","160","155","28050","24030"
"In post","2022","20-29","Intellectual Property Office","Male","175","175","31080","30410"
"In post","2022","20-29","Legal Aid Agency","Female","75","70","23040","20970"
"In post","2022","20-29","Legal Aid Agency","Male","40","35","22720","20970"
"In post","2022","20-29","Maritime and Coastguard Agency","Female","80","80","28570","26840"
"In post","2022","20-29","Maritime and Coastguard Agency","Male","105","105","30150","26840"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","Female","90","90","34500","32640"
"In post","2022","20-29","Medicines and Healthcare Products Regulatory Agency","Male","55","55","30560","27510"
"In post","2022","20-29","Met Office","Female","160","155","28730","30930"
"In post","2022","20-29","Met Office","Male","160","160","27730","25780"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Female","1735","1715","30240","27200"
"In post","2022","20-29","Ministry of Defence (excl. agencies)","Male","1995","1985","30130","27570"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","Female","700","700","36150","34260"
"In post","2022","20-29","Ministry of Justice (excl. agencies)","Male","410","405","37000","34260"
"In post","2022","20-29","National Crime Agency","Female","545","545","33330","32770"
"In post","2022","20-29","National Crime Agency","Male","325","325","34080","34060"
"In post","2022","20-29","National Infrastructure Commission","Female","10","10","[c]","[c]"
"In post","2022","20-29","National Infrastructure Commission","Male","5","5","[c]","[c]"
"In post","2022","20-29","National Records of Scotland","Female","20","20","[c]","[c]"
"In post","2022","20-29","National Records of Scotland","Male","25","25","[c]","[c]"
"In post","2022","20-29","National Savings and Investments","Female","5","5","[c]","[c]"
"In post","2022","20-29","National Savings and Investments","Male","15","15","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","Female","20","20","[c]","[c]"
"In post","2022","20-29","Northern Ireland Office","Male","20","20","[c]","[c]"
"In post","2022","20-29","Office for Budget Responsibility","Female","5","5","[c]","[c]"
"In post","2022","20-29","Office for Budget Responsibility","Male","10","10","[c]","[c]"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","Female","85","85","29100","25880"
"In post","2022","20-29","Office for Standards in Education, Children's Services and Skills","Male","45","45","28040","25880"
"In post","2022","20-29","Office of Gas and Electricity Markets","Female","185","185","30690","30000"
"In post","2022","20-29","Office of Gas and Electricity Markets","Male","190","190","30490","29000"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","Female","20","20","[c]","[c]"
"In post","2022","20-29","Office of Qualifications and Examinations Regulation","Male","15","15","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","Female","15","15","[c]","[c]"
"In post","2022","20-29","Office of Rail and Road","Male","20","20","[c]","[c]"
"In post","2022","20-29","Office of the Public Guardian","Female","175","170","22550","20970"
"In post","2022","20-29","Office of the Public Guardian","Male","130","125","22010","20970"
"In post","2022","20-29","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","25","25","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","10","10","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","Female","10","10","[c]","[c]"
"In post","2022","20-29","Office of the Secretary of State for Wales","Male","5","5","[c]","[c]"
"In post","2022","20-29","Planning Inspectorate","Female","35","35","24190","21270"
"In post","2022","20-29","Planning Inspectorate","Male","35","35","24600","26050"
"In post","2022","20-29","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Queen Elizabeth II Centre","Male","5","5","[c]","[c]"
"In post","2022","20-29","Registers of Scotland","Female","85","85","28470","29770"
"In post","2022","20-29","Registers of Scotland","Male","85","85","28650","25050"
"In post","2022","20-29","Revenue Scotland","Female","10","10","[c]","[c]"
"In post","2022","20-29","Revenue Scotland","Male","5","5","[c]","[c]"
"In post","2022","20-29","Royal Fleet Auxiliary","Female","60","60","25760","28680"
"In post","2022","20-29","Royal Fleet Auxiliary","Male","305","305","28740","28980"
"In post","2022","20-29","Rural Payments Agency","Female","215","210","22730","21300"
"In post","2022","20-29","Rural Payments Agency","Male","185","185","22860","21300"
"In post","2022","20-29","Scottish Courts and Tribunals Service","Female","205","200","24740","23780"
"In post","2022","20-29","Scottish Courts and Tribunals Service","Male","95","90","25670","23780"
"In post","2022","20-29","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Scottish Fiscal Commission","Male","10","10","[c]","[c]"
"In post","2022","20-29","Scottish Forestry","Female","10","10","[c]","[c]"
"In post","2022","20-29","Scottish Forestry","Male","5","5","[c]","[c]"
"In post","2022","20-29","Scottish Government (excl. agencies)","Female","955","945","31420","31280"
"In post","2022","20-29","Scottish Government (excl. agencies)","Male","640","635","31830","31540"
"In post","2022","20-29","Scottish Prison Service","Female","395","380","26270","23330"
"In post","2022","20-29","Scottish Prison Service","Male","300","300","26350","23330"
"In post","2022","20-29","Scottish Public Pensions Agency","Female","15","15","[c]","[c]"
"In post","2022","20-29","Scottish Public Pensions Agency","Male","15","15","[c]","[c]"
"In post","2022","20-29","Serious Fraud Office","Female","35","35","32170","31520"
"In post","2022","20-29","Serious Fraud Office","Male","25","25","[c]","[c]"
"In post","2022","20-29","Social Security Scotland","Female","330","325","26360","27230"
"In post","2022","20-29","Social Security Scotland","Male","220","220","25860","24400"
"In post","2022","20-29","Standards and Testing Agency","Female","15","15","[c]","[c]"
"In post","2022","20-29","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Student Awards Agency for Scotland","Female","35","30","24430","23230"
"In post","2022","20-29","Student Awards Agency for Scotland","Male","25","25","[c]","[c]"
"In post","2022","20-29","Submarine Delivery Agency","Female","120","120","28840","28900"
"In post","2022","20-29","Submarine Delivery Agency","Male","320","320","28550","27540"
"In post","2022","20-29","Teaching Regulation Agency","Female","15","15","[c]","[c]"
"In post","2022","20-29","Teaching Regulation Agency","Male","10","10","[c]","[c]"
"In post","2022","20-29","The Insolvency Service","Female","115","115","23170","21130"
"In post","2022","20-29","The Insolvency Service","Male","70","70","25530","21130"
"In post","2022","20-29","The National Archives","Female","55","55","26870","26180"
"In post","2022","20-29","The National Archives","Male","40","35","26160","22990"
"In post","2022","20-29","Transport Scotland","Female","45","45","31030","31540"
"In post","2022","20-29","Transport Scotland","Male","35","35","31580","31540"
"In post","2022","20-29","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","UK Debt Management Office","Male","15","15","[c]","[c]"
"In post","2022","20-29","UK Export Finance","Female","60","60","35550","33000"
"In post","2022","20-29","UK Export Finance","Male","50","50","38080","34190"
"In post","2022","20-29","UK Health Security Agency","Female","970","920","30090","28590"
"In post","2022","20-29","UK Health Security Agency","Male","505","485","31700","28590"
"In post","2022","20-29","UK Hydrographic Office","Female","50","50","25630","26740"
"In post","2022","20-29","UK Hydrographic Office","Male","105","105","27300","26740"
"In post","2022","20-29","UK Space Agency","Female","30","30","37900","36740"
"In post","2022","20-29","UK Space Agency","Male","20","20","[c]","[c]"
"In post","2022","20-29","UK Statistics Authority","Female","730","715","31150","30710"
"In post","2022","20-29","UK Statistics Authority","Male","550","540","30560","30710"
"In post","2022","20-29","UK Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","UK Supreme Court","Female","10","10","[c]","[c]"
"In post","2022","20-29","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Valuation Office Agency","Female","315","305","28050","26030"
"In post","2022","20-29","Valuation Office Agency","Male","330","325","29550","27320"
"In post","2022","20-29","Vehicle Certification Agency","Female","15","15","[c]","[c]"
