"Status","Year","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Counter Fraud","London","Undeclared","355","330","37990","36650"
"In post","2022","Counter Fraud","London","Unknown","980","920","35750","32780"
"In post","2022","Counter Fraud","Outside London","Heterosexual / straight","8570","7905","31440","27570"
"In post","2022","Counter Fraud","Outside London","LGBO","480","465","31070","27570"
"In post","2022","Counter Fraud","Outside London","Undeclared","1205","1090","31920","27760"
"In post","2022","Counter Fraud","Outside London","Unknown","3150","2880","30120","27570"
"In post","2022","Counter Fraud","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Debt","London","Heterosexual / straight","240","215","29530","26400"
"In post","2022","Debt","London","LGBO","15","15","[c]","[c]"
"In post","2022","Debt","London","Undeclared","55","45","28750","26400"
"In post","2022","Debt","London","Unknown","190","170","30800","26400"
"In post","2022","Debt","Outside London","Heterosexual / straight","3730","3285","23550","21260"
"In post","2022","Debt","Outside London","LGBO","275","265","23320","21260"
"In post","2022","Debt","Outside London","Undeclared","435","370","23140","21260"
"In post","2022","Debt","Outside London","Unknown","1805","1620","22740","21250"
"In post","2022","Debt","Unknown","Heterosexual / straight","40","35","26170","25110"
"In post","2022","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","Unknown","20","15","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","Heterosexual / straight","2770","2720","48690","45240"
"In post","2022","Digital, Data & Technology","London","LGBO","290","285","49450","53240"
"In post","2022","Digital, Data & Technology","London","Undeclared","410","405","48430","45080"
"In post","2022","Digital, Data & Technology","London","Unknown","840","825","48650","44130"
"In post","2022","Digital, Data & Technology","Outside London","Heterosexual / straight","11915","11535","39950","36840"
"In post","2022","Digital, Data & Technology","Outside London","LGBO","710","695","36830","33440"
"In post","2022","Digital, Data & Technology","Outside London","Undeclared","1895","1830","39440","36880"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","3095","3010","39400","36110"
"In post","2022","Digital, Data & Technology","Overseas","Heterosexual / straight","55","55","32610","33300"
"In post","2022","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Heterosexual / straight","40","35","40860","37300"
"In post","2022","Digital, Data & Technology","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Finance","London","Heterosexual / straight","2040","1995","48880","43810"
"In post","2022","Finance","London","LGBO","115","115","49330","43920"
"In post","2022","Finance","London","Undeclared","345","335","47460","42790"
"In post","2022","Finance","London","Unknown","495","480","47390","42430"
"In post","2022","Finance","Outside London","Heterosexual / straight","6465","6095","37200","33370"
"In post","2022","Finance","Outside London","LGBO","300","290","35900","33080"
"In post","2022","Finance","Outside London","Undeclared","875","810","36580","33300"
"In post","2022","Finance","Outside London","Unknown","1690","1555","33420","30200"
"In post","2022","Finance","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","Heterosexual / straight","1035","935","26110","24920"
"In post","2022","Grants Management","Outside London","LGBO","75","75","25490","24920"
"In post","2022","Grants Management","Outside London","Undeclared","90","80","24990","21300"
"In post","2022","Grants Management","Outside London","Unknown","1115","1035","24240","21300"
"In post","2022","Human Resources","London","Heterosexual / straight","2150","2080","47070","41820"
"In post","2022","Human Resources","London","LGBO","220","215","46180","41730"
"In post","2022","Human Resources","London","Undeclared","230","225","43750","40070"
"In post","2022","Human Resources","London","Unknown","300","290","42500","37560"
"In post","2022","Human Resources","Outside London","Heterosexual / straight","6620","6215","35370","32070"
"In post","2022","Human Resources","Outside London","LGBO","415","405","34940","31940"
"In post","2022","Human Resources","Outside London","Undeclared","580","540","32340","28230"
"In post","2022","Human Resources","Outside London","Unknown","1130","1055","32870","29180"
"In post","2022","Human Resources","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Internal Audit","London","Heterosexual / straight","170","165","51660","49830"
"In post","2022","Internal Audit","London","LGBO","15","15","[c]","[c]"
"In post","2022","Internal Audit","London","Undeclared","30","25","[c]","[c]"
"In post","2022","Internal Audit","London","Unknown","15","15","[c]","[c]"
"In post","2022","Internal Audit","Outside London","Heterosexual / straight","420","395","44130","42500"
"In post","2022","Internal Audit","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Internal Audit","Outside London","Undeclared","65","60","42990","40580"
"In post","2022","Internal Audit","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","London","Heterosexual / straight","3410","3220","51760","51830"
"In post","2022","Legal","London","LGBO","290","280","53310","51940"
"In post","2022","Legal","London","Undeclared","330","315","55410","58590"
"In post","2022","Legal","London","Unknown","1115","1030","54070","58830"
"In post","2022","Legal","Outside London","Heterosexual / straight","5115","4770","42450","41750"
"In post","2022","Legal","Outside London","LGBO","270","265","39300","33370"
"In post","2022","Legal","Outside London","Undeclared","330","305","42830","40180"
"In post","2022","Legal","Outside London","Unknown","1535","1380","43550","46100"
"In post","2022","Legal","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","No function","London","Heterosexual / straight","33970","32760","42380","36850"
"In post","2022","No function","London","LGBO","3115","3060","43600","38750"
"In post","2022","No function","London","Undeclared","4620","4425","42690","37560"
"In post","2022","No function","London","Unknown","11215","10765","39390","33390"
"In post","2022","No function","Outside London","Heterosexual / straight","142865","131250","29660","27570"
"In post","2022","No function","Outside London","LGBO","9490","9150","29060","27570"
"In post","2022","No function","Outside London","Undeclared","17685","15920","29790","27570"
"In post","2022","No function","Outside London","Unknown","48925","44115","28180","26700"
"In post","2022","No function","Overseas","Heterosexual / straight","1275","1270","53210","53470"
"In post","2022","No function","Overseas","LGBO","110","110","52660","53470"
"In post","2022","No function","Overseas","Undeclared","175","175","51080","53470"
"In post","2022","No function","Overseas","Unknown","195","195","54140","54240"
"In post","2022","No function","Unknown","Heterosexual / straight","425","405","31800","29180"
"In post","2022","No function","Unknown","LGBO","40","40","30530","27570"
"In post","2022","No function","Unknown","Undeclared","65","60","31480","27570"
"In post","2022","No function","Unknown","Unknown","360","345","31340","29250"
"In post","2022","Project Delivery","London","Heterosexual / straight","2815","2710","54140","53530"
"In post","2022","Project Delivery","London","LGBO","225","220","52600","51500"
"In post","2022","Project Delivery","London","Undeclared","300","285","55670","54100"
"In post","2022","Project Delivery","London","Unknown","1080","1035","49840","47240"
"In post","2022","Project Delivery","Outside London","Heterosexual / straight","15720","15110","39660","37640"
"In post","2022","Project Delivery","Outside London","LGBO","710","695","37940","35310"
"In post","2022","Project Delivery","Outside London","Undeclared","2005","1910","40420","39860"
"In post","2022","Project Delivery","Outside London","Unknown","3080","2930","38820","37400"
"In post","2022","Project Delivery","Overseas","Heterosexual / straight","360","360","55770","55620"
"In post","2022","Project Delivery","Overseas","LGBO","35","35","56020","53000"
"In post","2022","Project Delivery","Overseas","Undeclared","30","30","[c]","[c]"
"In post","2022","Project Delivery","Overseas","Unknown","175","175","54620","54840"
"In post","2022","Project Delivery","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","London","Heterosexual / straight","1120","1085","43600","38870"
"In post","2022","Property","London","LGBO","70","70","46230","41750"
"In post","2022","Property","London","Undeclared","165","160","45830","40650"
"In post","2022","Property","London","Unknown","335","325","39740","34810"
"In post","2022","Property","Outside London","Heterosexual / straight","5275","5050","36210","33300"
"In post","2022","Property","Outside London","LGBO","210","200","33820","31000"
"In post","2022","Property","Outside London","Undeclared","645","605","36070","33300"
"In post","2022","Property","Outside London","Unknown","1505","1435","31450","26880"
"In post","2022","Property","Overseas","Heterosexual / straight","125","125","38670","36460"
"In post","2022","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Overseas","Undeclared","20","20","[c]","[c]"
"In post","2022","Property","Overseas","Unknown","30","30","40350","41160"
"In post","2022","Property","Unknown","Heterosexual / straight","30","30","43860","40720"
"In post","2022","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Security","London","Heterosexual / straight","1320","1295","41080","37960"
"In post","2022","Security","London","LGBO","85","85","41520","37230"
"In post","2022","Security","London","Undeclared","215","210","45320","43440"
"In post","2022","Security","London","Unknown","325","320","39470","36730"
"In post","2022","Security","Outside London","Heterosexual / straight","5995","5835","30420","26750"
"In post","2022","Security","Outside London","LGBO","270","265","30890","28890"
"In post","2022","Security","Outside London","Undeclared","870","845","33640","34090"
"In post","2022","Security","Outside London","Unknown","1340","1310","31090","27570"
"In post","2022","Security","Overseas","Heterosexual / straight","120","120","39480","34350"
"In post","2022","Security","Overseas","LGBO","5","5","[c]","[c]"
"In post","2022","Security","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2022","Security","Overseas","Unknown","15","15","[c]","[c]"
"In post","2022","Security","Unknown","Heterosexual / straight","85","80","30620","27370"
"In post","2022","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Security","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Security","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Unknown","London","Heterosexual / straight","11625","11065","41000","35200"
"In post","2022","Unknown","London","LGBO","535","525","45660","41950"
"In post","2022","Unknown","London","Undeclared","1875","1770","40840","35200"
"In post","2022","Unknown","London","Unknown","2090","2055","40650","35050"
"In post","2022","Unknown","Outside London","Heterosexual / straight","43995","41515","33080","27370"
"In post","2022","Unknown","Outside London","LGBO","2245","2175","33720","29430"
"In post","2022","Unknown","Outside London","Undeclared","5350","5015","32810","27370"
"In post","2022","Unknown","Outside London","Unknown","9210","8760","33520","27360"
"In post","2022","Unknown","Overseas","Heterosexual / straight","455","445","40350","33300"
"In post","2022","Unknown","Overseas","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Overseas","Undeclared","90","90","38610","32260"
"In post","2022","Unknown","Overseas","Unknown","220","215","45560","43990"
"In post","2022","Unknown","Unknown","Heterosexual / straight","125","120","35270","33000"
"In post","2022","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","1795","1795","37620","34460"
"Leaver CS","2022","Analysis","London","Heterosexual / straight","140","[c]","40600","36390"
"Leaver CS","2022","Analysis","London","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","London","Undeclared","50","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","London","Unknown","55","[c]","43690","37290"
"Leaver CS","2022","Analysis","Outside London","Heterosexual / straight","115","[c]","33950","30950"
"Leaver CS","2022","Analysis","Outside London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Outside London","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Outside London","Unknown","90","[c]","33850","29540"
"Leaver CS","2022","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","London","Heterosexual / straight","55","[c]","51610","49130"
"Leaver CS","2022","Commercial","London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","London","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","London","Unknown","80","[c]","74370","68000"
"Leaver CS","2022","Commercial","Outside London","Heterosexual / straight","185","[c]","38420","36500"
"Leaver CS","2022","Commercial","Outside London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Outside London","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Outside London","Unknown","80","[c]","57720","51560"
"Leaver CS","2022","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Communications","London","Heterosexual / straight","140","[c]","42640","40050"
"Leaver CS","2022","Communications","London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Communications","London","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Communications","London","Unknown","85","[c]","45410","40600"
"Leaver CS","2022","Communications","Outside London","Heterosexual / straight","75","[c]","34680","31710"
"Leaver CS","2022","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Outside London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Outside London","Unknown","40","[c]","38100","35450"
"Leaver CS","2022","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","London","Heterosexual / straight","30","[c]","35830","32080"
"Leaver CS","2022","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","London","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Outside London","Heterosexual / straight","165","[c]","28380","27570"
"Leaver CS","2022","Counter Fraud","Outside London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Outside London","Undeclared","40","[c]","27980","26120"
"Leaver CS","2022","Counter Fraud","Outside London","Unknown","70","[c]","27590","27570"
"Leaver CS","2022","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Outside London","Heterosexual / straight","145","[c]","22490","21260"
"Leaver CS","2022","Debt","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Outside London","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Outside London","Unknown","40","[c]","22240","21260"
"Leaver CS","2022","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","London","Heterosexual / straight","215","[c]","50350","51500"
"Leaver CS","2022","Digital, Data & Technology","London","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","London","Undeclared","60","[c]","47870","42480"
"Leaver CS","2022","Digital, Data & Technology","London","Unknown","85","[c]","45210","41860"
"Leaver CS","2022","Digital, Data & Technology","Outside London","Heterosexual / straight","555","[c]","39890","37710"
"Leaver CS","2022","Digital, Data & Technology","Outside London","LGBO","40","[c]","33340","31990"
"Leaver CS","2022","Digital, Data & Technology","Outside London","Undeclared","120","[c]","38430","36200"
"Leaver CS","2022","Digital, Data & Technology","Outside London","Unknown","240","[c]","37980","35910"
"Leaver CS","2022","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Heterosexual / straight","30","[c]","42160","34950"
"Leaver CS","2022","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data & Technology","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Finance","London","Heterosexual / straight","100","[c]","46870","40450"
"Leaver CS","2022","Finance","London","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Finance","London","Undeclared","35","[c]","[c]","[c]"
"Leaver CS","2022","Finance","London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Outside London","Heterosexual / straight","220","[c]","37630","34290"
"Leaver CS","2022","Finance","Outside London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Outside London","Undeclared","50","[c]","40240","41390"
"Leaver CS","2022","Finance","Outside London","Unknown","50","[c]","35500","33840"
"Leaver CS","2022","Finance","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Outside London","Heterosexual / straight","60","[c]","25050","24920"
"Leaver CS","2022","Grants Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Outside London","Unknown","90","[c]","23490","21300"
"Leaver CS","2022","Human Resources","London","Heterosexual / straight","175","[c]","43990","38000"
"Leaver CS","2022","Human Resources","London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","London","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","London","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Outside London","Heterosexual / straight","290","[c]","32450","27570"
"Leaver CS","2022","Human Resources","Outside London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Outside London","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Outside London","Unknown","65","[c]","28870","27130"
"Leaver CS","2022","Human Resources","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Outside London","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Legal","London","Heterosexual / straight","245","[c]","48110","51250"
"Leaver CS","2022","Legal","London","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Legal","London","Undeclared","30","[c]","58480","62870"
"Leaver CS","2022","Legal","London","Unknown","60","[c]","59090","56360"
"Leaver CS","2022","Legal","Outside London","Heterosexual / straight","255","[c]","41640","38000"
"Leaver CS","2022","Legal","Outside London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Outside London","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Outside London","Unknown","95","[c]","44290","46100"
"Leaver CS","2022","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","London","Heterosexual / straight","3175","[c]","39860","32330"
"Leaver CS","2022","No function","London","LGBO","330","[c]","37630","31060"
"Leaver CS","2022","No function","London","Undeclared","585","[c]","39850","32330"
"Leaver CS","2022","No function","London","Unknown","1435","[c]","39200","31880"
"Leaver CS","2022","No function","Outside London","Heterosexual / straight","11705","[c]","29160","27570"
"Leaver CS","2022","No function","Outside London","LGBO","960","[c]","27740","26500"
"Leaver CS","2022","No function","Outside London","Undeclared","1320","[c]","29850","26780"
"Leaver CS","2022","No function","Outside London","Unknown","4240","[c]","27810","24960"
"Leaver CS","2022","No function","Overseas","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","No function","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Overseas","Undeclared","[c]","[c]","[c]","[c]"
