"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","HEO","1390","1325","34360","33620"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","SEO","1145","1100","42210","41000"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Unknown","235","215","33930","34340"
"In post","2022","Declared non-disabled","Unknown","AA/AO","AA","320","290","20600","20890"
"In post","2022","Declared non-disabled","Unknown","AA/AO","AO","2835","2510","22520","21300"
"In post","2022","Declared non-disabled","Unknown","EO","EO","2335","2160","27870","27570"
"In post","2022","Declared non-disabled","Unknown","G6/G7","G6","275","265","68800","67000"
"In post","2022","Declared non-disabled","Unknown","G6/G7","G7","805","775","55000","54540"
"In post","2022","Declared non-disabled","Unknown","SCS level","SCS level","105","100","96570","88930"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","HEO","1225","1170","33230","33170"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","SEO","920","880","41780","40520"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","350","315","32900","34340"
"In post","2022","Declared non-disabled","White","AA/AO","AA","9420","8575","20400","20480"
"In post","2022","Declared non-disabled","White","AA/AO","AO","60155","54110","23170","21490"
"In post","2022","Declared non-disabled","White","EO","EO","67045","61835","27620","27570"
"In post","2022","Declared non-disabled","White","G6/G7","G6","11530","11085","68790","67680"
"In post","2022","Declared non-disabled","White","G6/G7","G7","28455","27400","55220","54650"
"In post","2022","Declared non-disabled","White","SCS level","SCS level","4460","4315","89530","82140"
"In post","2022","Declared non-disabled","White","SEO/HEO","HEO","43515","41675","33640","33300"
"In post","2022","Declared non-disabled","White","SEO/HEO","SEO","33115","31835","41870","40580"
"In post","2022","Declared non-disabled","White","Unknown","Unknown","10820","10130","31800","29760"
"In post","2022","Undeclared","Asian","AA/AO","AA","40","35","21840","21860"
"In post","2022","Undeclared","Asian","AA/AO","AO","345","295","23200","21260"
"In post","2022","Undeclared","Asian","EO","EO","415","390","28630","27570"
"In post","2022","Undeclared","Asian","G6/G7","G6","40","35","67840","65960"
"In post","2022","Undeclared","Asian","G6/G7","G7","125","120","56100","55050"
"In post","2022","Undeclared","Asian","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Undeclared","Asian","SEO/HEO","HEO","245","235","34370","33960"
"In post","2022","Undeclared","Asian","SEO/HEO","SEO","115","115","42400","41750"
"In post","2022","Undeclared","Asian","Unknown","Unknown","40","40","31400","28200"
"In post","2022","Undeclared","Black","AA/AO","AA","60","55","24450","25170"
"In post","2022","Undeclared","Black","AA/AO","AO","205","185","27720","25630"
"In post","2022","Undeclared","Black","EO","EO","220","210","30340","30330"
"In post","2022","Undeclared","Black","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Undeclared","Black","G6/G7","G7","35","35","54890","54100"
"In post","2022","Undeclared","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","SEO/HEO","HEO","115","115","35660","35000"
"In post","2022","Undeclared","Black","SEO/HEO","SEO","65","65","42760","41750"
"In post","2022","Undeclared","Black","Unknown","Unknown","55","55","33350","32040"
"In post","2022","Undeclared","Mixed","AA/AO","AA","15","10","[c]","[c]"
"In post","2022","Undeclared","Mixed","AA/AO","AO","105","100","24810","22170"
"In post","2022","Undeclared","Mixed","EO","EO","105","100","28330","27570"
"In post","2022","Undeclared","Mixed","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Undeclared","Mixed","G6/G7","G7","50","45","55170","54400"
"In post","2022","Undeclared","Mixed","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Undeclared","Mixed","SEO/HEO","HEO","75","75","34090","33740"
"In post","2022","Undeclared","Mixed","SEO/HEO","SEO","45","45","42930","40650"
"In post","2022","Undeclared","Mixed","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","AA/AO","AO","30","25","27110","26510"
"In post","2022","Undeclared","Other ethnicity","EO","EO","35","30","29020","29290"
"In post","2022","Undeclared","Other ethnicity","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Undeclared","Undeclared","AA/AO","AA","145","135","20180","19810"
"In post","2022","Undeclared","Undeclared","AA/AO","AO","1295","1185","23880","21840"
"In post","2022","Undeclared","Undeclared","EO","EO","1705","1595","28250","27570"
"In post","2022","Undeclared","Undeclared","G6/G7","G6","310","300","69770","68700"
"In post","2022","Undeclared","Undeclared","G6/G7","G7","805","785","56220","55210"
"In post","2022","Undeclared","Undeclared","SCS level","SCS level","85","85","81680","78000"
"In post","2022","Undeclared","Undeclared","SEO/HEO","HEO","1410","1350","34250","33370"
"In post","2022","Undeclared","Undeclared","SEO/HEO","SEO","1115","1080","42490","41180"
"In post","2022","Undeclared","Undeclared","Unknown","Unknown","200","185","35100","32690"
"In post","2022","Undeclared","Unknown","AA/AO","AA","100","90","21350","20890"
"In post","2022","Undeclared","Unknown","AA/AO","AO","365","320","26170","24690"
"In post","2022","Undeclared","Unknown","EO","EO","225","210","29330","28310"
"In post","2022","Undeclared","Unknown","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Undeclared","Unknown","G6/G7","G7","85","85","56010","55210"
"In post","2022","Undeclared","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","SEO/HEO","HEO","160","150","35040","34430"
"In post","2022","Undeclared","Unknown","SEO/HEO","SEO","115","110","42530","41000"
"In post","2022","Undeclared","Unknown","Unknown","Unknown","35","30","34800","37170"
"In post","2022","Undeclared","White","AA/AO","AA","1180","1045","21100","20890"
"In post","2022","Undeclared","White","AA/AO","AO","4920","4400","25600","22080"
"In post","2022","Undeclared","White","EO","EO","4165","3880","28600","27570"
"In post","2022","Undeclared","White","G6/G7","G6","415","400","68990","66610"
"In post","2022","Undeclared","White","G6/G7","G7","1035","1005","55760","54700"
"In post","2022","Undeclared","White","SCS level","SCS level","150","145","89040","81960"
"In post","2022","Undeclared","White","SEO/HEO","HEO","2490","2395","34220","33370"
"In post","2022","Undeclared","White","SEO/HEO","SEO","1710","1650","43120","41040"
"In post","2022","Undeclared","White","Unknown","Unknown","555","520","32200","30210"
"In post","2022","Unknown","Asian","AA/AO","AA","60","50","21200","21250"
"In post","2022","Unknown","Asian","AA/AO","AO","460","415","23160","22080"
"In post","2022","Unknown","Asian","EO","EO","730","705","28240","27270"
"In post","2022","Unknown","Asian","G6/G7","G6","105","100","69590","67750"
"In post","2022","Unknown","Asian","G6/G7","G7","370","365","54760","53600"
"In post","2022","Unknown","Asian","SCS level","SCS level","55","55","104870","99750"
"In post","2022","Unknown","Asian","SEO/HEO","HEO","620","605","34480","33370"
"In post","2022","Unknown","Asian","SEO/HEO","SEO","385","380","41800","40650"
"In post","2022","Unknown","Asian","Unknown","Unknown","55","50","[c]","[c]"
"In post","2022","Unknown","Black","AA/AO","AA","35","30","21400","21320"
"In post","2022","Unknown","Black","AA/AO","AO","180","170","24650","23850"
"In post","2022","Unknown","Black","EO","EO","285","275","28760","28310"
"In post","2022","Unknown","Black","G6/G7","G6","40","40","68830","67480"
"In post","2022","Unknown","Black","G6/G7","G7","140","135","54390","53600"
"In post","2022","Unknown","Black","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Unknown","Black","SEO/HEO","HEO","230","225","34830","34000"
"In post","2022","Unknown","Black","SEO/HEO","SEO","170","165","41180","40650"
"In post","2022","Unknown","Black","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Unknown","Mixed","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Unknown","Mixed","AA/AO","AO","90","80","23440","22600"
"In post","2022","Unknown","Mixed","EO","EO","180","175","29260","27570"
"In post","2022","Unknown","Mixed","G6/G7","G6","45","40","68420","66230"
"In post","2022","Unknown","Mixed","G6/G7","G7","115","110","54900","53420"
"In post","2022","Unknown","Mixed","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Unknown","Mixed","SEO/HEO","HEO","160","155","34540","33370"
"In post","2022","Unknown","Mixed","SEO/HEO","SEO","95","95","41240","40520"
"In post","2022","Unknown","Mixed","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","AA/AO","AO","25","20","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","EO","EO","60","60","29030","28410"
"In post","2022","Unknown","Other ethnicity","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","G6/G7","G7","45","45","55740","54960"
"In post","2022","Unknown","Other ethnicity","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","SEO/HEO","HEO","40","40","35400","34340"
"In post","2022","Unknown","Other ethnicity","SEO/HEO","SEO","45","45","42280","41750"
"In post","2022","Unknown","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","AA/AO","AA","50","45","21020","21440"
"In post","2022","Unknown","Undeclared","AA/AO","AO","315","285","24500","22200"
"In post","2022","Unknown","Undeclared","EO","EO","505","470","31230","32170"
"In post","2022","Unknown","Undeclared","G6/G7","G6","100","95","70220","67910"
"In post","2022","Unknown","Undeclared","G6/G7","G7","250","240","56130","55210"
"In post","2022","Unknown","Undeclared","SCS level","SCS level","50","45","95870","89140"
"In post","2022","Unknown","Undeclared","SEO/HEO","HEO","410","390","35680","34600"
"In post","2022","Unknown","Undeclared","SEO/HEO","SEO","270","255","42420","41370"
"In post","2022","Unknown","Undeclared","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","Unknown","AA/AO","AA","2990","2745","20970","20950"
"In post","2022","Unknown","Unknown","AA/AO","AO","15770","14830","23200","21680"
"In post","2022","Unknown","Unknown","EO","EO","13030","12515","27970","27130"
"In post","2022","Unknown","Unknown","G6/G7","G6","2160","2090","69640","67260"
"In post","2022","Unknown","Unknown","G6/G7","G7","5620","5495","55920","54700"
"In post","2022","Unknown","Unknown","SCS level","SCS level","820","800","95980","87750"
"In post","2022","Unknown","Unknown","SEO/HEO","HEO","10205","10000","33320","33080"
"In post","2022","Unknown","Unknown","SEO/HEO","SEO","5200","5060","41400","40600"
"In post","2022","Unknown","Unknown","Unknown","Unknown","5135","4810","31270","28650"
"In post","2022","Unknown","White","AA/AO","AA","1060","940","20590","20310"
"In post","2022","Unknown","White","AA/AO","AO","4690","4220","23790","22080"
"In post","2022","Unknown","White","EO","EO","6100","5815","29460","28270"
"In post","2022","Unknown","White","G6/G7","G6","1185","1140","70150","68000"
"In post","2022","Unknown","White","G6/G7","G7","3210","3095","54800","53620"
"In post","2022","Unknown","White","SCS level","SCS level","425","410","97330","90390"
"In post","2022","Unknown","White","SEO/HEO","HEO","4680","4490","34960","33370"
"In post","2022","Unknown","White","SEO/HEO","SEO","3680","3545","42300","40650"
"In post","2022","Unknown","White","Unknown","Unknown","405","390","34290","29750"
"Leaver CS","2022","Declared disabled","Asian","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","AA/AO","AO","80","[c]","22590","21420"
"Leaver CS","2022","Declared disabled","Asian","EO","EO","70","[c]","28790","28510"
"Leaver CS","2022","Declared disabled","Asian","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","SEO/HEO","HEO","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","SEO/HEO","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Asian","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","AA/AO","AO","40","[c]","23410","23920"
"Leaver CS","2022","Declared disabled","Black","EO","EO","50","[c]","28920","28670"
"Leaver CS","2022","Declared disabled","Black","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Black","Unknown","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","AA/AO","AO","45","[c]","21150","21070"
"Leaver CS","2022","Declared disabled","Mixed","EO","EO","50","[c]","27440","27570"
"Leaver CS","2022","Declared disabled","Mixed","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Mixed","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","EO","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","AA/AO","AO","60","[c]","21730","21260"
"Leaver CS","2022","Declared disabled","Undeclared","EO","EO","55","[c]","28070","27570"
"Leaver CS","2022","Declared disabled","Undeclared","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","G6/G7","G7","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","SEO/HEO","HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","SEO/HEO","SEO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Undeclared","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","AA/AO","AO","35","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","EO","EO","40","[c]","29370","27720"
"Leaver CS","2022","Declared disabled","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","SEO/HEO","HEO","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","White","AA/AO","AA","250","[c]","19320","19200"
"Leaver CS","2022","Declared disabled","White","AA/AO","AO","1250","[c]","21760","21260"
"Leaver CS","2022","Declared disabled","White","EO","EO","995","[c]","27510","27570"
"Leaver CS","2022","Declared disabled","White","G6/G7","G6","60","[c]","70970","68280"
"Leaver CS","2022","Declared disabled","White","G6/G7","G7","175","[c]","56150","55370"
"Leaver CS","2022","Declared disabled","White","SCS level","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","White","SEO/HEO","HEO","410","[c]","34030","33740"
"Leaver CS","2022","Declared disabled","White","SEO/HEO","SEO","260","[c]","41850","40670"
"Leaver CS","2022","Declared disabled","White","Unknown","Unknown","195","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Asian","AA/AO","AA","75","[c]","20410","20170"
"Leaver CS","2022","Declared non-disabled","Asian","AA/AO","AO","555","[c]","22110","21260"
"Leaver CS","2022","Declared non-disabled","Asian","EO","EO","555","[c]","28310","27570"
"Leaver CS","2022","Declared non-disabled","Asian","G6/G7","G6","40","[c]","69050","67120"
"Leaver CS","2022","Declared non-disabled","Asian","G6/G7","G7","135","[c]","57170","54700"
"Leaver CS","2022","Declared non-disabled","Asian","SCS level","SCS level","35","[c]","95080","95140"
"Leaver CS","2022","Declared non-disabled","Asian","SEO/HEO","HEO","215","[c]","33560","33370"
"Leaver CS","2022","Declared non-disabled","Asian","SEO/HEO","SEO","165","[c]","40960","40600"
"Leaver CS","2022","Declared non-disabled","Asian","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Black","AA/AO","AA","35","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Black","AA/AO","AO","290","[c]","22690","22680"
"Leaver CS","2022","Declared non-disabled","Black","EO","EO","395","[c]","29230","29540"
"Leaver CS","2022","Declared non-disabled","Black","G6/G7","G6","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Black","G6/G7","G7","65","[c]","55750","54230"
"Leaver CS","2022","Declared non-disabled","Black","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Black","SEO/HEO","HEO","135","[c]","33320","32960"
"Leaver CS","2022","Declared non-disabled","Black","SEO/HEO","SEO","100","[c]","42680","40600"
