"Status","Year","Age","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","Undeclared","SEO/HEO","1550","1515","36960","36410"
"In post","2022","30-39","Undeclared","Unknown","190","180","30920","30210"
"In post","2022","30-39","Unknown","AA/AO","5590","5230","23390","21680"
"In post","2022","30-39","Unknown","EO","5415","5245","28420","27230"
"In post","2022","30-39","Unknown","G6/G7","4285","4185","57890","55210"
"In post","2022","30-39","Unknown","SCS level","225","220","80950","75600"
"In post","2022","30-39","Unknown","SEO/HEO","7165","6990","36870","36500"
"In post","2022","30-39","Unknown","Unknown","1375","1290","30460","28200"
"In post","2022","40-49","Declared disabled","AA/AO","3125","2740","22530","21260"
"In post","2022","40-49","Declared disabled","EO","3610","3330","27930","27570"
"In post","2022","40-49","Declared disabled","G6/G7","1545","1490","58710","57190"
"In post","2022","40-49","Declared disabled","SCS level","175","170","86080","78380"
"In post","2022","40-49","Declared disabled","SEO/HEO","3140","3030","36860","36050"
"In post","2022","40-49","Declared disabled","Unknown","870","815","32360","31420"
"In post","2022","40-49","Declared non-disabled","AA/AO","16865","15045","22880","21300"
"In post","2022","40-49","Declared non-disabled","EO","19280","17895","27810","27570"
"In post","2022","40-49","Declared non-disabled","G6/G7","15060","14465","59340","57540"
"In post","2022","40-49","Declared non-disabled","SCS level","2110","2040","86900","79980"
"In post","2022","40-49","Declared non-disabled","SEO/HEO","22685","21810","37780","37290"
"In post","2022","40-49","Declared non-disabled","Unknown","3270","3035","34430","34340"
"In post","2022","40-49","Undeclared","AA/AO","1790","1635","24760","21860"
"In post","2022","40-49","Undeclared","EO","1570","1490","28590","27570"
"In post","2022","40-49","Undeclared","G6/G7","850","830","59820","57540"
"In post","2022","40-49","Undeclared","SCS level","95","90","84520","80720"
"In post","2022","40-49","Undeclared","SEO/HEO","1910","1860","38190","37540"
"In post","2022","40-49","Undeclared","Unknown","230","215","35120","37170"
"In post","2022","40-49","Unknown","AA/AO","4045","3705","23190","21680"
"In post","2022","40-49","Unknown","EO","3455","3300","28510","27230"
"In post","2022","40-49","Unknown","G6/G7","3935","3795","60080","57740"
"In post","2022","40-49","Unknown","SCS level","580","565","92840","85550"
"In post","2022","40-49","Unknown","SEO/HEO","5115","4940","38160","37930"
"In post","2022","40-49","Unknown","Unknown","1175","1095","34190","31420"
"In post","2022","50-59","Declared disabled","AA/AO","5580","4945","22440","21260"
"In post","2022","50-59","Declared disabled","EO","6165","5650","28140","27570"
"In post","2022","50-59","Declared disabled","G6/G7","1830","1785","59750","57450"
"In post","2022","50-59","Declared disabled","SCS level","205","205","92690","84250"
"In post","2022","50-59","Declared disabled","SEO/HEO","4530","4360","37750","36630"
"In post","2022","50-59","Declared disabled","Unknown","1085","1035","32830","30330"
"In post","2022","50-59","Declared non-disabled","AA/AO","24610","22160","22770","21260"
"In post","2022","50-59","Declared non-disabled","EO","25980","24150","28140","27570"
"In post","2022","50-59","Declared non-disabled","G6/G7","14140","13800","60580","58970"
"In post","2022","50-59","Declared non-disabled","SCS level","1870","1840","93810","85030"
"In post","2022","50-59","Declared non-disabled","SEO/HEO","26025","25195","38180","37350"
"In post","2022","50-59","Declared non-disabled","Unknown","3030","2865","34170","31020"
"In post","2022","50-59","Undeclared","AA/AO","3390","3120","25350","22080"
"In post","2022","50-59","Undeclared","EO","2430","2300","28990","27570"
"In post","2022","50-59","Undeclared","G6/G7","950","935","61200","59260"
"In post","2022","50-59","Undeclared","SCS level","90","90","89170","82440"
"In post","2022","50-59","Undeclared","SEO/HEO","2655","2575","38790","37930"
"In post","2022","50-59","Undeclared","Unknown","280","265","34000","31940"
"In post","2022","50-59","Unknown","AA/AO","4830","4350","22910","21830"
"In post","2022","50-59","Unknown","EO","4055","3815","29910","28920"
"In post","2022","50-59","Unknown","G6/G7","3050","2980","61890","60720"
"In post","2022","50-59","Unknown","SCS level","470","460","105050","98820"
"In post","2022","50-59","Unknown","SEO/HEO","4480","4335","39240","39580"
"In post","2022","50-59","Unknown","Unknown","1300","1220","35540","32690"
"In post","2022","60-64","Declared disabled","AA/AO","2350","1880","22100","21260"
"In post","2022","60-64","Declared disabled","EO","1915","1515","28250","27570"
"In post","2022","60-64","Declared disabled","G6/G7","340","295","60890","59540"
"In post","2022","60-64","Declared disabled","SCS level","35","35","96170","91790"
"In post","2022","60-64","Declared disabled","SEO/HEO","1055","885","37940","36550"
"In post","2022","60-64","Declared disabled","Unknown","435","380","31830","28690"
"In post","2022","60-64","Declared non-disabled","AA/AO","9430","7700","22260","21260"
"In post","2022","60-64","Declared non-disabled","EO","7740","6195","28220","27570"
"In post","2022","60-64","Declared non-disabled","G6/G7","2490","2200","61830","60290"
"In post","2022","60-64","Declared non-disabled","SCS level","295","275","101480","93000"
"In post","2022","60-64","Declared non-disabled","SEO/HEO","5980","5120","38420","36970"
"In post","2022","60-64","Declared non-disabled","Unknown","1000","875","32430","28200"
"In post","2022","60-64","Undeclared","AA/AO","1210","960","24150","21860"
"In post","2022","60-64","Undeclared","EO","685","560","28740","27570"
"In post","2022","60-64","Undeclared","G6/G7","175","150","62670","60720"
"In post","2022","60-64","Undeclared","SCS level","20","20","[c]","[c]"
"In post","2022","60-64","Undeclared","SEO/HEO","615","530","38190","36780"
"In post","2022","60-64","Undeclared","Unknown","80","70","34130","33160"
"In post","2022","60-64","Unknown","AA/AO","1790","1465","22340","21750"
"In post","2022","60-64","Unknown","EO","970","785","29890","28920"
"In post","2022","60-64","Unknown","G6/G7","485","445","62210","60790"
"In post","2022","60-64","Unknown","SCS level","80","75","115360","114000"
"In post","2022","60-64","Unknown","SEO/HEO","995","850","39770","40290"
"In post","2022","60-64","Unknown","Unknown","400","355","33580","31780"
"In post","2022","65+","Declared disabled","AA/AO","790","600","21950","21260"
"In post","2022","65+","Declared disabled","EO","560","415","28330","27570"
"In post","2022","65+","Declared disabled","G6/G7","75","60","63020","61440"
"In post","2022","65+","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Declared disabled","SEO/HEO","305","235","38460","36520"
"In post","2022","65+","Declared disabled","Unknown","135","105","33330","30210"
"In post","2022","65+","Declared non-disabled","AA/AO","3485","2710","22200","21260"
"In post","2022","65+","Declared non-disabled","EO","2255","1675","28410","27570"
"In post","2022","65+","Declared non-disabled","G6/G7","645","500","63110","61440"
"In post","2022","65+","Declared non-disabled","SCS level","60","50","109110","102120"
"In post","2022","65+","Declared non-disabled","SEO/HEO","1565","1245","38990","37600"
"In post","2022","65+","Declared non-disabled","Unknown","350","275","31580","28200"
"In post","2022","65+","Undeclared","AA/AO","420","315","23280","21650"
"In post","2022","65+","Undeclared","EO","200","160","28650","27800"
"In post","2022","65+","Undeclared","G6/G7","35","30","64320","61270"
"In post","2022","65+","Undeclared","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Undeclared","SEO/HEO","155","120","39270","37350"
"In post","2022","65+","Undeclared","Unknown","30","25","36580","32890"
"In post","2022","65+","Unknown","AA/AO","625","485","22550","21550"
"In post","2022","65+","Unknown","EO","285","210","29350","28920"
"In post","2022","65+","Unknown","G6/G7","165","130","63700","62170"
"In post","2022","65+","Unknown","SCS level","30","20","[c]","[c]"
"In post","2022","65+","Unknown","SEO/HEO","275","215","40200","40210"
"In post","2022","65+","Unknown","Unknown","120","90","31660","28760"
"In post","2022","Unknown","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","EO","10","5","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","AA/AO","80","[c]","20800","21260"
"Leaver CS","2022","16-19","Declared non-disabled","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","AA/AO","65","[c]","20560","20930"
"Leaver CS","2022","16-19","Unknown","EO","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","AA/AO","385","[c]","21230","21260"
"Leaver CS","2022","20-29","Declared disabled","EO","220","[c]","26610","27570"
"Leaver CS","2022","20-29","Declared disabled","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","SEO/HEO","100","[c]","35010","34600"
"Leaver CS","2022","20-29","Declared disabled","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared non-disabled","AA/AO","3045","[c]","21400","21260"
"Leaver CS","2022","20-29","Declared non-disabled","EO","1435","[c]","27140","27570"
"Leaver CS","2022","20-29","Declared non-disabled","G6/G7","120","[c]","53970","53380"
"Leaver CS","2022","20-29","Declared non-disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared non-disabled","SEO/HEO","935","[c]","34520","34020"
"Leaver CS","2022","20-29","Declared non-disabled","Unknown","250","[c]","26960","26220"
"Leaver CS","2022","20-29","Undeclared","AA/AO","155","[c]","21230","21260"
"Leaver CS","2022","20-29","Undeclared","EO","75","[c]","26980","27570"
"Leaver CS","2022","20-29","Undeclared","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","SEO/HEO","70","[c]","34850","33710"
"Leaver CS","2022","20-29","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","AA/AO","1970","[c]","21500","21260"
"Leaver CS","2022","20-29","Unknown","EO","810","[c]","26080","27230"
"Leaver CS","2022","20-29","Unknown","G6/G7","95","[c]","54650","53380"
"Leaver CS","2022","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","SEO/HEO","675","[c]","34310","33400"
"Leaver CS","2022","20-29","Unknown","Unknown","280","[c]","27760","28980"
"Leaver CS","2022","30-39","Declared disabled","AA/AO","240","[c]","22240","21260"
"Leaver CS","2022","30-39","Declared disabled","EO","165","[c]","27950","27570"
"Leaver CS","2022","30-39","Declared disabled","G6/G7","45","[c]","56510","55000"
"Leaver CS","2022","30-39","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared disabled","SEO/HEO","110","[c]","36580","36050"
"Leaver CS","2022","30-39","Declared disabled","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared non-disabled","AA/AO","1685","[c]","21750","21260"
"Leaver CS","2022","30-39","Declared non-disabled","EO","1025","[c]","27630","27570"
"Leaver CS","2022","30-39","Declared non-disabled","G6/G7","595","[c]","57100","54700"
"Leaver CS","2022","30-39","Declared non-disabled","SCS level","40","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared non-disabled","SEO/HEO","1150","[c]","36860","36840"
"Leaver CS","2022","30-39","Declared non-disabled","Unknown","240","[c]","36650","35980"
"Leaver CS","2022","30-39","Undeclared","AA/AO","120","[c]","21380","21260"
"Leaver CS","2022","30-39","Undeclared","EO","75","[c]","26710","27570"
"Leaver CS","2022","30-39","Undeclared","G6/G7","50","[c]","57120","54700"
"Leaver CS","2022","30-39","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","SEO/HEO","80","[c]","36920","36840"
"Leaver CS","2022","30-39","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","AA/AO","835","[c]","22340","21260"
"Leaver CS","2022","30-39","Unknown","EO","450","[c]","28080","27570"
"Leaver CS","2022","30-39","Unknown","G6/G7","310","[c]","58080","54730"
"Leaver CS","2022","30-39","Unknown","SCS level","25","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","SEO/HEO","560","[c]","37080","36660"
"Leaver CS","2022","30-39","Unknown","Unknown","210","[c]","35350","32700"
"Leaver CS","2022","40-49","Declared disabled","AA/AO","185","[c]","21760","21260"
"Leaver CS","2022","40-49","Declared disabled","EO","145","[c]","28350","27570"
"Leaver CS","2022","40-49","Declared disabled","G6/G7","45","[c]","58050","56520"
"Leaver CS","2022","40-49","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Declared disabled","SEO/HEO","95","[c]","37570","37450"
"Leaver CS","2022","40-49","Declared disabled","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Declared non-disabled","AA/AO","1110","[c]","21740","21260"
"Leaver CS","2022","40-49","Declared non-disabled","EO","855","[c]","27810","27570"
"Leaver CS","2022","40-49","Declared non-disabled","G6/G7","535","[c]","60200","58770"
"Leaver CS","2022","40-49","Declared non-disabled","SCS level","125","[c]","94240","92020"
"Leaver CS","2022","40-49","Declared non-disabled","SEO/HEO","755","[c]","38470","38440"
"Leaver CS","2022","40-49","Declared non-disabled","Unknown","150","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","AA/AO","105","[c]","22710","21260"
"Leaver CS","2022","40-49","Undeclared","EO","65","[c]","27770","27570"
"Leaver CS","2022","40-49","Undeclared","G6/G7","35","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","SEO/HEO","55","[c]","38930","37910"
"Leaver CS","2022","40-49","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","AA/AO","500","[c]","22400","21300"
"Leaver CS","2022","40-49","Unknown","EO","285","[c]","28350","27570"
"Leaver CS","2022","40-49","Unknown","G6/G7","310","[c]","60250","57510"
"Leaver CS","2022","40-49","Unknown","SCS level","50","[c]","97220","92070"
"Leaver CS","2022","40-49","Unknown","SEO/HEO","325","[c]","37950","37390"
"Leaver CS","2022","40-49","Unknown","Unknown","130","[c]","39960","34460"
"Leaver CS","2022","50-59","Declared disabled","AA/AO","345","[c]","21470","21260"
"Leaver CS","2022","50-59","Declared disabled","EO","270","[c]","28020","27570"
"Leaver CS","2022","50-59","Declared disabled","G6/G7","85","[c]","61900","59090"
"Leaver CS","2022","50-59","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared disabled","SEO/HEO","220","[c]","37670","36880"
"Leaver CS","2022","50-59","Declared disabled","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","AA/AO","1585","[c]","21860","21260"
"Leaver CS","2022","50-59","Declared non-disabled","EO","1385","[c]","27950","27570"
"Leaver CS","2022","50-59","Declared non-disabled","G6/G7","685","[c]","60610","59230"
"Leaver CS","2022","50-59","Declared non-disabled","SCS level","155","[c]","94930","93740"
"Leaver CS","2022","50-59","Declared non-disabled","SEO/HEO","1005","[c]","38390","37590"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","170","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","AA/AO","225","[c]","23120","21200"
"Leaver CS","2022","50-59","Undeclared","EO","115","[c]","28580","27570"
"Leaver CS","2022","50-59","Undeclared","G6/G7","45","[c]","63520","63180"
"Leaver CS","2022","50-59","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","SEO/HEO","105","[c]","39290","37770"
"Leaver CS","2022","50-59","Undeclared","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","AA/AO","595","[c]","23210","21380"
"Leaver CS","2022","50-59","Unknown","EO","340","[c]","29030","27570"
"Leaver CS","2022","50-59","Unknown","G6/G7","265","[c]","62550","59420"
"Leaver CS","2022","50-59","Unknown","SCS level","75","[c]","112360","108050"
"Leaver CS","2022","50-59","Unknown","SEO/HEO","325","[c]","39100","39320"
"Leaver CS","2022","50-59","Unknown","Unknown","130","[c]","38620","34310"
"Leaver CS","2022","60-64","Declared disabled","AA/AO","285","[c]","21700","21260"
"Leaver CS","2022","60-64","Declared disabled","EO","240","[c]","28140","27570"
"Leaver CS","2022","60-64","Declared disabled","G6/G7","75","[c]","59440","57340"
"Leaver CS","2022","60-64","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","SEO/HEO","180","[c]","38960","37320"
"Leaver CS","2022","60-64","Declared disabled","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared non-disabled","AA/AO","1170","[c]","22050","21260"
"Leaver CS","2022","60-64","Declared non-disabled","EO","1045","[c]","28160","27570"
"Leaver CS","2022","60-64","Declared non-disabled","G6/G7","525","[c]","62870","61140"
"Leaver CS","2022","60-64","Declared non-disabled","SCS level","115","[c]","104090","99840"
"Leaver CS","2022","60-64","Declared non-disabled","SEO/HEO","1015","[c]","38970","37840"
"Leaver CS","2022","60-64","Declared non-disabled","Unknown","135","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Undeclared","AA/AO","175","[c]","21930","21010"
"Leaver CS","2022","60-64","Undeclared","EO","100","[c]","28490","27490"
"Leaver CS","2022","60-64","Undeclared","G6/G7","35","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Undeclared","SEO/HEO","110","[c]","38790","37910"
"Leaver CS","2022","60-64","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","AA/AO","340","[c]","22890","21050"
"Leaver CS","2022","60-64","Unknown","EO","190","[c]","30380","30370"
"Leaver CS","2022","60-64","Unknown","G6/G7","110","[c]","63000","61850"
"Leaver CS","2022","60-64","Unknown","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","SEO/HEO","215","[c]","40850","40290"
"Leaver CS","2022","60-64","Unknown","Unknown","95","[c]","43810","37800"
"Leaver CS","2022","65+","Declared disabled","AA/AO","350","[c]","21320","21260"
"Leaver CS","2022","65+","Declared disabled","EO","230","[c]","27550","27570"
"Leaver CS","2022","65+","Declared disabled","G6/G7","30","[c]","[c]","[c]"
"Leaver CS","2022","65+","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Declared disabled","SEO/HEO","105","[c]","38330","36130"
"Leaver CS","2022","65+","Declared disabled","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2022","65+","Declared non-disabled","AA/AO","1345","[c]","21410","21260"
"Leaver CS","2022","65+","Declared non-disabled","EO","845","[c]","28030","27570"
"Leaver CS","2022","65+","Declared non-disabled","G6/G7","225","[c]","63760","62170"
"Leaver CS","2022","65+","Declared non-disabled","SCS level","25","[c]","[c]","[c]"
"Leaver CS","2022","65+","Declared non-disabled","SEO/HEO","555","[c]","38200","36460"
"Leaver CS","2022","65+","Declared non-disabled","Unknown","115","[c]","[c]","[c]"
"Leaver CS","2022","65+","Undeclared","AA/AO","200","[c]","21450","21260"
"Leaver CS","2022","65+","Undeclared","EO","70","[c]","27420","27370"
"Leaver CS","2022","65+","Undeclared","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","65+","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Undeclared","SEO/HEO","50","[c]","37400","36830"
"Leaver CS","2022","65+","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","AA/AO","285","[c]","22140","21250"
"Leaver CS","2022","65+","Unknown","EO","125","[c]","29470","29250"
"Leaver CS","2022","65+","Unknown","G6/G7","40","[c]","63210","62550"
"Leaver CS","2022","65+","Unknown","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","SEO/HEO","100","[c]","41160","40560"
"Leaver CS","2022","65+","Unknown","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared non-disabled","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Declared disabled","AA/AO","100","[c]","21600","21260"
"Leaver Dept.","2022","20-29","Declared disabled","EO","175","[c]","27430","27570"
"Leaver Dept.","2022","20-29","Declared disabled","G6/G7","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Declared disabled","SEO/HEO","195","[c]","33820","33340"
"Leaver Dept.","2022","20-29","Declared disabled","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Declared non-disabled","AA/AO","910","[c]","21410","21260"
"Leaver Dept.","2022","20-29","Declared non-disabled","EO","1410","[c]","26830","27500"
"Leaver Dept.","2022","20-29","Declared non-disabled","G6/G7","260","[c]","54200","53420"
"Leaver Dept.","2022","20-29","Declared non-disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Declared non-disabled","SEO/HEO","1650","[c]","34710","34020"
"Leaver Dept.","2022","20-29","Declared non-disabled","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Undeclared","AA/AO","35","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Undeclared","EO","80","[c]","27380","27570"
"Leaver Dept.","2022","20-29","Undeclared","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Undeclared","SEO/HEO","115","[c]","35190","34020"
