"Status","Year","Organisation","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","AA/AO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","EO","55","55","30260","31460"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","London","SEO/HEO","25","25","36610","36620"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","AA/AO","660","610","21630","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","EO","585","555","25750","25100"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","G6/G7","70","65","52930","50560"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Outside London","SEO/HEO","490","465","33210","32160"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Outside London","SEO/HEO","15","15","36480","38440"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Outside London","SEO/HEO","25","20","32620","30730"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","AA/AO","175","165","23630","24370"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","EO","150","140","27650","27960"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","G6/G7","55","55","56120","53870"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Outside London","SEO/HEO","185","180","35880","34280"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Outside London","EO","15","15","24970","24920"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Outside London","G6/G7","85","80","54350","54410"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Outside London","SEO/HEO","215","200","39940","37480"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","London","G6/G7","10","10","59610","60370"
"In post","2022","Attorney General's Office","Legal","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Outside London","SEO/HEO","10","10","37300","37300"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","G6/G7","10","10","57700","56850"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","AA/AO","105","100","24160","24490"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","EO","525","515","27690","27500"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","G6/G7","2595","2550","60230","56760"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","SCS level","580","570","99780","93000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","London","SEO/HEO","2565","2550","34260","34550"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","AA/AO","355","325","21140","21050"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","EO","355","330","25210","24920"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","G6/G7","950","935","60540","60500"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","SCS level","135","130","103720","95900"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Outside London","SEO/HEO","1230","1200","33410","32960"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","EO","30","30","26000","26570"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","G6/G7","85","85","56150","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","SCS level","15","15","100010","86870"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","SEO/HEO","345","345","31670","30500"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","EO","15","15","25200","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","SEO/HEO","35","30","33320","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","G6/G7","15","10","51050","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","EO","10","10","24970","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","SEO/HEO","20","20","31060","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","AA/AO","30","30","21220","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","EO","105","100","25290","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","G6/G7","85","80","52240","49040"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","SEO/HEO","245","235","33170","30660"
"In post","2022","Charity Commission","Commercial","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Outside London","EO","10","10","25010","24440"
"In post","2022","Charity Commission","Digital, Data and Technology","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Outside London","SEO/HEO","35","35","33340","29520"
"In post","2022","Charity Commission","Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Outside London","SEO/HEO","10","10","33410","31040"
"In post","2022","Charity Commission","Knowledge and Information Management","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Legal","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","London","G6/G7","10","10","55520","51930"
"In post","2022","Charity Commission","Legal","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Outside London","G6/G7","10","10","55250","53870"
"In post","2022","Charity Commission","Operational Delivery","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","London","G6/G7","10","10","53220","51070"
"In post","2022","Charity Commission","Operational Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","London","SEO/HEO","25","25","32210","29160"
"In post","2022","Charity Commission","Operational Delivery","Outside London","AA/AO","25","20","18530","17140"
"In post","2022","Charity Commission","Operational Delivery","Outside London","EO","85","80","24940","24440"
"In post","2022","Charity Commission","Operational Delivery","Outside London","G6/G7","10","10","52130","51070"
"In post","2022","Charity Commission","Operational Delivery","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","Outside London","SEO/HEO","125","120","31520","29160"
"In post","2022","Charity Commission","Other","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Outside London","SEO/HEO","10","10","35340","37910"
"In post","2022","Charity Commission","Property","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Companies House","Communications","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Companies House","Communications","Outside London","SEO/HEO","10","10","36040","35210"
"In post","2022","Companies House","Counter Fraud","Outside London","AA/AO","95","80","21900","22740"
"In post","2022","Companies House","Counter Fraud","Outside London","EO","55","55","25630","25010"
"In post","2022","Companies House","Counter Fraud","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Outside London","SEO/HEO","15","15","34850","32660"
"In post","2022","Companies House","Digital, Data and Technology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","Outside London","EO","65","65","33520","33340"
"In post","2022","Companies House","Digital, Data and Technology","Outside London","G6/G7","20","15","60360","60650"
"In post","2022","Companies House","Digital, Data and Technology","Outside London","SEO/HEO","165","160","40280","40180"
"In post","2022","Companies House","Finance","Outside London","AA/AO","30","25","21210","20100"
"In post","2022","Companies House","Finance","Outside London","EO","15","10","25820","24730"
"In post","2022","Companies House","Finance","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Companies House","Finance","Outside London","SEO/HEO","25","20","37460","36240"
"In post","2022","Companies House","Human Resources","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Companies House","Human Resources","Outside London","EO","10","10","25620","24620"
"In post","2022","Companies House","Human Resources","Outside London","G6/G7","15","15","54490","51290"
"In post","2022","Companies House","Human Resources","Outside London","SEO/HEO","25","25","36970","39820"
"In post","2022","Companies House","Knowledge and Information Management","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Outside London","G6/G7","[c]","[c]","[c]","[c]"
