"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Female","50","50","33580","30710"
"In post","2022","Analysis","Economics","East Wales","Male","85","80","34690","30710"
"In post","2022","Analysis","Economics","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Male","35","35","41670","37700"
"In post","2022","Analysis","Economics","Hampshire and Isle of Wight","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Hampshire and Isle of Wight","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Inner London - East","Female","70","65","56640","55430"
"In post","2022","Analysis","Economics","Inner London - East","Male","135","130","56370","55800"
"In post","2022","Analysis","Economics","Inner London - West","Female","305","295","45560","38280"
"In post","2022","Analysis","Economics","Inner London - West","Male","550","550","48290","43610"
"In post","2022","Analysis","Economics","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Merseyside","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - West and North West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - West and North West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Finance","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Outer London - South","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","Outer London - South","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Finance","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Hampshire and Isle of Wight","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Shropshire and Staffordshire","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - West","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - West","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Human Resources","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Inner London - East","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Inner London - East","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Internal Audit","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","International Trade","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","East Wales","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Inner London - West","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Inner London - West","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Knowledge and Information Management","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Inner London - West","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","Inner London - West","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Cumbria","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Devon","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East Wales","Female","200","180","31110","30210"
"In post","2022","Analysis","Operational Delivery","East Wales","Male","175","175","33410","30810"
"In post","2022","Analysis","Operational Delivery","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Greater Manchester","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Greater Manchester","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Hampshire and Isle of Wight","Female","85","80","33040","30210"
"In post","2022","Analysis","Operational Delivery","Hampshire and Isle of Wight","Male","50","50","30570","30210"
"In post","2022","Analysis","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Inner London - East","Female","35","30","43290","41750"
"In post","2022","Analysis","Operational Delivery","Inner London - East","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Inner London - West","Female","55","55","41800","39410"
"In post","2022","Analysis","Operational Delivery","Inner London - West","Male","50","50","42720","36650"
"In post","2022","Analysis","Operational Delivery","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Merseyside","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Merseyside","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Northumberland, and Tyne and Wear","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Tees Valley and Durham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Tees Valley and Durham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Central Scotland","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Central Scotland","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Yorkshire","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Yorkshire","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Operational Research","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
