"Status","Year","Disability","Ethnicity","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","London","Heterosexual / straight","4265","4075","44650","39910"
"In post","2022","Declared disabled","White","London","LGBO","910","895","43620","38580"
"In post","2022","Declared disabled","White","London","Undeclared","500","480","43030","37640"
"In post","2022","Declared disabled","White","London","Unknown","175","160","41040","33440"
"In post","2022","Declared disabled","White","Outside London","Heterosexual / straight","29880","27150","30440","27570"
"In post","2022","Declared disabled","White","Outside London","LGBO","3330","3185","30090","27570"
"In post","2022","Declared disabled","White","Outside London","Undeclared","3030","2700","29400","27570"
"In post","2022","Declared disabled","White","Outside London","Unknown","1875","1625","28840","27360"
"In post","2022","Declared disabled","White","Overseas","Heterosexual / straight","140","140","48810","46010"
"In post","2022","Declared disabled","White","Overseas","LGBO","30","30","[c]","[c]"
"In post","2022","Declared disabled","White","Overseas","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","Heterosexual / straight","65","60","33180","27570"
"In post","2022","Declared disabled","White","Unknown","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","London","Heterosexual / straight","9905","9455","38340","33610"
"In post","2022","Declared non-disabled","Asian","London","LGBO","245","235","39690","35050"
"In post","2022","Declared non-disabled","Asian","London","Undeclared","655","600","34930","31060"
"In post","2022","Declared non-disabled","Asian","London","Unknown","700","620","35710","31060"
"In post","2022","Declared non-disabled","Asian","Outside London","Heterosexual / straight","12390","11635","29700","27570"
"In post","2022","Declared non-disabled","Asian","Outside London","LGBO","255","240","28690","26820"
"In post","2022","Declared non-disabled","Asian","Outside London","Undeclared","670","605","27730","25540"
"In post","2022","Declared non-disabled","Asian","Outside London","Unknown","1245","1075","28650","27130"
"In post","2022","Declared non-disabled","Asian","Overseas","Heterosexual / straight","105","105","44320","38300"
"In post","2022","Declared non-disabled","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Heterosexual / straight","95","85","29340","28590"
"In post","2022","Declared non-disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Unknown","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Black","London","Heterosexual / straight","6945","6750","35420","31710"
"In post","2022","Declared non-disabled","Black","London","LGBO","135","130","36200","31060"
"In post","2022","Declared non-disabled","Black","London","Undeclared","345","325","33820","31060"
"In post","2022","Declared non-disabled","Black","London","Unknown","565","520","33240","31060"
"In post","2022","Declared non-disabled","Black","Outside London","Heterosexual / straight","4495","4310","29840","27570"
"In post","2022","Declared non-disabled","Black","Outside London","LGBO","85","85","29530","27570"
"In post","2022","Declared non-disabled","Black","Outside London","Undeclared","175","165","29470","27570"
"In post","2022","Declared non-disabled","Black","Outside London","Unknown","295","265","28910","27570"
"In post","2022","Declared non-disabled","Black","Overseas","Heterosexual / straight","50","50","43410","38570"
"In post","2022","Declared non-disabled","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Heterosexual / straight","40","40","34870","31060"
"In post","2022","Declared non-disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","London","Heterosexual / straight","2155","2090","41730","37000"
"In post","2022","Declared non-disabled","Mixed","London","LGBO","200","200","42670","39110"
"In post","2022","Declared non-disabled","Mixed","London","Undeclared","170","160","41940","35200"
"In post","2022","Declared non-disabled","Mixed","London","Unknown","100","90","42830","37610"
"In post","2022","Declared non-disabled","Mixed","Outside London","Heterosexual / straight","3160","3000","31560","27570"
"In post","2022","Declared non-disabled","Mixed","Outside London","LGBO","280","270","31010","27570"
"In post","2022","Declared non-disabled","Mixed","Outside London","Undeclared","210","190","31750","27570"
"In post","2022","Declared non-disabled","Mixed","Outside London","Unknown","235","215","31210","27570"
"In post","2022","Declared non-disabled","Mixed","Overseas","Heterosexual / straight","70","70","48670","46120"
"In post","2022","Declared non-disabled","Mixed","Overseas","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","London","Heterosexual / straight","750","720","40130","35050"
"In post","2022","Declared non-disabled","Other ethnicity","London","LGBO","55","55","42810","37610"
"In post","2022","Declared non-disabled","Other ethnicity","London","Undeclared","80","75","43770","36980"
"In post","2022","Declared non-disabled","Other ethnicity","London","Unknown","60","50","37730","31880"
"In post","2022","Declared non-disabled","Other ethnicity","Outside London","Heterosexual / straight","715","675","31360","27570"
"In post","2022","Declared non-disabled","Other ethnicity","Outside London","LGBO","55","50","34510","28550"
"In post","2022","Declared non-disabled","Other ethnicity","Outside London","Undeclared","70","65","35530","30820"
"In post","2022","Declared non-disabled","Other ethnicity","Outside London","Unknown","80","70","31540","27570"
"In post","2022","Declared non-disabled","Other ethnicity","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","London","Heterosexual / straight","645","620","39460","33970"
"In post","2022","Declared non-disabled","Undeclared","London","LGBO","35","35","43930","36060"
"In post","2022","Declared non-disabled","Undeclared","London","Undeclared","1020","970","43760","39810"
"In post","2022","Declared non-disabled","Undeclared","London","Unknown","370","330","34590","31880"
"In post","2022","Declared non-disabled","Undeclared","Outside London","Heterosexual / straight","1385","1295","30730","27570"
"In post","2022","Declared non-disabled","Undeclared","Outside London","LGBO","90","85","30650","28010"
"In post","2022","Declared non-disabled","Undeclared","Outside London","Undeclared","3535","3295","33420","29390"
"In post","2022","Declared non-disabled","Undeclared","Outside London","Unknown","1880","1630","31100","27570"
"In post","2022","Declared non-disabled","Undeclared","Overseas","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Overseas","Undeclared","45","45","41090","37380"
"In post","2022","Declared non-disabled","Undeclared","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","London","Heterosexual / straight","420","400","43660","37630"
"In post","2022","Declared non-disabled","Unknown","London","LGBO","30","30","47040","37930"
"In post","2022","Declared non-disabled","Unknown","London","Undeclared","105","100","43720","39250"
"In post","2022","Declared non-disabled","Unknown","London","Unknown","935","890","43300","36300"
"In post","2022","Declared non-disabled","Unknown","Outside London","Heterosexual / straight","1625","1505","32310","28010"
"In post","2022","Declared non-disabled","Unknown","Outside London","LGBO","75","70","34580","29000"
"In post","2022","Declared non-disabled","Unknown","Outside London","Undeclared","385","355","34520","32730"
"In post","2022","Declared non-disabled","Unknown","Outside London","Unknown","5510","5040","29520","27130"
"In post","2022","Declared non-disabled","Unknown","Overseas","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Overseas","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","White","London","Heterosexual / straight","33500","32260","48610","43810"
"In post","2022","Declared non-disabled","White","London","LGBO","3035","2995","47540","42940"
"In post","2022","Declared non-disabled","White","London","Undeclared","2600","2490","46550","41950"
"In post","2022","Declared non-disabled","White","London","Unknown","1615","1500","46460","40470"
"In post","2022","Declared non-disabled","White","Outside London","Heterosexual / straight","183885","171615","32620","27570"
"In post","2022","Declared non-disabled","White","Outside London","LGBO","9780","9510","31470","27570"
"In post","2022","Declared non-disabled","White","Outside London","Undeclared","12960","11760","31420","27570"
"In post","2022","Declared non-disabled","White","Outside London","Unknown","18590","16315","32020","27570"
"In post","2022","Declared non-disabled","White","Overseas","Heterosexual / straight","1685","1675","49710","49370"
"In post","2022","Declared non-disabled","White","Overseas","LGBO","110","110","51120","52430"
"In post","2022","Declared non-disabled","White","Overseas","Undeclared","125","125","48210","45250"
"In post","2022","Declared non-disabled","White","Overseas","Unknown","30","30","47950","43530"
"In post","2022","Declared non-disabled","White","Unknown","Heterosexual / straight","520","500","34640","31060"
"In post","2022","Declared non-disabled","White","Unknown","LGBO","35","35","33300","28000"
"In post","2022","Declared non-disabled","White","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","White","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Undeclared","Asian","London","Heterosexual / straight","440","420","38210","34140"
"In post","2022","Undeclared","Asian","London","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Asian","London","Undeclared","110","100","39560","33740"
"In post","2022","Undeclared","Asian","London","Unknown","40","35","35340","31060"
"In post","2022","Undeclared","Asian","Outside London","Heterosexual / straight","570","530","29520","27570"
"In post","2022","Undeclared","Asian","Outside London","LGBO","25","25","[c]","[c]"
"In post","2022","Undeclared","Asian","Outside London","Undeclared","90","85","29140","27570"
"In post","2022","Undeclared","Asian","Outside London","Unknown","70","60","26670","27570"
"In post","2022","Undeclared","Asian","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","London","Heterosexual / straight","320","310","35260","32320"
"In post","2022","Undeclared","Black","London","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Black","London","Undeclared","65","60","34270","31180"
"In post","2022","Undeclared","Black","London","Unknown","100","90","31710","31740"
"In post","2022","Undeclared","Black","Outside London","Heterosexual / straight","190","175","30300","27570"
"In post","2022","Undeclared","Black","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Undeclared","Black","Outside London","Undeclared","40","35","32420","30890"
"In post","2022","Undeclared","Black","Outside London","Unknown","35","30","29620","31650"
"In post","2022","Undeclared","Black","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","London","Heterosexual / straight","100","95","42740","37970"
"In post","2022","Undeclared","Mixed","London","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Mixed","London","Undeclared","30","30","38790","34710"
"In post","2022","Undeclared","Mixed","London","Unknown","15","10","[c]","[c]"
"In post","2022","Undeclared","Mixed","Outside London","Heterosexual / straight","155","150","31580","27570"
"In post","2022","Undeclared","Mixed","Outside London","LGBO","35","35","30930","27660"
"In post","2022","Undeclared","Mixed","Outside London","Undeclared","55","55","30430","28200"
"In post","2022","Undeclared","Mixed","Outside London","Unknown","20","15","[c]","[c]"
"In post","2022","Undeclared","Mixed","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","London","LGBO","5","5","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Outside London","Heterosexual / straight","35","35","31520","27240"
"In post","2022","Undeclared","Other ethnicity","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","London","Heterosexual / straight","125","120","38130","31520"
"In post","2022","Undeclared","Undeclared","London","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","Undeclared","London","Undeclared","1335","1295","45480","41750"
"In post","2022","Undeclared","Undeclared","London","Unknown","75","70","45740","40570"
"In post","2022","Undeclared","Undeclared","Outside London","Heterosexual / straight","255","240","31280","27570"
"In post","2022","Undeclared","Undeclared","Outside London","LGBO","65","60","32200","29260"
"In post","2022","Undeclared","Undeclared","Outside London","Undeclared","4825","4550","34340","31660"
"In post","2022","Undeclared","Undeclared","Outside London","Unknown","285","260","32230","28570"
"In post","2022","Undeclared","Undeclared","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Overseas","Undeclared","70","70","45490","37780"
"In post","2022","Undeclared","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Undeclared","Unknown","London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Undeclared","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","London","Undeclared","120","115","42820","38540"
"In post","2022","Undeclared","Unknown","London","Unknown","100","95","36910","34260"
"In post","2022","Undeclared","Unknown","Outside London","Heterosexual / straight","120","110","30840","28060"
"In post","2022","Undeclared","Unknown","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Unknown","Outside London","Undeclared","350","325","31000","27570"
"In post","2022","Undeclared","Unknown","Outside London","Unknown","370","335","30960","31650"
"In post","2022","Undeclared","Unknown","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","White","London","Heterosexual / straight","1330","1290","45470","40940"
