"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","Outside London","G6/G7","G7","160","155","51570","52290"
"In post","2022","Animal and Plant Health Agency","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO/HEO","HEO","450","435","30940","30400"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO/HEO","SEO","495","465","39350","37690"
"In post","2022","Animal and Plant Health Agency","Unknown","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","EO","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","G6/G7","G6","10","10","66710","65180"
"In post","2022","Attorney General's Office","London","G6/G7","G7","10","10","52960","51250"
"In post","2022","Attorney General's Office","London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","AA/AO","AO","110","105","24170","24490"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","EO","530","520","27700","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","G6/G7","G6","755","745","68880","66020"
"In post","2022","Cabinet Office (excl. agencies)","London","G6/G7","G7","1865","1830","56720","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","SCS level","585","575","99820","93000"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO/HEO","HEO","1900","1890","31870","32000"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO/HEO","SEO","680","675","41020","40600"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AA/AO","AO","355","325","21140","21050"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","EO","EO","355","330","25210","24920"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6/G7","G6","260","255","71750","65420"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6/G7","G7","690","680","56350","52630"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SCS level","SCS level","135","130","103720","95900"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","HEO","915","895","31650","32000"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","SEO","325","315","38490","37300"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","EO","30","30","26000","26570"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6/G7","G6","10","10","69440","64500"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6/G7","G7","75","70","54150","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS level","SCS level","15","15","100010","86870"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","HEO","300","300","30510","29250"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","SEO","45","45","39370","40250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","AO","45","40","21310","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","EO","150","140","25260","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","G6","25","25","62870","60250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","G7","90","85","48990","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","HEO","185","175","29830","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","SEO","150","140","37150","36580"
"In post","2022","Charity Commission","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","EO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Charity Commission","London","G6/G7","G7","25","20","52080","51070"
"In post","2022","Charity Commission","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SEO/HEO","HEO","20","20","29040","29160"
"In post","2022","Charity Commission","London","SEO/HEO","SEO","20","20","38180","37910"
"In post","2022","Charity Commission","Outside London","AA/AO","AO","30","20","18910","19980"
"In post","2022","Charity Commission","Outside London","EO","EO","110","105","24940","24440"
"In post","2022","Charity Commission","Outside London","G6/G7","G6","10","10","63650","62480"
"In post","2022","Charity Commission","Outside London","G6/G7","G7","25","25","50580","51070"
"In post","2022","Charity Commission","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SEO/HEO","HEO","130","125","29250","29160"
"In post","2022","Charity Commission","Outside London","SEO/HEO","SEO","75","75","37400","37910"
"In post","2022","Companies House","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Outside London","AA/AO","AO","445","390","21700","22740"
"In post","2022","Companies House","Outside London","EO","EO","300","285","27410","25460"
"In post","2022","Companies House","Outside London","G6/G7","G6","25","25","66920","65990"
"In post","2022","Companies House","Outside London","G6/G7","G7","60","60","52910","50120"
"In post","2022","Companies House","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Companies House","Outside London","SEO/HEO","HEO","170","165","34420","35570"
"In post","2022","Companies House","Outside London","SEO/HEO","SEO","155","150","43100","42990"
"In post","2022","Competition and Markets Authority","London","AA/AO","AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","London","EO","EO","65","60","28220","27920"
"In post","2022","Competition and Markets Authority","London","G6/G7","G6","185","175","76150","75140"
"In post","2022","Competition and Markets Authority","London","G6/G7","G7","215","210","57390","56360"
"In post","2022","Competition and Markets Authority","London","SCS level","SCS level","120","115","108020","99920"
"In post","2022","Competition and Markets Authority","London","SEO/HEO","HEO","135","130","34830","34570"
"In post","2022","Competition and Markets Authority","London","SEO/HEO","SEO","55","55","44020","43880"
"In post","2022","Competition and Markets Authority","Outside London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","G6/G7","G6","20","20","73530","72430"
"In post","2022","Competition and Markets Authority","Outside London","G6/G7","G7","25","25","56080","55860"
"In post","2022","Competition and Markets Authority","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","AA/AO","AA","10","10","19200","19200"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","AA/AO","AO","110","100","21190","21120"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","EO","EO","80","80","25360","25120"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","G6/G7","G7","15","10","56780","59000"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","HEO","85","85","30850","30450"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","SEO","10","10","37170","36050"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","EO","EO","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","London","G6/G7","G6","10","10","67160","67640"
"In post","2022","Crown Commercial Service","London","G6/G7","G7","25","25","57550","56440"
"In post","2022","Crown Commercial Service","London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","London","SEO/HEO","HEO","10","10","35540","36910"
"In post","2022","Crown Commercial Service","London","SEO/HEO","SEO","15","15","42630","41620"
"In post","2022","Crown Commercial Service","Outside London","AA/AO","AO","25","25","20510","20330"
"In post","2022","Crown Commercial Service","Outside London","EO","EO","110","105","25810","25520"
"In post","2022","Crown Commercial Service","Outside London","G6/G7","G6","45","45","65580","64660"
"In post","2022","Crown Commercial Service","Outside London","G6/G7","G7","130","125","50560","51600"
"In post","2022","Crown Commercial Service","Outside London","SCS level","SCS level","10","10","94510","78300"
"In post","2022","Crown Commercial Service","Outside London","SEO/HEO","HEO","185","180","30870","30940"
"In post","2022","Crown Commercial Service","Outside London","SEO/HEO","SEO","230","225","38840","38980"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","AO","790","720","22520","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","EO","EO","385","370","28670","27940"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","G6","35","35","74960","75340"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","G7","190","175","67240","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","SCS level","SCS level","25","25","86160","83230"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","HEO","390","370","34210","34600"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","SEO","540","510","49240","47490"
"In post","2022","Crown Prosecution Service","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","London","AA/AO","AO","345","320","23420","23770"
"In post","2022","Crown Prosecution Service","London","EO","EO","375","355","28700","29170"
"In post","2022","Crown Prosecution Service","London","G6/G7","G6","90","90","75780","74660"
"In post","2022","Crown Prosecution Service","London","G6/G7","G7","680","640","59440","60710"
"In post","2022","Crown Prosecution Service","London","SCS level","SCS level","35","35","98740","90730"
"In post","2022","Crown Prosecution Service","London","SEO/HEO","HEO","175","170","34410","33930"
"In post","2022","Crown Prosecution Service","London","SEO/HEO","SEO","70","70","40920","39750"
"In post","2022","Crown Prosecution Service","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Outside London","AA/AO","AO","1095","995","22450","22200"
"In post","2022","Crown Prosecution Service","Outside London","EO","EO","1085","1005","27350","27440"
"In post","2022","Crown Prosecution Service","Outside London","G6/G7","G6","155","150","72800","70350"
"In post","2022","Crown Prosecution Service","Outside London","G6/G7","G7","2125","1950","54690","55140"
"In post","2022","Crown Prosecution Service","Outside London","SCS level","SCS level","45","45","91180","83970"
"In post","2022","Crown Prosecution Service","Outside London","SEO/HEO","HEO","580","555","34180","33310"
"In post","2022","Crown Prosecution Service","Outside London","SEO/HEO","SEO","170","170","39450","38180"
"In post","2022","Crown Prosecution Service","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Outside London","AA/AO","AA","40","40","19210","17450"
"In post","2022","Defence Electronics and Components Agency","Outside London","AA/AO","AO","60","55","22200","21770"
"In post","2022","Defence Electronics and Components Agency","Outside London","EO","EO","250","240","29000","29470"
"In post","2022","Defence Electronics and Components Agency","Outside London","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Outside London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Outside London","SEO/HEO","HEO","65","65","35830","33670"
"In post","2022","Defence Electronics and Components Agency","Outside London","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Defence Equipment and Support","London","EO","EO","120","115","20670","20070"
"In post","2022","Defence Equipment and Support","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","London","SEO/HEO","HEO","55","55","29150","27890"
"In post","2022","Defence Equipment and Support","London","SEO/HEO","SEO","10","10","40890","42230"
"In post","2022","Defence Equipment and Support","Outside London","EO","EO","2235","2140","22620","22000"
"In post","2022","Defence Equipment and Support","Outside London","G6/G7","G6","440","430","68260","67150"
"In post","2022","Defence Equipment and Support","Outside London","G6/G7","G7","1330","1295","52190","52700"
"In post","2022","Defence Equipment and Support","Outside London","SCS level","SCS level","110","110","102430","93640"
"In post","2022","Defence Equipment and Support","Outside London","SEO/HEO","HEO","3140","3015","30410","30500"
"In post","2022","Defence Equipment and Support","Outside London","SEO/HEO","SEO","3225","3110","40350","40640"
"In post","2022","Defence Equipment and Support","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Defence Equipment and Support","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Defence Equipment and Support","Overseas","SEO/HEO","HEO","15","15","32820","32370"
"In post","2022","Defence Equipment and Support","Overseas","SEO/HEO","SEO","40","40","40910","41460"
"In post","2022","Defence Equipment and Support","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","London","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Outside London","AA/AO","AA","50","50","19270","17790"
"In post","2022","Defence Science and Technology Laboratory","Outside London","AA/AO","AO","135","130","20850","22080"
"In post","2022","Defence Science and Technology Laboratory","Outside London","EO","EO","285","270","24850","23490"
"In post","2022","Defence Science and Technology Laboratory","Outside London","G6/G7","G6","165","160","70800","67840"
"In post","2022","Defence Science and Technology Laboratory","Outside London","G6/G7","G7","1780","1705","51060","47380"
"In post","2022","Defence Science and Technology Laboratory","Outside London","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Outside London","SEO/HEO","HEO","1175","1145","30250","29230"
"In post","2022","Defence Science and Technology Laboratory","Outside London","SEO/HEO","SEO","1055","1015","39370","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","AO","55","50","25670","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","EO","320","315","28680","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","G6","650","625","67580","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","G7","1740","1700","55360","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","SCS level","300","285","87790","81880"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","HEO","1050","1040","34650","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","SEO","1125","1110","41480","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","AO","15","15","21580","21580"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","EO","105","100","25180","24570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","G6","70","65","63360","60930"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","G7","180","175","51310","49100"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SCS level","SCS level","30","30","92200","82690"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO/HEO","HEO","200","195","32920","30360"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO/HEO","SEO","175","170","43080","36740"
"In post","2022","Department for Digital, Culture, Media and Sport","London","AA/AO","AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","London","EO","EO","160","155","27020","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6/G7","G6","220","215","64120","63120"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6/G7","G7","615","605","53750","52130"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SCS level","SCS level","115","110","83760","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SEO/HEO","HEO","665","655","35680","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","EO","EO","25","25","25360","24950"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","G6","15","15","60280","60580"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","G7","65","65","51780","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","HEO","115","110","33920","34020"
"In post","2022","Department for Education (excl. agencies)","London","AA/AO","AO","25","25","24320","24250"
"In post","2022","Department for Education (excl. agencies)","London","EO","EO","190","185","29240","28500"
"In post","2022","Department for Education (excl. agencies)","London","G6/G7","G6","345","330","66120","65070"
"In post","2022","Department for Education (excl. agencies)","London","G6/G7","G7","620","595","54850","53760"
"In post","2022","Department for Education (excl. agencies)","London","SCS level","SCS level","155","150","82810","74370"
"In post","2022","Department for Education (excl. agencies)","London","SEO/HEO","HEO","320","310","34280","33300"
"In post","2022","Department for Education (excl. agencies)","London","SEO/HEO","SEO","435","420","41930","40510"
"In post","2022","Department for Education (excl. agencies)","Outside London","AA/AO","AO","60","55","21270","21250"
"In post","2022","Department for Education (excl. agencies)","Outside London","EO","EO","520","505","25420","25000"
"In post","2022","Department for Education (excl. agencies)","Outside London","G6/G7","G6","450","435","63140","61680"
"In post","2022","Department for Education (excl. agencies)","Outside London","G6/G7","G7","1035","1000","50710","50130"
"In post","2022","Department for Education (excl. agencies)","Outside London","SCS level","SCS level","80","75","81400","74100"
"In post","2022","Department for Education (excl. agencies)","Outside London","SEO/HEO","HEO","895","870","30370","29730"
"In post","2022","Department for Education (excl. agencies)","Outside London","SEO/HEO","SEO","1170","1125","37890","36660"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","AO","75","75","24390","24370"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","EO","290","280","28240","28170"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","G6","250","240","64950","64290"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","G7","675","655","54320","53600"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","SCS level","135","130","83960","77160"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","HEO","745","730","33490","32560"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","SEO","595","575","40600","39420"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","AO","95","85","21660","21300"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","EO","355","340","25390","25100"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","G6","290","280","61070","59590"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","G7","960","930","49820","48480"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","SCS level","60","60","82340","77230"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","HEO","860","830","30360","29690"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","SEO","1070","1025","37600","36640"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","London","AA/AO","AO","25","25","25260","25140"
"In post","2022","Department for International Trade","London","EO","EO","250","250","27770","26510"
"In post","2022","Department for International Trade","London","G6/G7","G6","255","255","64970","63180"
"In post","2022","Department for International Trade","London","G6/G7","G7","720","710","53780","51970"
"In post","2022","Department for International Trade","London","SCS level","SCS level","140","140","87490","77270"
"In post","2022","Department for International Trade","London","SEO/HEO","HEO","560","555","32960","31800"
"In post","2022","Department for International Trade","London","SEO/HEO","SEO","550","545","40160","38540"
"In post","2022","Department for International Trade","Outside London","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","EO","EO","20","20","24580","23720"
"In post","2022","Department for International Trade","Outside London","G6/G7","G6","20","20","61840","59280"
"In post","2022","Department for International Trade","Outside London","G6/G7","G7","65","65","49830","48220"
"In post","2022","Department for International Trade","Outside London","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","SEO/HEO","HEO","40","40","29790","28540"
"In post","2022","Department for International Trade","Outside London","SEO/HEO","SEO","40","40","36790","35370"
"In post","2022","Department for International Trade","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","G6/G7","G6","30","30","64550","63900"
"In post","2022","Department for International Trade","Overseas","G6/G7","G7","70","70","53850","53160"
"In post","2022","Department for International Trade","Overseas","SCS level","SCS level","25","25","83630","75290"
"In post","2022","Department for International Trade","Overseas","SEO/HEO","HEO","20","20","33640","33780"
"In post","2022","Department for International Trade","Overseas","SEO/HEO","SEO","30","30","40050","39170"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AA/AO","AO","25","25","26870","26870"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","EO","225","220","28880","27850"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6/G7","G6","295","285","65330","64000"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6/G7","G7","690","675","54440","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","SCS level","155","150","85050","77000"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO/HEO","HEO","445","440","33960","33210"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO/HEO","SEO","375","370","40740","39600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AA/AO","AO","35","35","23720","23320"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","EO","115","110","25800","24830"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6/G7","G6","70","70","61590","60500"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6/G7","G7","270","265","49520","48200"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","SCS level","25","20","87040","76740"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO/HEO","HEO","300","290","31050","30190"
