"Status","Year","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Digital, Data & Technology","EO","590","[c]","26520","26580"
"New entrant CS","2022","Digital, Data & Technology","G6","90","[c]","66290","65000"
"New entrant CS","2022","Digital, Data & Technology","G7","580","[c]","53570","53130"
"New entrant CS","2022","Digital, Data & Technology","HEO","705","[c]","32600","33000"
"New entrant CS","2022","Digital, Data & Technology","SCS level","25","[c]","102100","93110"
"New entrant CS","2022","Digital, Data & Technology","SEO","610","[c]","39860","39680"
"New entrant CS","2022","Digital, Data & Technology","Unknown","15","[c]","33100","32000"
"New entrant CS","2022","Finance","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","AO","170","[c]","21250","21250"
"New entrant CS","2022","Finance","EO","330","[c]","25350","25120"
"New entrant CS","2022","Finance","G6","30","[c]","66080","65780"
"New entrant CS","2022","Finance","G7","125","[c]","53170","53360"
"New entrant CS","2022","Finance","HEO","250","[c]","32290","32190"
"New entrant CS","2022","Finance","SCS level","15","[c]","77080","74500"
"New entrant CS","2022","Finance","SEO","250","[c]","40070","40180"
"New entrant CS","2022","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","AO","480","[c]","21220","21300"
"New entrant CS","2022","Grants Management","EO","35","[c]","24940","24920"
"New entrant CS","2022","Grants Management","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","HEO","5","[c]","[c]","[c]"
"New entrant CS","2022","Grants Management","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","AA","25","[c]","19140","19560"
"New entrant CS","2022","Human Resources","AO","285","[c]","21520","21170"
"New entrant CS","2022","Human Resources","EO","390","[c]","26150","26590"
"New entrant CS","2022","Human Resources","G6","35","[c]","65580","65130"
"New entrant CS","2022","Human Resources","G7","130","[c]","52930","52460"
"New entrant CS","2022","Human Resources","HEO","315","[c]","31760","32000"
"New entrant CS","2022","Human Resources","SCS level","20","[c]","85180","75910"
"New entrant CS","2022","Human Resources","SEO","145","[c]","39920","39460"
"New entrant CS","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","EO","5","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","G7","10","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HEO","10","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","SEO","25","[c]","43020","43160"
"New entrant CS","2022","Legal","AA","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","AO","325","[c]","21440","21250"
"New entrant CS","2022","Legal","EO","310","[c]","27220","26950"
"New entrant CS","2022","Legal","G6","35","[c]","67630","63740"
"New entrant CS","2022","Legal","G7","335","[c]","52330","50500"
"New entrant CS","2022","Legal","HEO","150","[c]","39160","38000"
"New entrant CS","2022","Legal","SCS level","10","[c]","92990","98000"
"New entrant CS","2022","Legal","SEO","85","[c]","41130","41750"
"New entrant CS","2022","No function","AA","2360","[c]","20430","20890"
"New entrant CS","2022","No function","AO","14135","[c]","22430","21260"
"New entrant CS","2022","No function","EO","8065","[c]","27520","27570"
"New entrant CS","2022","No function","G6","300","[c]","66400","65310"
"New entrant CS","2022","No function","G7","1230","[c]","53310","52290"
"New entrant CS","2022","No function","HEO","4890","[c]","31740","32330"
"New entrant CS","2022","No function","SCS level","180","[c]","96200","88790"
"New entrant CS","2022","No function","SEO","1910","[c]","40010","39600"
"New entrant CS","2022","No function","Unknown","8835","[c]","28550","26310"
"New entrant CS","2022","Project Delivery","AA","10","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","AO","130","[c]","21370","21260"
"New entrant CS","2022","Project Delivery","EO","505","[c]","23180","24000"
"New entrant CS","2022","Project Delivery","G6","50","[c]","67790","65440"
"New entrant CS","2022","Project Delivery","G7","210","[c]","53510","53500"
"New entrant CS","2022","Project Delivery","HEO","475","[c]","31660","33000"
"New entrant CS","2022","Project Delivery","SCS level","20","[c]","105270","105000"
"New entrant CS","2022","Project Delivery","SEO","425","[c]","41140","40180"
"New entrant CS","2022","Project Delivery","Unknown","185","[c]","35730","32000"
"New entrant CS","2022","Property","AA","45","[c]","19260","19010"
"New entrant CS","2022","Property","AO","270","[c]","21990","21750"
"New entrant CS","2022","Property","EO","265","[c]","25420","25000"
"New entrant CS","2022","Property","G6","45","[c]","64870","64180"
"New entrant CS","2022","Property","G7","110","[c]","52640","52290"
"New entrant CS","2022","Property","HEO","215","[c]","31560","32560"
"New entrant CS","2022","Property","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2022","Property","SEO","160","[c]","40870","40180"
"New entrant CS","2022","Security","AA","220","[c]","23350","24720"
"New entrant CS","2022","Security","AO","260","[c]","26500","24180"
"New entrant CS","2022","Security","EO","195","[c]","27370","26350"
"New entrant CS","2022","Security","G6","5","[c]","[c]","[c]"
"New entrant CS","2022","Security","G7","20","[c]","54510","54120"
"New entrant CS","2022","Security","HEO","110","[c]","32800","32000"
"New entrant CS","2022","Security","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","SEO","55","[c]","40650","40520"
"New entrant CS","2022","Security","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA","985","[c]","20960","21050"
"New entrant CS","2022","Unknown","AO","2235","[c]","22160","21420"
"New entrant CS","2022","Unknown","EO","3355","[c]","27350","27230"
"New entrant CS","2022","Unknown","G6","180","[c]","70120","67550"
"New entrant CS","2022","Unknown","G7","515","[c]","54740","53480"
"New entrant CS","2022","Unknown","HEO","1320","[c]","32990","31540"
"New entrant CS","2022","Unknown","SCS level","55","[c]","90560","84560"
"New entrant CS","2022","Unknown","SEO","805","[c]","41080","40000"
"New entrant CS","2022","Unknown","Unknown","180","[c]","21310","16190"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
