"Status","Year","Disability","Organisation","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Office","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","Heterosexual / straight","60","55","21780","21050"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","EO","Heterosexual / straight","95","90","26830","27500"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","Heterosexual / straight","195","195","58190","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","LGBO","50","50","55940","54700"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SCS level","Heterosexual / straight","40","35","91940","78000"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","Heterosexual / straight","200","195","36250","35590"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","LGBO","45","45","36560","34640"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","Undeclared","30","30","36350","35590"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","AA/AO","Heterosexual / straight","30","25","22100","22740"
"In post","2022","Declared disabled","Companies House","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Companies House","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Companies House","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Companies House","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SEO/HEO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","Heterosexual / straight","35","35","22170","22480"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","Heterosexual / straight","40","40","44450","41750"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","AA/AO","Heterosexual / straight","145","130","22660","22200"
"In post","2022","Declared disabled","Crown Prosecution Service","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","EO","Heterosexual / straight","130","120","27980","28430"
"In post","2022","Declared disabled","Crown Prosecution Service","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","G6/G7","Heterosexual / straight","265","245","58590","55610"
"In post","2022","Declared disabled","Crown Prosecution Service","G6/G7","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","G6/G7","Unknown","50","40","58710","56080"
"In post","2022","Declared disabled","Crown Prosecution Service","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
