"Status","Year","Organisation","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Female","175","155","27730","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","Male","140","140","26740","25120"
"In post","2022","Crown Commercial Service","Cabinet Office","Commercial","Female","185","180","34990","32000"
"In post","2022","Crown Commercial Service","Cabinet Office","Commercial","Male","165","165","36790","38330"
"In post","2022","Crown Commercial Service","Cabinet Office","Communications","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","Female","50","50","46950","46610"
"In post","2022","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","Male","85","85","43590","40180"
"In post","2022","Crown Commercial Service","Cabinet Office","Finance","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Finance","Male","20","20","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Human Resources","Female","30","30","38650","34870"
"In post","2022","Crown Commercial Service","Cabinet Office","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Operational Delivery","Female","105","105","40610","38980"
"In post","2022","Crown Commercial Service","Cabinet Office","Operational Delivery","Male","85","85","42140","38330"
"In post","2022","Crown Commercial Service","Cabinet Office","Policy","Female","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Policy","Male","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Project Delivery","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","Female","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","Male","45","45","40840","38600"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","Female","15","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","Female","35","30","33370","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","Male","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","Female","505","470","54010","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","Male","220","215","54770","53490"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","Female","1065","980","27260","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","Male","380","365","28180","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","Female","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","Male","5","5","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Commercial","Female","25","25","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Communications","Female","40","40","40190","39750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Communications","Male","20","20","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","Female","60","60","37990","33310"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","Male","50","50","40480","35750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Finance","Female","100","90","28050","25480"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Finance","Male","70","70","31640","26070"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Human Resources","Female","130","125","37470","31560"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Human Resources","Male","45","40","35060","30930"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Internal Audit","Male","5","5","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","Female","20","20","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","Male","10","10","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Legal","Female","2060","1865","53810","53350"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Legal","Male","1255","1215","56540","55610"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","Female","2145","1945","26880","25480"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","Male","745","730","27510","25480"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Other","Female","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Policy","Female","45","40","54890","54760"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Policy","Male","25","25","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Project Delivery","Female","55","50","38800","35020"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Project Delivery","Male","40","40","40370","38180"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Property","Female","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Property","Male","15","15","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Security","Female","20","20","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Security","Male","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Commercial","Female","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Finance","Male","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Medicine","Male","15","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","Female","25","25","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","Male","40","35","34480","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Other","Male","30","25","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","Male","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Property","Female","[c]","[c]","[c]","[c]"
