"Status","Year","Disability","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Analysis","Unknown","810","780","40470","38070"
"In post","2022","Declared non-disabled","Commercial","Heterosexual / straight","2920","2825","43690","39450"
"In post","2022","Declared non-disabled","Commercial","LGBO","135","130","39160","34710"
"In post","2022","Declared non-disabled","Commercial","Undeclared","245","235","41210","37770"
"In post","2022","Declared non-disabled","Commercial","Unknown","205","200","48860","38070"
"In post","2022","Declared non-disabled","Communications","Heterosexual / straight","4200","4050","36820","33080"
"In post","2022","Declared non-disabled","Communications","LGBO","310","305","36390","33080"
"In post","2022","Declared non-disabled","Communications","Undeclared","240","230","36370","33370"
"In post","2022","Declared non-disabled","Communications","Unknown","260","250","36240","33080"
"In post","2022","Declared non-disabled","Counter Fraud","Heterosexual / straight","8660","8070","33070","30750"
"In post","2022","Declared non-disabled","Counter Fraud","LGBO","405","390","32480","28920"
"In post","2022","Declared non-disabled","Counter Fraud","Undeclared","755","680","31800","28240"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","1540","1350","29910","27570"
"In post","2022","Declared non-disabled","Debt","Heterosexual / straight","3180","2820","24020","21260"
"In post","2022","Declared non-disabled","Debt","LGBO","205","200","23720","21260"
"In post","2022","Declared non-disabled","Debt","Undeclared","285","245","23730","21260"
"In post","2022","Declared non-disabled","Debt","Unknown","580","485","23920","21260"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Heterosexual / straight","11765","11425","41990","38880"
"In post","2022","Declared non-disabled","Digital, Data & Technology","LGBO","640","635","41330","37970"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Undeclared","1275","1225","40990","38470"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","985","935","40210","35990"
"In post","2022","Declared non-disabled","Finance","Heterosexual / straight","6755","6435","40330","36500"
"In post","2022","Declared non-disabled","Finance","LGBO","290","280","40590","36500"
"In post","2022","Declared non-disabled","Finance","Undeclared","585","550","39720","36850"
"In post","2022","Declared non-disabled","Finance","Unknown","820","750","37400","33400"
"In post","2022","Declared non-disabled","Grants Management","Heterosexual / straight","920","835","26130","24920"
"In post","2022","Declared non-disabled","Grants Management","LGBO","65","60","25820","24920"
"In post","2022","Declared non-disabled","Grants Management","Undeclared","55","50","23750","21300"
"In post","2022","Declared non-disabled","Grants Management","Unknown","1055","980","24230","21300"
"In post","2022","Declared non-disabled","Human Resources","Heterosexual / straight","6695","6335","38490","33530"
"In post","2022","Declared non-disabled","Human Resources","LGBO","390","380","39830","34550"
"In post","2022","Declared non-disabled","Human Resources","Undeclared","385","365","35590","31060"
"In post","2022","Declared non-disabled","Human Resources","Unknown","390","355","33980","29880"
"In post","2022","Declared non-disabled","Internal Audit","Heterosexual / straight","475","455","46300","43710"
"In post","2022","Declared non-disabled","Internal Audit","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Undeclared","55","50","46710","43200"
"In post","2022","Declared non-disabled","Internal Audit","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","Heterosexual / straight","6510","6085","47340","50500"
"In post","2022","Declared non-disabled","Legal","LGBO","385","370","48710","50500"
"In post","2022","Declared non-disabled","Legal","Undeclared","345","325","50610","51940"
"In post","2022","Declared non-disabled","Legal","Unknown","1260","1130","48390","53170"
"In post","2022","Declared non-disabled","No function","Heterosexual / straight","136780","127405","32420","27570"
"In post","2022","Declared non-disabled","No function","LGBO","8400","8165","33390","28140"
"In post","2022","Declared non-disabled","No function","Undeclared","12340","11175","31680","27570"
"In post","2022","Declared non-disabled","No function","Unknown","20090","17475","30100","27570"
"In post","2022","Declared non-disabled","Project Delivery","Heterosexual / straight","15290","14730","42450","40000"
"In post","2022","Declared non-disabled","Project Delivery","LGBO","660","655","42300","39650"
"In post","2022","Declared non-disabled","Project Delivery","Undeclared","1190","1130","42730","40130"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","1615","1520","40920","38070"
"In post","2022","Declared non-disabled","Property","Heterosexual / straight","5255","5040","37900","33370"
"In post","2022","Declared non-disabled","Property","LGBO","190","185","36160","32890"
"In post","2022","Declared non-disabled","Property","Undeclared","445","420","38610","34000"
"In post","2022","Declared non-disabled","Property","Unknown","390","360","37470","34000"
"In post","2022","Declared non-disabled","Security","Heterosexual / straight","5685","5550","32450","29890"
"In post","2022","Declared non-disabled","Security","LGBO","235","235","33280","31990"
"In post","2022","Declared non-disabled","Security","Undeclared","495","475","35410","35670"
"In post","2022","Declared non-disabled","Security","Unknown","290","285","36020","36100"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","45340","42835","34740","29430"
"In post","2022","Declared non-disabled","Unknown","LGBO","1840","1790","36310","31210"
"In post","2022","Declared non-disabled","Unknown","Undeclared","4225","3950","34880","29430"
"In post","2022","Declared non-disabled","Unknown","Unknown","2000","1880","37610","32040"
"In post","2022","Undeclared","Analysis","Heterosexual / straight","140","135","44730","40720"
"In post","2022","Undeclared","Analysis","LGBO","20","20","[c]","[c]"
"In post","2022","Undeclared","Analysis","Undeclared","100","95","45180","40520"
"In post","2022","Undeclared","Analysis","Unknown","15","15","[c]","[c]"
"In post","2022","Undeclared","Commercial","Heterosexual / straight","140","135","42900","37350"
"In post","2022","Undeclared","Commercial","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","Commercial","Undeclared","110","105","42000","40600"
"In post","2022","Undeclared","Commercial","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","Communications","Heterosexual / straight","145","145","36070","33080"
"In post","2022","Undeclared","Communications","LGBO","20","20","[c]","[c]"
"In post","2022","Undeclared","Communications","Undeclared","130","125","34640","33080"
"In post","2022","Undeclared","Communications","Unknown","20","20","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Heterosexual / straight","320","300","31630","27570"
"In post","2022","Undeclared","Counter Fraud","LGBO","35","35","34680","33220"
"In post","2022","Undeclared","Counter Fraud","Undeclared","510","475","36350","33370"
"In post","2022","Undeclared","Counter Fraud","Unknown","85","75","31670","28920"
"In post","2022","Undeclared","Debt","Heterosexual / straight","155","140","23300","21260"
"In post","2022","Undeclared","Debt","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Debt","Undeclared","115","100","23780","22080"
"In post","2022","Undeclared","Debt","Unknown","40","35","24080","22080"
"In post","2022","Undeclared","Digital, Data & Technology","Heterosexual / straight","495","485","40110","37040"
"In post","2022","Undeclared","Digital, Data & Technology","LGBO","55","55","39320","33370"
"In post","2022","Undeclared","Digital, Data & Technology","Undeclared","590","575","40960","37960"
"In post","2022","Undeclared","Digital, Data & Technology","Unknown","50","50","39440","36120"
"In post","2022","Undeclared","Finance","Heterosexual / straight","285","270","39420","35310"
"In post","2022","Undeclared","Finance","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Finance","Undeclared","285","270","39800","35310"
"In post","2022","Undeclared","Finance","Unknown","45","40","36190","35980"
"In post","2022","Undeclared","Grants Management","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Undeclared","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Grants Management","Undeclared","25","20","[c]","[c]"
"In post","2022","Undeclared","Grants Management","Unknown","15","10","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Heterosexual / straight","350","330","36570","33370"
"In post","2022","Undeclared","Human Resources","LGBO","25","25","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Undeclared","210","200","36670","33300"
"In post","2022","Undeclared","Human Resources","Unknown","35","35","35070","33160"
"In post","2022","Undeclared","Internal Audit","Heterosexual / straight","35","35","49540","49980"
"In post","2022","Undeclared","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Undeclared","25","20","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Legal","Heterosexual / straight","140","130","50510","52980"
"In post","2022","Undeclared","Legal","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Legal","Undeclared","130","120","51540","53490"
"In post","2022","Undeclared","Legal","Unknown","30","30","59020","64810"
"In post","2022","Undeclared","No function","Heterosexual / straight","7635","7060","31150","27570"
"In post","2022","Undeclared","No function","LGBO","705","685","31430","27570"
"In post","2022","Undeclared","No function","Undeclared","5115","4775","33510","30450"
"In post","2022","Undeclared","No function","Unknown","2615","2310","30160","31650"
"In post","2022","Undeclared","Project Delivery","Heterosexual / straight","585","560","40510","39140"
"In post","2022","Undeclared","Project Delivery","LGBO","45","45","40170","40160"
"In post","2022","Undeclared","Project Delivery","Undeclared","685","655","42960","40520"
"In post","2022","Undeclared","Project Delivery","Unknown","70","65","40760","39390"
"In post","2022","Undeclared","Property","Heterosexual / straight","270","265","37090","33680"
"In post","2022","Undeclared","Property","LGBO","20","20","[c]","[c]"
"In post","2022","Undeclared","Property","Undeclared","265","250","38720","34000"
"In post","2022","Undeclared","Property","Unknown","95","85","35410","31790"
"In post","2022","Undeclared","Security","Heterosexual / straight","390","380","32380","29960"
"In post","2022","Undeclared","Security","LGBO","40","40","35820","35400"
"In post","2022","Undeclared","Security","Undeclared","400","390","36970","39070"
"In post","2022","Undeclared","Security","Unknown","40","40","41170","40190"
"In post","2022","Undeclared","Unknown","Heterosexual / straight","1485","1400","31970","27400"
"In post","2022","Undeclared","Unknown","LGBO","105","105","33570","28920"
"In post","2022","Undeclared","Unknown","Undeclared","1840","1740","34500","30820"
"In post","2022","Undeclared","Unknown","Unknown","80","75","34480","29530"
"In post","2022","Unknown","Analysis","Heterosexual / straight","660","640","41710","38340"
"In post","2022","Unknown","Analysis","LGBO","65","65","37840","33210"
"In post","2022","Unknown","Analysis","Undeclared","185","180","48740","50710"
"In post","2022","Unknown","Analysis","Unknown","875","850","41030","37020"
"In post","2022","Unknown","Commercial","Heterosexual / straight","460","445","38890","36780"
"In post","2022","Unknown","Commercial","LGBO","35","35","44320","40650"
"In post","2022","Unknown","Commercial","Undeclared","145","140","45290","40650"
"In post","2022","Unknown","Commercial","Unknown","1745","1715","60290","60140"
"In post","2022","Unknown","Communications","Heterosexual / straight","350","340","39590","36660"
"In post","2022","Unknown","Communications","LGBO","45","45","36280","33370"
"In post","2022","Unknown","Communications","Undeclared","195","185","45040","40650"
"In post","2022","Unknown","Communications","Unknown","2020","1970","33270","26820"
"In post","2022","Unknown","Counter Fraud","Heterosexual / straight","325","300","34430","33080"
"In post","2022","Unknown","Counter Fraud","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","Undeclared","65","60","38180","34560"
"In post","2022","Unknown","Counter Fraud","Unknown","2320","2215","32600","31020"
"In post","2022","Unknown","Debt","Heterosexual / straight","85","75","25010","22080"
"In post","2022","Unknown","Debt","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Debt","Undeclared","15","15","[c]","[c]"
"In post","2022","Unknown","Debt","Unknown","1320","1220","23370","21250"
"In post","2022","Unknown","Digital, Data & Technology","Heterosexual / straight","1070","1050","40780","37100"
"In post","2022","Unknown","Digital, Data & Technology","LGBO","80","80","39610","36500"
"In post","2022","Unknown","Digital, Data & Technology","Undeclared","225","220","43010","40140"
"In post","2022","Unknown","Digital, Data & Technology","Unknown","2820","2775","41860","38450"
"In post","2022","Unknown","Finance","Heterosexual / straight","620","605","39090","36500"
"In post","2022","Unknown","Finance","LGBO","45","45","35420","32640"
"In post","2022","Unknown","Finance","Undeclared","240","240","40790","36820"
"In post","2022","Unknown","Finance","Unknown","1255","1180","36330","33080"
"In post","2022","Unknown","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Heterosexual / straight","535","505","35600","32330"
"In post","2022","Unknown","Human Resources","LGBO","40","40","31910","27270"
"In post","2022","Unknown","Human Resources","Undeclared","100","95","33830","31450"
"In post","2022","Unknown","Human Resources","Unknown","965","925","35490","32000"
"In post","2022","Unknown","Internal Audit","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Unknown","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","Unknown","30","30","44720","40760"
"In post","2022","Unknown","Legal","Heterosexual / straight","975","940","39840","38090"
"In post","2022","Unknown","Legal","LGBO","55","55","34020","26970"
"In post","2022","Unknown","Legal","Undeclared","100","95","41180","40000"
"In post","2022","Unknown","Legal","Unknown","1245","1150","47930","50500"
"In post","2022","Unknown","No function","Heterosexual / straight","9675","9105","36240","33370"
"In post","2022","Unknown","No function","LGBO","710","695","35540","32770"
"In post","2022","Unknown","No function","Undeclared","1790","1690","42330","36820"
"In post","2022","Unknown","No function","Unknown","35715","33675","30610","27120"
"In post","2022","Unknown","Project Delivery","Heterosexual / straight","1060","1015","42770","40220"
"In post","2022","Unknown","Project Delivery","LGBO","50","50","44380","41750"
"In post","2022","Unknown","Project Delivery","Undeclared","190","185","43440","40580"
"In post","2022","Unknown","Project Delivery","Unknown","2505","2420","43300","40410"
"In post","2022","Unknown","Property","Heterosexual / straight","425","415","34820","32650"
"In post","2022","Unknown","Property","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Property","Undeclared","45","40","31630","33300"
"In post","2022","Unknown","Property","Unknown","1345","1305","31660","26880"
"In post","2022","Unknown","Security","Heterosexual / straight","770","750","32160","30890"
"In post","2022","Unknown","Security","LGBO","40","40","30670","30130"
"In post","2022","Unknown","Security","Undeclared","120","120","35710","39070"
"In post","2022","Unknown","Security","Unknown","1320","1300","31830","28680"
"In post","2022","Unknown","Unknown","Heterosexual / straight","4360","4200","37820","32390"
"In post","2022","Unknown","Unknown","LGBO","285","280","36620","31210"
"In post","2022","Unknown","Unknown","Undeclared","525","505","38700","33860"
"In post","2022","Unknown","Unknown","Unknown","10985","10635","35000","30780"
"Leaver CS","2022","Declared disabled","Analysis","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Analysis","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Heterosexual / straight","35","[c]","26660","27570"
"Leaver CS","2022","Declared disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","Heterosexual / straight","80","[c]","39240","35360"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Heterosexual / straight","65","[c]","33920","29500"
"Leaver CS","2022","Declared disabled","Human Resources","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","Heterosexual / straight","45","[c]","45290","52590"
"Leaver CS","2022","Declared disabled","Legal","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","No function","Heterosexual / straight","1970","[c]","28790","27570"
"Leaver CS","2022","Declared disabled","No function","LGBO","315","[c]","28320","27570"
"Leaver CS","2022","Declared disabled","No function","Undeclared","250","[c]","27100","26780"
"Leaver CS","2022","Declared disabled","No function","Unknown","145","[c]","29640","27570"
"Leaver CS","2022","Declared disabled","Project Delivery","Heterosexual / straight","95","[c]","38300","34870"
"Leaver CS","2022","Declared disabled","Project Delivery","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Project Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","Heterosexual / straight","35","[c]","28610","26670"
"Leaver CS","2022","Declared disabled","Property","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","Heterosexual / straight","45","[c]","33070","32880"
"Leaver CS","2022","Declared disabled","Security","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","Heterosexual / straight","440","[c]","29420","26100"
"Leaver CS","2022","Declared disabled","Unknown","LGBO","55","[c]","28970","27570"
"Leaver CS","2022","Declared disabled","Unknown","Undeclared","80","[c]","30170","27370"
"Leaver CS","2022","Declared disabled","Unknown","Unknown","470","[c]","29760","27230"
"Leaver CS","2022","Declared non-disabled","Analysis","Heterosexual / straight","195","[c]","38680","35010"
"Leaver CS","2022","Declared non-disabled","Analysis","LGBO","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Analysis","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Analysis","Unknown","50","[c]","43280","36630"
"Leaver CS","2022","Declared non-disabled","Commercial","Heterosexual / straight","175","[c]","43880","38990"
"Leaver CS","2022","Declared non-disabled","Commercial","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","Heterosexual / straight","165","[c]","40940","37510"
"Leaver CS","2022","Declared non-disabled","Communications","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Communications","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","Heterosexual / straight","160","[c]","30190","27570"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","Undeclared","30","[c]","29660","27570"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","Unknown","65","[c]","28950","27570"
"Leaver CS","2022","Declared non-disabled","Debt","Heterosexual / straight","115","[c]","22660","21260"
"Leaver CS","2022","Declared non-disabled","Debt","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Debt","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Debt","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","Heterosexual / straight","600","[c]","43430","40020"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","LGBO","45","[c]","41430","36840"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","Undeclared","95","[c]","38720","36010"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","Unknown","55","[c]","45360","38450"
"Leaver CS","2022","Declared non-disabled","Finance","Heterosexual / straight","250","[c]","40280","35390"
"Leaver CS","2022","Declared non-disabled","Finance","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Finance","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Finance","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Grants Management","Heterosexual / straight","50","[c]","25370","24920"
"Leaver CS","2022","Declared non-disabled","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Grants Management","Unknown","90","[c]","23000","21300"
