"Status","Year","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Planning Inspectors","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Policy","Heterosexual / straight","2230","2155","45110","40220"
"In post","2022","Declared disabled","Policy","LGBO","465","455","44710","40050"
"In post","2022","Declared disabled","Policy","Undeclared","305","295","44450","40100"
"In post","2022","Declared disabled","Policy","Unknown","95","90","49360","49170"
"In post","2022","Declared disabled","Project Delivery","Heterosexual / straight","1155","1095","41040","38830"
"In post","2022","Declared disabled","Project Delivery","LGBO","115","110","41810","37460"
"In post","2022","Declared disabled","Project Delivery","Undeclared","160","145","41390","39990"
"In post","2022","Declared disabled","Project Delivery","Unknown","85","80","36590","33570"
"In post","2022","Declared disabled","Property","Heterosexual / straight","470","450","37180","33300"
"In post","2022","Declared disabled","Property","LGBO","35","35","39250","36520"
"In post","2022","Declared disabled","Property","Undeclared","55","55","36940","33300"
"In post","2022","Declared disabled","Property","Unknown","35","35","36120","33090"
"In post","2022","Declared disabled","Psychology","Heterosexual / straight","95","90","33050","29750"
"In post","2022","Declared disabled","Psychology","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Psychology","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Psychology","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","Heterosexual / straight","695","665","36800","34550"
"In post","2022","Declared disabled","Science and Engineering","LGBO","85","80","35650","32000"
"In post","2022","Declared disabled","Science and Engineering","Undeclared","125","120","36780","35670"
"In post","2022","Declared disabled","Science and Engineering","Unknown","110","105","37510","38070"
"In post","2022","Declared disabled","Security","Heterosexual / straight","550","530","31950","29120"
"In post","2022","Declared disabled","Security","LGBO","35","35","36740","31990"
"In post","2022","Declared disabled","Security","Undeclared","75","75","35790","38440"
"In post","2022","Declared disabled","Security","Unknown","45","40","32420","31880"
"In post","2022","Declared disabled","Social Research","Heterosexual / straight","85","80","41430","39300"
"In post","2022","Declared disabled","Social Research","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Social Research","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Social Research","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Statistics","Heterosexual / straight","165","160","43700","39100"
"In post","2022","Declared disabled","Statistics","LGBO","40","40","38810","37320"
"In post","2022","Declared disabled","Statistics","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Statistics","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Tax","Heterosexual / straight","1145","1065","36780","33370"
"In post","2022","Declared disabled","Tax","LGBO","165","160","34330","33080"
"In post","2022","Declared disabled","Tax","Undeclared","145","135","36810","33370"
"In post","2022","Declared disabled","Tax","Unknown","110","100","36720","33440"
"In post","2022","Declared disabled","Unknown","Heterosexual / straight","1795","1725","40220","34600"
"In post","2022","Declared disabled","Unknown","LGBO","415","405","38530","33720"
"In post","2022","Declared disabled","Unknown","Undeclared","200","195","41770","36760"
"In post","2022","Declared disabled","Unknown","Unknown","170","160","34780","30040"
"In post","2022","Declared disabled","Veterinarian","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Heterosexual / straight","3310","3190","40540","37400"
"In post","2022","Declared non-disabled","Commercial","LGBO","150","150","37990","34000"
"In post","2022","Declared non-disabled","Commercial","Undeclared","280","265","39430","36970"
"In post","2022","Declared non-disabled","Commercial","Unknown","255","240","37010","34290"
"In post","2022","Declared non-disabled","Communications","Heterosexual / straight","2160","2075","43040","39650"
"In post","2022","Declared non-disabled","Communications","LGBO","150","150","43120","40650"
"In post","2022","Declared non-disabled","Communications","Undeclared","170","165","41290","38160"
"In post","2022","Declared non-disabled","Communications","Unknown","150","145","39780","38070"
"In post","2022","Declared non-disabled","Corporate Finance","Heterosexual / straight","60","60","54890","47570"
"In post","2022","Declared non-disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","Unknown","50","50","42620","38590"
"In post","2022","Declared non-disabled","Counter Fraud","Heterosexual / straight","3430","3130","29260","27570"
"In post","2022","Declared non-disabled","Counter Fraud","LGBO","145","135","29050","27570"
"In post","2022","Declared non-disabled","Counter Fraud","Undeclared","365","325","28550","27570"
"In post","2022","Declared non-disabled","Counter Fraud","Unknown","1000","860","28710","27570"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Heterosexual / straight","10410","10135","42690","39650"
"In post","2022","Declared non-disabled","Digital, Data and Technology","LGBO","525","515","41280","37100"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Undeclared","1035","1000","41790","38650"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Unknown","1035","990","41080","37710"
"In post","2022","Declared non-disabled","Economics","Heterosexual / straight","1145","1120","49190","51210"
"In post","2022","Declared non-disabled","Economics","LGBO","100","100","46410","43370"
"In post","2022","Declared non-disabled","Economics","Undeclared","105","100","47890","47880"
"In post","2022","Declared non-disabled","Economics","Unknown","45","45","55320","55780"
"In post","2022","Declared non-disabled","Finance","Heterosexual / straight","7205","6930","40960","36610"
"In post","2022","Declared non-disabled","Finance","LGBO","270","265","42960","37510"
"In post","2022","Declared non-disabled","Finance","Undeclared","615","590","40700","37650"
"In post","2022","Declared non-disabled","Finance","Unknown","495","465","39920","35550"
"In post","2022","Declared non-disabled","Geography","Heterosexual / straight","260","250","31950","33290"
"In post","2022","Declared non-disabled","Geography","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","Heterosexual / straight","5540","5245","39600","35310"
"In post","2022","Declared non-disabled","Human Resources","LGBO","295","290","41950","37620"
"In post","2022","Declared non-disabled","Human Resources","Undeclared","330","315","37010","33300"
"In post","2022","Declared non-disabled","Human Resources","Unknown","265","245","35690","31990"
"In post","2022","Declared non-disabled","Inspector of Education and Training","Heterosexual / straight","705","690","66050","70500"
"In post","2022","Declared non-disabled","Inspector of Education and Training","LGBO","50","50","70930","75500"
"In post","2022","Declared non-disabled","Inspector of Education and Training","Undeclared","30","30","64960","64500"
"In post","2022","Declared non-disabled","Inspector of Education and Training","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","Heterosexual / straight","1945","1865","33560","30810"
"In post","2022","Declared non-disabled","Intelligence Analysis","LGBO","90","90","34600","30760"
"In post","2022","Declared non-disabled","Intelligence Analysis","Undeclared","210","200","33720","30500"
"In post","2022","Declared non-disabled","Intelligence Analysis","Unknown","65","60","34340","31700"
"In post","2022","Declared non-disabled","Internal Audit","Heterosexual / straight","485","465","46300","43430"
"In post","2022","Declared non-disabled","Internal Audit","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","Undeclared","55","50","46390","43160"
"In post","2022","Declared non-disabled","Internal Audit","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","Heterosexual / straight","710","700","48120","48220"
"In post","2022","Declared non-disabled","International Trade","LGBO","65","65","50920","50540"
"In post","2022","Declared non-disabled","International Trade","Undeclared","45","45","45440","40280"
"In post","2022","Declared non-disabled","International Trade","Unknown","55","55","45920","40100"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Heterosexual / straight","1265","1215","35540","32770"
"In post","2022","Declared non-disabled","Knowledge and Information Management","LGBO","80","80","35180","31920"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Undeclared","165","155","34250","32670"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Unknown","150","140","35710","31990"
"In post","2022","Declared non-disabled","Legal","Heterosexual / straight","6675","6260","49360","50500"
"In post","2022","Declared non-disabled","Legal","LGBO","355","345","51300","51470"
"In post","2022","Declared non-disabled","Legal","Undeclared","500","465","49950","48450"
"In post","2022","Declared non-disabled","Legal","Unknown","1025","930","54880","55610"
"In post","2022","Declared non-disabled","Medicine","Heterosexual / straight","1320","1170","52730","40780"
"In post","2022","Declared non-disabled","Medicine","LGBO","45","40","60900","47470"
"In post","2022","Declared non-disabled","Medicine","Undeclared","110","100","62300","50810"
"In post","2022","Declared non-disabled","Medicine","Unknown","65","55","51410","42120"
"In post","2022","Declared non-disabled","Operational Delivery","Heterosexual / straight","130325","120110","29010","27570"
"In post","2022","Declared non-disabled","Operational Delivery","LGBO","6760","6520","28780","27370"
"In post","2022","Declared non-disabled","Operational Delivery","Undeclared","12070","10775","28520","27130"
"In post","2022","Declared non-disabled","Operational Delivery","Unknown","18625","15975","27190","27060"
"In post","2022","Declared non-disabled","Operational Research","Heterosexual / straight","440","420","46990","47010"
"In post","2022","Declared non-disabled","Operational Research","LGBO","50","50","39610","37910"
"In post","2022","Declared non-disabled","Operational Research","Undeclared","35","30","46260","43520"
"In post","2022","Declared non-disabled","Operational Research","Unknown","365","350","44420","47010"
"In post","2022","Declared non-disabled","Other","Heterosexual / straight","16205","15360","30290","26930"
"In post","2022","Declared non-disabled","Other","LGBO","665","645","31370","27570"
"In post","2022","Declared non-disabled","Other","Undeclared","1425","1345","30360","26950"
"In post","2022","Declared non-disabled","Other","Unknown","1365","1240","31360","27570"
"In post","2022","Declared non-disabled","Planning","Heterosexual / straight","150","140","46570","41980"
"In post","2022","Declared non-disabled","Planning","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","Heterosexual / straight","240","215","56300","58810"
"In post","2022","Declared non-disabled","Planning Inspectors","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","Unknown","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","Heterosexual / straight","18450","17875","48220","45650"
"In post","2022","Declared non-disabled","Policy","LGBO","1610","1590","47730","45200"
"In post","2022","Declared non-disabled","Policy","Undeclared","1590","1540","47500","43900"
"In post","2022","Declared non-disabled","Policy","Unknown","760","715","48040","47770"
"In post","2022","Declared non-disabled","Project Delivery","Heterosexual / straight","9355","9010","44080","40520"
"In post","2022","Declared non-disabled","Project Delivery","LGBO","435","430","43230","40170"
"In post","2022","Declared non-disabled","Project Delivery","Undeclared","735","695","44190","40540"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","955","885","39850","38070"
"In post","2022","Declared non-disabled","Property","Heterosexual / straight","4365","4185","38820","34000"
"In post","2022","Declared non-disabled","Property","LGBO","160","155","37770","33300"
"In post","2022","Declared non-disabled","Property","Undeclared","380","355","39430","34770"
"In post","2022","Declared non-disabled","Property","Unknown","325","300","38910","36500"
"In post","2022","Declared non-disabled","Psychology","Heterosexual / straight","955","920","36200","31140"
"In post","2022","Declared non-disabled","Psychology","LGBO","50","50","31920","29060"
"In post","2022","Declared non-disabled","Psychology","Undeclared","45","40","36900","31180"
"In post","2022","Declared non-disabled","Psychology","Unknown","65","60","42420","41660"
"In post","2022","Declared non-disabled","Science and Engineering","Heterosexual / straight","6915","6675","38760","37400"
"In post","2022","Declared non-disabled","Science and Engineering","LGBO","345","340","35720","32330"
"In post","2022","Declared non-disabled","Science and Engineering","Undeclared","845","800","39390","38280"
"In post","2022","Declared non-disabled","Science and Engineering","Unknown","2355","2275","40860","38110"
"In post","2022","Declared non-disabled","Security","Heterosexual / straight","4980","4870","31770","28080"
"In post","2022","Declared non-disabled","Security","LGBO","195","195","33610","31990"
"In post","2022","Declared non-disabled","Security","Undeclared","430","415","34210","34580"
"In post","2022","Declared non-disabled","Security","Unknown","320","310","36670","36650"
"In post","2022","Declared non-disabled","Social Research","Heterosexual / straight","685","655","44400","41160"
"In post","2022","Declared non-disabled","Social Research","LGBO","70","70","42140","38050"
"In post","2022","Declared non-disabled","Social Research","Undeclared","40","40","45170","40440"
"In post","2022","Declared non-disabled","Social Research","Unknown","30","30","44970","41160"
"In post","2022","Declared non-disabled","Statistics","Heterosexual / straight","1330","1275","45370","41750"
"In post","2022","Declared non-disabled","Statistics","LGBO","110","110","41980","38340"
"In post","2022","Declared non-disabled","Statistics","Undeclared","90","85","43000","39850"
"In post","2022","Declared non-disabled","Statistics","Unknown","85","80","45120","40520"
"In post","2022","Declared non-disabled","Tax","Heterosexual / straight","9685","9235","36730","33370"
"In post","2022","Declared non-disabled","Tax","LGBO","645","630","34170","33080"
"In post","2022","Declared non-disabled","Tax","Undeclared","575","540","38310","33430"
"In post","2022","Declared non-disabled","Tax","Unknown","675","620","37430","33430"
"In post","2022","Declared non-disabled","Unknown","Heterosexual / straight","13675","13265","42910","37300"
"In post","2022","Declared non-disabled","Unknown","LGBO","1060","1045","40340","34600"
"In post","2022","Declared non-disabled","Unknown","Undeclared","855","835","45300","40600"
"In post","2022","Declared non-disabled","Unknown","Unknown","1645","1555","40330","35390"
"In post","2022","Declared non-disabled","Veterinarian","Heterosexual / straight","235","230","43700","39910"
"In post","2022","Declared non-disabled","Veterinarian","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","Undeclared","45","40","47090","47550"
"In post","2022","Declared non-disabled","Veterinarian","Unknown","25","20","[c]","[c]"
"In post","2022","Undeclared","Commercial","Heterosexual / straight","170","165","42210","37580"
"In post","2022","Undeclared","Commercial","LGBO","20","20","[c]","[c]"
"In post","2022","Undeclared","Commercial","Undeclared","130","125","42240","40520"
"In post","2022","Undeclared","Commercial","Unknown","25","20","[c]","[c]"
"In post","2022","Undeclared","Communications","Heterosexual / straight","80","80","40470","36970"
"In post","2022","Undeclared","Communications","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","Communications","Undeclared","65","65","40950","40460"
"In post","2022","Undeclared","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","Undeclared","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Heterosexual / straight","170","155","30150","27570"
"In post","2022","Undeclared","Counter Fraud","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","Undeclared","100","95","28780","27570"
"In post","2022","Undeclared","Counter Fraud","Unknown","50","45","30170","27570"
"In post","2022","Undeclared","Digital, Data and Technology","Heterosexual / straight","450","440","40720","37910"
"In post","2022","Undeclared","Digital, Data and Technology","LGBO","45","45","39020","33150"
"In post","2022","Undeclared","Digital, Data and Technology","Undeclared","550","540","41790","38720"
"In post","2022","Undeclared","Digital, Data and Technology","Unknown","50","50","41260","36240"
"In post","2022","Undeclared","Economics","Heterosexual / straight","45","45","44570","40350"
"In post","2022","Undeclared","Economics","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","Economics","Undeclared","35","35","49910","52530"
"In post","2022","Undeclared","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Finance","Heterosexual / straight","310","295","39620","35550"
"In post","2022","Undeclared","Finance","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Finance","Undeclared","310","300","40550","36120"
"In post","2022","Undeclared","Finance","Unknown","35","35","38670","38250"
"In post","2022","Undeclared","Geography","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Undeclared","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Geography","Undeclared","20","15","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Heterosexual / straight","265","255","38250","36090"
"In post","2022","Undeclared","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Human Resources","Undeclared","185","175","37360","33440"
"In post","2022","Undeclared","Human Resources","Unknown","25","25","[c]","[c]"
"In post","2022","Undeclared","Inspector of Education and Training","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","Heterosexual / straight","110","105","33390","31180"
"In post","2022","Undeclared","Intelligence Analysis","LGBO","5","5","[c]","[c]"
"In post","2022","Undeclared","Intelligence Analysis","Undeclared","145","140","35630","33000"
"In post","2022","Undeclared","Intelligence Analysis","Unknown","15","15","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Heterosexual / straight","30","30","51660","50940"
"In post","2022","Undeclared","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Undeclared","20","20","[c]","[c]"
"In post","2022","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Undeclared","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","International Trade","Undeclared","25","25","[c]","[c]"
"In post","2022","Undeclared","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","Heterosexual / straight","60","55","35280","30450"
"In post","2022","Undeclared","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Knowledge and Information Management","Undeclared","80","75","36410","33300"
"In post","2022","Undeclared","Knowledge and Information Management","Unknown","10","10","[c]","[c]"
"In post","2022","Undeclared","Legal","Heterosexual / straight","190","175","48780","47590"
"In post","2022","Undeclared","Legal","LGBO","20","20","[c]","[c]"
"In post","2022","Undeclared","Legal","Undeclared","295","275","45070","40520"
"In post","2022","Undeclared","Legal","Unknown","50","45","49920","44480"
"In post","2022","Undeclared","Medicine","Heterosexual / straight","55","45","49400","39780"
"In post","2022","Undeclared","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Medicine","Undeclared","35","35","53730","39030"
"In post","2022","Undeclared","Medicine","Unknown","5","5","[c]","[c]"
"In post","2022","Undeclared","Operational Delivery","Heterosexual / straight","6935","6350","28880","27570"
"In post","2022","Undeclared","Operational Delivery","LGBO","585","565","28510","27570"
"In post","2022","Undeclared","Operational Delivery","Undeclared","4840","4450","29890","27570"
"In post","2022","Undeclared","Operational Delivery","Unknown","2550","2245","29470","31530"
"In post","2022","Undeclared","Operational Research","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Undeclared","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Operational Research","Undeclared","15","15","[c]","[c]"
"In post","2022","Undeclared","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other","Heterosexual / straight","880","835","27670","25630"
"In post","2022","Undeclared","Other","LGBO","55","50","26060","26350"
"In post","2022","Undeclared","Other","Undeclared","645","615","29830","26930"
"In post","2022","Undeclared","Other","Unknown","95","85","27710","26670"
"In post","2022","Undeclared","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","Undeclared","10","10","[c]","[c]"
"In post","2022","Undeclared","Policy","Heterosexual / straight","780","760","45170","40220"
"In post","2022","Undeclared","Policy","LGBO","120","115","44230","39850"
"In post","2022","Undeclared","Policy","Undeclared","750","730","48480","47470"
"In post","2022","Undeclared","Policy","Unknown","60","55","48030","45260"
"In post","2022","Undeclared","Project Delivery","Heterosexual / straight","335","320","42400","40520"
"In post","2022","Undeclared","Project Delivery","LGBO","30","30","41810","40170"
"In post","2022","Undeclared","Project Delivery","Undeclared","365","350","45210","41000"
"In post","2022","Undeclared","Project Delivery","Unknown","40","35","40260","40000"
"In post","2022","Undeclared","Property","Heterosexual / straight","210","205","38150","34260"
"In post","2022","Undeclared","Property","LGBO","15","15","[c]","[c]"
"In post","2022","Undeclared","Property","Undeclared","235","225","39450","36330"
"In post","2022","Undeclared","Property","Unknown","75","70","36440","32390"
"In post","2022","Undeclared","Psychology","Heterosexual / straight","70","65","37560","31180"
"In post","2022","Undeclared","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Psychology","Undeclared","30","30","33970","30810"
"In post","2022","Undeclared","Psychology","Unknown","20","20","[c]","[c]"
"In post","2022","Undeclared","Science and Engineering","Heterosexual / straight","225","220","36850","33740"
"In post","2022","Undeclared","Science and Engineering","LGBO","15","15","[c]","[c]"
