"Status","Year","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Undeclared","35","35","45740","41330"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Heterosexual / straight","385","325","24820","21840"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","LGBO","35","30","24750","21840"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Undeclared","220","175","23390","21840"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","Heterosexual / straight","300","275","29760","26780"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","Undeclared","105","95","29400","26780"
"In post","2022","Declared disabled","Driver and Vehicle Standards Agency","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","Heterosexual / straight","130","125","40360","36960"
"In post","2022","Declared disabled","Education and Skills Funding Agency","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Education and Skills Funding Agency","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Heterosexual / straight","70","65","37360","32080"
"In post","2022","Declared disabled","FCDO Services","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","FCDO Services","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Heterosexual / straight","75","75","38870","37350"
"In post","2022","Declared disabled","Food Standards Agency","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","545","530","45050","39220"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","75","75","46010","43250"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","50","45","47280","43030"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","30","30","45840","42220"
"In post","2022","Declared disabled","Forestry and Land Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Forestry and Land Scotland","Unknown","30","30","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","Heterosexual / straight","40","40","43290","39980"
"In post","2022","Declared disabled","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Legal Department","Heterosexual / straight","150","140","52410","51250"
"In post","2022","Declared disabled","Government Legal Department","LGBO","35","30","51590","51510"
"In post","2022","Declared disabled","Government Legal Department","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Government Legal Department","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","Heterosexual / straight","30","30","54800","51600"
"In post","2022","Declared disabled","Government Property Agency","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Health and Safety Executive","Heterosexual / straight","250","230","39650","36510"
"In post","2022","Declared disabled","Health and Safety Executive","LGBO","30","30","35590","31660"
"In post","2022","Declared disabled","Health and Safety Executive","Undeclared","45","40","37630","35140"
"In post","2022","Declared disabled","Health and Safety Executive","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","Heterosexual / straight","1665","1490","25730","21490"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","LGBO","150","145","25090","20970"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","Undeclared","225","205","25530","21440"
"In post","2022","Declared disabled","HM Courts and Tribunals Service","Unknown","40","35","24270","21490"
"In post","2022","Declared disabled","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Crown Prosecution Service Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","Heterosexual / straight","480","420","30240","27130"
"In post","2022","Declared disabled","HM Land Registry","LGBO","35","35","29240","27130"
"In post","2022","Declared disabled","HM Land Registry","Undeclared","75","65","31170","27130"
"In post","2022","Declared disabled","HM Land Registry","Unknown","75","70","27510","27130"
"In post","2022","Declared disabled","HM Prison and Probation Service","Heterosexual / straight","5715","5340","30790","28290"
"In post","2022","Declared disabled","HM Prison and Probation Service","LGBO","695","680","30370","28200"
"In post","2022","Declared disabled","HM Prison and Probation Service","Undeclared","615","570","31870","31400"
"In post","2022","Declared disabled","HM Prison and Probation Service","Unknown","210","185","30480","31650"
"In post","2022","Declared disabled","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","4440","4015","33350","30750"
"In post","2022","Declared disabled","HM Revenue and Customs (excl. agencies)","LGBO","550","525","33270","33080"
"In post","2022","Declared disabled","HM Revenue and Customs (excl. agencies)","Undeclared","510","460","33100","28920"
"In post","2022","Declared disabled","HM Revenue and Customs (excl. agencies)","Unknown","610","525","29470","26490"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","Heterosexual / straight","160","155","46390","49500"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Heterosexual / straight","2360","2180","31930","27370"
"In post","2022","Declared disabled","Home Office","LGBO","225","215","34180","30500"
"In post","2022","Declared disabled","Home Office","Undeclared","390","360","32550","28790"
"In post","2022","Declared disabled","Home Office","Unknown","55","55","31680","28650"
"In post","2022","Declared disabled","Institute for Apprenticeships and Technical Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Institute for Apprenticeships and Technical Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intellectual Property Office","Heterosexual / straight","70","65","35100","30530"
"In post","2022","Declared disabled","Intellectual Property Office","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Intellectual Property Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intellectual Property Office","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal Aid Agency","Heterosexual / straight","130","120","27620","25120"
"In post","2022","Declared disabled","Legal Aid Agency","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Legal Aid Agency","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","Heterosexual / straight","40","40","36070","31050"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Met Office","Heterosexual / straight","85","80","35740","35270"
"In post","2022","Declared disabled","Met Office","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Met Office","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Heterosexual / straight","2630","2530","31980","28670"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","LGBO","155","155","33640","30890"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Undeclared","430","410","34170","33000"
"In post","2022","Declared disabled","Ministry of Defence (excl. agencies)","Unknown","105","100","32510","30750"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","Heterosexual / straight","480","465","41200","36560"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","LGBO","90","90","41480","38370"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","Undeclared","65","65","43080","38030"
"In post","2022","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Heterosexual / straight","195","190","38620","36740"
"In post","2022","Declared disabled","National Crime Agency","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Infrastructure Commission","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Infrastructure Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Records of Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","National Records of Scotland","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Records of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Records of Scotland","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Savings and Investments","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Savings and Investments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Budget Responsibility","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Budget Responsibility","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","120","115","46820","46360"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Heterosexual / straight","45","45","39240","35110"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Public Guardian","Heterosexual / straight","155","140","24400","21410"
"In post","2022","Declared disabled","Office of the Public Guardian","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of the Public Guardian","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Scottish Charity Regulator","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Scottish Charity Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Scottish Charity Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectorate","Heterosexual / straight","35","30","33060","24310"
"In post","2022","Declared disabled","Planning Inspectorate","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectorate","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectorate","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Queen Elizabeth II Centre","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Queen Elizabeth II Centre","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Registers of Scotland","Heterosexual / straight","100","95","33540","30840"
"In post","2022","Declared disabled","Registers of Scotland","LGBO","10","10","[c]","[c]"
