"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Courts and Tribunals Service","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Prison and Probation Service","AA/AO","85","85","23500","23140"
"In post","2022","16-19","Declared non-disabled","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","AA/AO","75","70","21300","21250"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Treasury (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","National Savings and Investments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Budget Responsibility","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of the Public Guardian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Rural Payments Agency","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Courts and Tribunals Service","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Prison Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Public Pensions Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Social Security Scotland","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Student Awards Agency for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Submarine Delivery Agency","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Transport Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Health Security Agency","AA/AO","15","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Health Security Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Valuation Office Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Valuation Office Agency","EO","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Courts and Tribunals Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Prison and Probation Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Defence (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Social Security Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Crown Prosecution Service","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Defence Equipment and Support","EO","45","45","17720","17140"
"In post","2022","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Transport (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Driver and Vehicle Licensing Agency","AA/AO","40","35","19090","18310"
"In post","2022","16-19","Unknown","Driver and Vehicle Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
