"Status","Year","Disability","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Commercial Service","Outside London","SEO/HEO","35","35","36080","38330"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","55","50","22080","21050"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","55","50","45100","41750"
"In post","2022","Declared disabled","Crown Prosecution Service","London","AA/AO","40","35","23350","23770"
"In post","2022","Declared disabled","Crown Prosecution Service","London","EO","40","35","29260","30110"
"In post","2022","Declared disabled","Crown Prosecution Service","London","G6/G7","95","90","63810","62590"
"In post","2022","Declared disabled","Crown Prosecution Service","London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","London","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","Outside London","AA/AO","140","125","22450","22200"
"In post","2022","Declared disabled","Crown Prosecution Service","Outside London","EO","130","120","27670","28430"
"In post","2022","Declared disabled","Crown Prosecution Service","Outside London","G6/G7","255","235","56620","55610"
"In post","2022","Declared disabled","Crown Prosecution Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Crown Prosecution Service","Outside London","SEO/HEO","95","90","36010","34480"
"In post","2022","Declared disabled","Crown Prosecution Service","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Outside London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Electronics and Components Agency","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Outside London","EO","255","235","23130","22630"
"In post","2022","Declared disabled","Defence Equipment and Support","Outside London","G6/G7","140","140","55310","54520"
"In post","2022","Declared disabled","Defence Equipment and Support","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Outside London","SEO/HEO","635","610","35530","35080"
"In post","2022","Declared disabled","Defence Equipment and Support","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Equipment and Support","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Outside London","G6/G7","95","90","50820","47010"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Defence Science and Technology Laboratory","Outside London","SEO/HEO","125","120","34560","38070"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","35","35","29140","27690"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","210","205","57910","53940"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","220","220","37970","39570"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO/HEO","30","30","34420","30360"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","G6/G7","55","55","56040","52680"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","SEO/HEO","60","60","35560","34020"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","London","EO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","London","G6/G7","80","75","59600","58670"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","London","SCS level","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","London","SEO/HEO","75","70","38430","40230"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Outside London","EO","55","55","25460","25000"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Outside London","G6/G7","95","90","53500","50630"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education (excl. agencies)","Outside London","SEO/HEO","215","205","34440","36500"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","45","40","28410","28270"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","85","80","56700","54590"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","145","145","36760","35890"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","55","55","25720","25100"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","145","145","52330","49360"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","245","235","34010","35900"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","EO","30","30","27810","27040"
"In post","2022","Declared disabled","Department for International Trade","London","G6/G7","80","80","57370","54600"
"In post","2022","Declared disabled","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","SEO/HEO","80","75","36130","35560"
"In post","2022","Declared disabled","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","45","45","28860","27850"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6/G7","85","85","57530","53480"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO/HEO","95","95","37290","36540"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6/G7","35","35","51060","48200"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO/HEO","80","80","33830","33970"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","London","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","London","G6/G7","70","70","57930","54760"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","London","SEO/HEO","70","65","39290","37660"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport (excl. agencies)","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","London","AA/AO","265","230","24400","25110"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","London","EO","960","885","31070","31060"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","London","G6/G7","90","85","60740","56630"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","London","SEO/HEO","245","235","38520","38130"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","AA/AO","4980","4220","21220","21260"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","EO","7510","6620","27680","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","G6/G7","295","280","54690","51580"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","SEO/HEO","1335","1230","34140","33180"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","EO","55","50","28780","27570"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","London","G6/G7","55","50","57210","53360"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","London","SEO/HEO","65","65","35770","33120"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","G6/G7","35","35","54640","51010"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Outside London","AA/AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Disclosure Scotland","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","AA/AO","480","380","20560","21840"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","EO","95","85","26610","26700"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","SEO/HEO","60","55","37420","35540"
