"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","60-64","Operational Delivery","23705","18855","27830","26780"
"In post","2022","60-64","Operational Research","40","35","50740","50770"
"In post","2022","60-64","Other","3480","3150","29120","26160"
"In post","2022","60-64","Planning","5","5","[c]","[c]"
"In post","2022","60-64","Planning Inspectors","40","30","62560","58810"
"In post","2022","60-64","Policy","1110","1015","49560","44060"
"In post","2022","60-64","Project Delivery","1040","890","43070","40560"
"In post","2022","60-64","Property","890","795","37770","34000"
"In post","2022","60-64","Psychology","20","20","32660","27380"
"In post","2022","60-64","Science and Engineering","1090","980","40590","39250"
"In post","2022","60-64","Security","870","785","28790","22900"
"In post","2022","60-64","Social Research","20","20","47860","50210"
"In post","2022","60-64","Statistics","50","45","46830","40650"
"In post","2022","60-64","Tax","1275","1005","38880","35170"
"In post","2022","60-64","Unknown","1335","1205","42950","35560"
"In post","2022","60-64","Veterinarian","30","25","50650","52030"
"In post","2022","65+","Commercial","85","70","38750","37100"
"In post","2022","65+","Communications","45","40","36370","33000"
"In post","2022","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","65+","Counter Fraud","300","210","28700","27570"
"In post","2022","65+","Digital, Data and Technology","325","275","38750","35260"
"In post","2022","65+","Economics","10","5","[c]","[c]"
"In post","2022","65+","Finance","275","240","36330","33300"
"In post","2022","65+","Geography","10","5","[c]","[c]"
"In post","2022","65+","Human Resources","145","115","35020","31750"
"In post","2022","65+","Inspector of Education and Training","25","20","72570","75500"
"In post","2022","65+","Intelligence Analysis","65","45","32840","30500"
"In post","2022","65+","Internal Audit","15","10","47850","43810"
"In post","2022","65+","International Trade","10","10","56820","58260"
"In post","2022","65+","Knowledge and Information Management","60","50","33290","28250"
"In post","2022","65+","Legal","255","185","51920","55610"
"In post","2022","65+","Medicine","70","60","73530","78100"
"In post","2022","65+","Operational Delivery","7335","5415","27040","25460"
"In post","2022","65+","Operational Research","20","15","55510","52840"
"In post","2022","65+","Other","1120","970","27820","23120"
"In post","2022","65+","Planning","5","5","[c]","[c]"
"In post","2022","65+","Planning Inspectors","45","25","66040","65270"
"In post","2022","65+","Policy","320","270","45060","38800"
"In post","2022","65+","Project Delivery","245","195","41940","39990"
"In post","2022","65+","Property","325","280","33900","31900"
"In post","2022","65+","Psychology","5","5","[c]","[c]"
"In post","2022","65+","Science and Engineering","420","340","40140","36990"
"In post","2022","65+","Security","280","245","27660","22460"
"In post","2022","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","65+","Statistics","20","15","45810","34200"
"In post","2022","65+","Tax","345","240","38020","35980"
"In post","2022","65+","Unknown","365","310","40450","31540"
"In post","2022","65+","Veterinarian","20","15","51880","51760"
"In post","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","15","10","26790","27570"
"In post","2022","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Operational Delivery","105","[c]","20880","21010"
"Leaver CS","2022","16-19","Other","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Policy","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Science and Engineering","15","[c]","18460","17140"
"Leaver CS","2022","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","50","[c]","22540","21260"
"Leaver CS","2022","16-19","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Commercial","100","[c]","27930","26060"
"Leaver CS","2022","20-29","Communications","135","[c]","30910","29000"
"Leaver CS","2022","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Counter Fraud","25","[c]","26830","25600"
"Leaver CS","2022","20-29","Digital, Data and Technology","330","[c]","32470","30830"
"Leaver CS","2022","20-29","Economics","135","[c]","27730","26870"
"Leaver CS","2022","20-29","Finance","110","[c]","27020","25560"
"Leaver CS","2022","20-29","Geography","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Human Resources","140","[c]","27150","24710"
"Leaver CS","2022","20-29","Intelligence Analysis","20","[c]","31420","29250"
"Leaver CS","2022","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","International Trade","45","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Knowledge and Information Management","60","[c]","28730","28590"
"Leaver CS","2022","20-29","Legal","55","[c]","40010","40000"
"Leaver CS","2022","20-29","Medicine","35","[c]","28620","27140"
"Leaver CS","2022","20-29","Operational Delivery","5420","[c]","24660","22600"
"Leaver CS","2022","20-29","Operational Research","15","[c]","27680","29230"
"Leaver CS","2022","20-29","Other","550","[c]","25030","22460"
"Leaver CS","2022","20-29","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Policy","590","[c]","33940","33210"
"Leaver CS","2022","20-29","Project Delivery","155","[c]","30420","29750"
"Leaver CS","2022","20-29","Property","60","[c]","26710","25000"
"Leaver CS","2022","20-29","Psychology","40","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Science and Engineering","390","[c]","26690","26780"
"Leaver CS","2022","20-29","Security","105","[c]","26050","25680"
"Leaver CS","2022","20-29","Social Research","25","[c]","31020","32360"
"Leaver CS","2022","20-29","Statistics","60","[c]","28420","25140"
"Leaver CS","2022","20-29","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","2075","[c]","27720","27230"
"Leaver CS","2022","20-29","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Commercial","70","[c]","37130","36780"
"Leaver CS","2022","30-39","Communications","105","[c]","40090","37930"
"Leaver CS","2022","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Counter Fraud","15","[c]","31510","30330"
"Leaver CS","2022","30-39","Digital, Data and Technology","355","[c]","41920","38650"
"Leaver CS","2022","30-39","Economics","40","[c]","48550","52570"
"Leaver CS","2022","30-39","Finance","105","[c]","39550","34000"
"Leaver CS","2022","30-39","Geography","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Human Resources","130","[c]","36070","33300"
"Leaver CS","2022","30-39","Inspector of Education and Training","5","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Intelligence Analysis","25","[c]","32150","32070"
"Leaver CS","2022","30-39","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","International Trade","20","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Knowledge and Information Management","95","[c]","35620","36330"
"Leaver CS","2022","30-39","Legal","135","[c]","52090","52390"
"Leaver CS","2022","30-39","Medicine","95","[c]","42770","35000"
"Leaver CS","2022","30-39","Operational Delivery","3965","[c]","28640","27570"
"Leaver CS","2022","30-39","Operational Research","15","[c]","42070","38970"
"Leaver CS","2022","30-39","Other","385","[c]","30360","27570"
"Leaver CS","2022","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Policy","375","[c]","45120","41990"
"Leaver CS","2022","30-39","Project Delivery","150","[c]","40480","38550"
"Leaver CS","2022","30-39","Property","55","[c]","35060","33150"
"Leaver CS","2022","30-39","Psychology","40","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Science and Engineering","285","[c]","37410","36330"
"Leaver CS","2022","30-39","Security","95","[c]","30520","27750"
"Leaver CS","2022","30-39","Social Research","10","[c]","37300","38340"
"Leaver CS","2022","30-39","Statistics","25","[c]","39190","37160"
"Leaver CS","2022","30-39","Unknown","1460","[c]","37660","31060"
"Leaver CS","2022","30-39","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Commercial","60","[c]","45900","38100"
"Leaver CS","2022","40-49","Communications","65","[c]","49590","45690"
"Leaver CS","2022","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Counter Fraud","20","[c]","37570","31400"
"Leaver CS","2022","40-49","Digital, Data and Technology","255","[c]","47480","43160"
"Leaver CS","2022","40-49","Economics","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Finance","95","[c]","45300","40070"
"Leaver CS","2022","40-49","Geography","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Human Resources","95","[c]","40780","37390"
"Leaver CS","2022","40-49","Inspector of Education and Training","20","[c]","60520","51360"
"Leaver CS","2022","40-49","Intelligence Analysis","15","[c]","29170","27370"
"Leaver CS","2022","40-49","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","International Trade","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Knowledge and Information Management","100","[c]","40600","37460"
"Leaver CS","2022","40-49","Legal","105","[c]","61890","57520"
"Leaver CS","2022","40-49","Medicine","105","[c]","55140","41090"
"Leaver CS","2022","40-49","Operational Delivery","2855","[c]","30540","27570"
"Leaver CS","2022","40-49","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Other","320","[c]","33650","26900"
"Leaver CS","2022","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Policy","195","[c]","55200","53960"
"Leaver CS","2022","40-49","Project Delivery","110","[c]","47110","40840"
"Leaver CS","2022","40-49","Property","40","[c]","36800","33000"
"Leaver CS","2022","40-49","Psychology","15","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Science and Engineering","195","[c]","42930","40060"
"Leaver CS","2022","40-49","Security","70","[c]","31170","26610"
"Leaver CS","2022","40-49","Social Research","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Statistics","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","1100","[c]","41550","31060"
"Leaver CS","2022","40-49","Veterinarian","10","[c]","39500","38210"
"Leaver CS","2022","50-59","Commercial","75","[c]","44990","40990"
"Leaver CS","2022","50-59","Communications","35","[c]","46190","42740"
"Leaver CS","2022","50-59","Counter Fraud","60","[c]","29000","27570"
"Leaver CS","2022","50-59","Digital, Data and Technology","205","[c]","47620","42160"
"Leaver CS","2022","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Finance","130","[c]","43560","38910"
"Leaver CS","2022","50-59","Geography","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Human Resources","110","[c]","42890","38650"
"Leaver CS","2022","50-59","Inspector of Education and Training","45","[c]","66240","75500"
"Leaver CS","2022","50-59","Intelligence Analysis","30","[c]","29450","27370"
"Leaver CS","2022","50-59","Internal Audit","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","International Trade","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Knowledge and Information Management","100","[c]","35880","30790"
"Leaver CS","2022","50-59","Legal","105","[c]","58590","55610"
"Leaver CS","2022","50-59","Medicine","90","[c]","74630","87210"
"Leaver CS","2022","50-59","Operational Delivery","4045","[c]","30880","27570"
"Leaver CS","2022","50-59","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Other","555","[c]","31280","26670"
"Leaver CS","2022","50-59","Planning","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Policy","210","[c]","56540","55130"
"Leaver CS","2022","50-59","Project Delivery","155","[c]","45970","41000"
"Leaver CS","2022","50-59","Property","80","[c]","36500","34610"
"Leaver CS","2022","50-59","Psychology","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Science and Engineering","235","[c]","46540","44000"
"Leaver CS","2022","50-59","Security","195","[c]","34350","39070"
"Leaver CS","2022","50-59","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Statistics","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Tax","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","1660","[c]","41700","29970"
"Leaver CS","2022","50-59","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Commercial","65","[c]","42440","39730"
"Leaver CS","2022","60-64","Communications","15","[c]","43000","39930"
"Leaver CS","2022","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Counter Fraud","85","[c]","27820","27570"
"Leaver CS","2022","60-64","Digital, Data and Technology","140","[c]","43760","40670"
"Leaver CS","2022","60-64","Finance","130","[c]","42030","37930"
"Leaver CS","2022","60-64","Geography","15","[c]","36510","35270"
"Leaver CS","2022","60-64","Human Resources","90","[c]","42330","36460"
"Leaver CS","2022","60-64","Inspector of Education and Training","35","[c]","67250","64500"
"Leaver CS","2022","60-64","Intelligence Analysis","30","[c]","32720","29850"
"Leaver CS","2022","60-64","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2022","60-64","International Trade","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Knowledge and Information Management","55","[c]","32250","27570"
"Leaver CS","2022","60-64","Legal","75","[c]","61900","62590"
"Leaver CS","2022","60-64","Medicine","60","[c]","74930","82490"
"Leaver CS","2022","60-64","Operational Delivery","2725","[c]","30140","27570"
"Leaver CS","2022","60-64","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Other","570","[c]","30880","26670"
"Leaver CS","2022","60-64","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Policy","155","[c]","54220","52290"
"Leaver CS","2022","60-64","Project Delivery","120","[c]","46300","40580"
"Leaver CS","2022","60-64","Property","100","[c]","40160","36460"
"Leaver CS","2022","60-64","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Science and Engineering","175","[c]","44760","42290"
"Leaver CS","2022","60-64","Security","140","[c]","37200","39070"
"Leaver CS","2022","60-64","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Statistics","5","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Tax","20","[c]","43050","35980"
"Leaver CS","2022","60-64","Unknown","1400","[c]","45670","38040"
"Leaver CS","2022","60-64","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Commercial","35","[c]","38620","36460"
"Leaver CS","2022","65+","Communications","15","[c]","41220","40070"
"Leaver CS","2022","65+","Counter Fraud","70","[c]","27360","27570"
"Leaver CS","2022","65+","Digital, Data and Technology","100","[c]","37280","33360"
"Leaver CS","2022","65+","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Finance","85","[c]","34520","33300"
"Leaver CS","2022","65+","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Human Resources","35","[c]","32840","32460"
"Leaver CS","2022","65+","Inspector of Education and Training","15","[c]","66990","75480"
"Leaver CS","2022","65+","Intelligence Analysis","20","[c]","32340","30500"
"Leaver CS","2022","65+","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2022","65+","Knowledge and Information Management","35","[c]","32950","28460"
"Leaver CS","2022","65+","Legal","35","[c]","59610","62590"
"Leaver CS","2022","65+","Medicine","45","[c]","68020","71400"
"Leaver CS","2022","65+","Operational Delivery","2460","[c]","26430","25050"
"Leaver CS","2022","65+","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Other","490","[c]","27540","22330"
"Leaver CS","2022","65+","Planning","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Planning Inspectors","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Policy","75","[c]","46020","39190"
"Leaver CS","2022","65+","Project Delivery","65","[c]","40410","39410"
"Leaver CS","2022","65+","Property","85","[c]","34480","33300"
"Leaver CS","2022","65+","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Science and Engineering","150","[c]","40340","37990"
"Leaver CS","2022","65+","Security","95","[c]","27380","24170"
"Leaver CS","2022","65+","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Statistics","5","[c]","[c]","[c]"
"Leaver CS","2022","65+","Tax","10","[c]","38260","31020"
"Leaver CS","2022","65+","Unknown","885","[c]","39300","33350"
"Leaver CS","2022","65+","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Operational Delivery","15","[c]","21370","22280"
"Leaver Dept.","2022","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Commercial","110","[c]","30550","29550"
"Leaver Dept.","2022","20-29","Communications","105","[c]","33310","32940"
"Leaver Dept.","2022","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Counter Fraud","25","[c]","28430","27570"
"Leaver Dept.","2022","20-29","Digital, Data and Technology","160","[c]","34080","33100"
"Leaver Dept.","2022","20-29","Economics","95","[c]","36280","33850"
"Leaver Dept.","2022","20-29","Finance","125","[c]","33150","30820"
