"Status","Year","Age","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Scotland","10","10","21250","21250"
"In post","2022","16-19","Debt","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","Scotland","10","5","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Ministry of Defence","South West (England)","15","15","19730","19460"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Government","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","London","10","10","22560","21850"
"In post","2022","16-19","Legal","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","London","10","10","25170","25170"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport","Wales","75","60","19130","18310"
"In post","2022","16-19","No function","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","East of England","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","North East (England)","10","10","21260","21260"
"In post","2022","16-19","No function","Department for Work and Pensions","North West (England)","30","30","22290","21260"
"In post","2022","16-19","No function","Department for Work and Pensions","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","South East (England)","10","10","24250","22760"
"In post","2022","16-19","No function","Department for Work and Pensions","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","Wales","10","10","25670","27570"
"In post","2022","16-19","No function","Department for Work and Pensions","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions","Yorkshire and The Humber","15","15","23200","21260"
"In post","2022","16-19","No function","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","London","10","5","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","North East (England)","20","20","21250","21250"
"In post","2022","16-19","No function","HM Revenue and Customs","North West (England)","45","40","21370","21250"
"In post","2022","16-19","No function","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Wales","10","10","21730","21250"
"In post","2022","16-19","No function","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs","Yorkshire and The Humber","20","20","21250","21250"
"In post","2022","16-19","No function","HM Treasury","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Defence","South West (England)","10","10","18340","17650"
"In post","2022","16-19","No function","Ministry of Defence","Wales","10","10","17820","17450"
"In post","2022","16-19","No function","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","East Midlands (England)","25","25","22420","23140"
"In post","2022","16-19","No function","Ministry of Justice","East of England","20","20","23250","23140"
"In post","2022","16-19","No function","Ministry of Justice","London","15","15","25930","24080"
"In post","2022","16-19","No function","Ministry of Justice","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","North West (England)","25","25","21530","20970"
"In post","2022","16-19","No function","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","South East (England)","40","40","24450","23140"
"In post","2022","16-19","No function","Ministry of Justice","South West (England)","15","15","22700","23140"
"In post","2022","16-19","No function","Ministry of Justice","Wales","5","5","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice","West Midlands (England)","20","15","22310","23140"
"In post","2022","16-19","No function","Ministry of Justice","Yorkshire and The Humber","25","25","21820","20890"
"In post","2022","16-19","No function","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Government","Scotland","25","25","21570","21050"
"In post","2022","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","South East (England)","10","5","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Wales","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence","South West (England)","95","95","18490","18030"
"In post","2022","16-19","Project Delivery","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Foreign, Commonwealth and Development Office","South East (England)","15","15","19130","16630"
"In post","2022","16-19","Property","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","North East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","London","5","5","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Justice","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","East of England","10","10","22220","21680"
"In post","2022","16-19","Unknown","Home Office","London","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","South East (England)","20","20","22970","21680"
"In post","2022","16-19","Unknown","Home Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Scottish Government","Scotland","55","55","22230","21050"
"In post","2022","16-19","Unknown","Welsh Government","Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","London","50","50","39130","36590"
"In post","2022","20-29","Analysis","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Competition and Markets Authority","London","30","30","41180","34640"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","London","145","145","37310","33880"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Wales","15","15","33730","30770"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","London","75","75","43150","38020"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","London","25","25","43380","45250"
"In post","2022","20-29","Analysis","Department for Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","North West (England)","15","15","32790","32870"
"In post","2022","20-29","Analysis","Department for Education","South West (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education","Yorkshire and The Humber","15","15","38580","33190"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","East of England","55","55","26070","25460"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","20","20","25540","25010"
