"Status","Year","Age","Disability","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Declared non-disabled","SEO","4200","4185","40250","40090"
"In post","2022","20-29","Declared non-disabled","Unknown","2520","2485","26070","24090"
"In post","2022","20-29","Undeclared","AA","75","75","21050","20890"
"In post","2022","20-29","Undeclared","AO","620","605","23230","21260"
"In post","2022","20-29","Undeclared","EO","650","635","27550","27570"
"In post","2022","20-29","Undeclared","G6","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","G7","175","170","53820","53380"
"In post","2022","20-29","Undeclared","HEO","595","595","33200","33080"
"In post","2022","20-29","Undeclared","SEO","215","215","40120","40070"
"In post","2022","20-29","Undeclared","Unknown","100","100","26400","24800"
"In post","2022","20-29","Unknown","AA","1095","1050","21030","20890"
"In post","2022","20-29","Unknown","AO","7400","7220","23070","21680"
"In post","2022","20-29","Unknown","EO","6585","6535","27620","27050"
"In post","2022","20-29","Unknown","G6","125","125","65630","65270"
"In post","2022","20-29","Unknown","G7","1340","1340","54280","53420"
"In post","2022","20-29","Unknown","HEO","6175","6150","32360","32790"
"In post","2022","20-29","Unknown","SCS level","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","SEO","1980","1965","40470","40520"
"In post","2022","20-29","Unknown","Unknown","1255","1235","25740","24090"
"In post","2022","30-39","Declared disabled","AA","230","210","20570","20890"
"In post","2022","30-39","Declared disabled","AO","1920","1755","23000","21260"
"In post","2022","30-39","Declared disabled","EO","2275","2155","27730","27570"
"In post","2022","30-39","Declared disabled","G6","290","285","66190","65030"
"In post","2022","30-39","Declared disabled","G7","960","935","54190","53950"
"In post","2022","30-39","Declared disabled","HEO","1495","1450","33260","33080"
"In post","2022","30-39","Declared disabled","SCS level","65","65","80510","75060"
"In post","2022","30-39","Declared disabled","SEO","1045","1015","40970","40510"
"In post","2022","30-39","Declared disabled","Unknown","625","590","29290","28220"
"In post","2022","30-39","Declared non-disabled","AA","1465","1355","20700","20890"
"In post","2022","30-39","Declared non-disabled","AO","14880","13540","23570","21680"
"In post","2022","30-39","Declared non-disabled","EO","17620","16670","27590","27570"
"In post","2022","30-39","Declared non-disabled","G6","2935","2850","66890","65610"
"In post","2022","30-39","Declared non-disabled","G7","9380","9125","54210","54110"
"In post","2022","30-39","Declared non-disabled","HEO","13085","12685","33350","33080"
"In post","2022","30-39","Declared non-disabled","SCS level","740","715","79760","75460"
"In post","2022","30-39","Declared non-disabled","SEO","10145","9875","41080","40420"
"In post","2022","30-39","Declared non-disabled","Unknown","3135","2930","30820","30210"
"In post","2022","30-39","Undeclared","AA","155","145","20930","20890"
"In post","2022","30-39","Undeclared","AO","1120","1025","24200","21680"
"In post","2022","30-39","Undeclared","EO","1335","1270","28290","27570"
"In post","2022","30-39","Undeclared","G6","180","175","66890","65470"
"In post","2022","30-39","Undeclared","G7","590","580","54870","54470"
"In post","2022","30-39","Undeclared","HEO","880","855","33510","33300"
"In post","2022","30-39","Undeclared","SCS level","40","40","77630","74780"
"In post","2022","30-39","Undeclared","SEO","675","660","41480","40520"
"In post","2022","30-39","Undeclared","Unknown","190","180","30920","30210"
"In post","2022","30-39","Unknown","AA","690","630","21020","20890"
"In post","2022","30-39","Unknown","AO","4905","4600","23730","21840"
"In post","2022","30-39","Unknown","EO","5415","5245","28420","27230"
"In post","2022","30-39","Unknown","G6","1000","970","67430","66230"
"In post","2022","30-39","Unknown","G7","3285","3215","54990","54080"
"In post","2022","30-39","Unknown","HEO","4170","4065","33900","33370"
"In post","2022","30-39","Unknown","SCS level","225","220","80950","75600"
"In post","2022","30-39","Unknown","SEO","2995","2925","41000","40520"
"In post","2022","30-39","Unknown","Unknown","1375","1290","30460","28200"
"In post","2022","40-49","Declared disabled","AA","320","285","20500","20480"
"In post","2022","40-49","Declared disabled","AO","2805","2455","22760","21260"
"In post","2022","40-49","Declared disabled","EO","3610","3330","27930","27570"
"In post","2022","40-49","Declared disabled","G6","480","460","67760","66610"
"In post","2022","40-49","Declared disabled","G7","1070","1030","54650","54160"
"In post","2022","40-49","Declared disabled","HEO","1820","1745","33580","33300"
"In post","2022","40-49","Declared disabled","SCS level","175","170","86080","78380"
"In post","2022","40-49","Declared disabled","SEO","1320","1280","41360","40520"
"In post","2022","40-49","Declared disabled","Unknown","870","815","32360","31420"
"In post","2022","40-49","Declared non-disabled","AA","1695","1575","20570","20560"
"In post","2022","40-49","Declared non-disabled","AO","15170","13470","23140","21380"
"In post","2022","40-49","Declared non-disabled","EO","19280","17895","27810","27570"
"In post","2022","40-49","Declared non-disabled","G6","4635","4440","68390","67000"
"In post","2022","40-49","Declared non-disabled","G7","10425","10025","55310","54700"
"In post","2022","40-49","Declared non-disabled","HEO","11765","11285","33860","33350"
"In post","2022","40-49","Declared non-disabled","SCS level","2110","2040","86900","79980"
"In post","2022","40-49","Declared non-disabled","SEO","10920","10520","42010","40580"
"In post","2022","40-49","Declared non-disabled","Unknown","3270","3035","34430","34340"
"In post","2022","40-49","Undeclared","AA","235","215","21360","20920"
"In post","2022","40-49","Undeclared","AO","1560","1415","25270","22080"
"In post","2022","40-49","Undeclared","EO","1570","1490","28590","27570"
"In post","2022","40-49","Undeclared","G6","270","260","68830","67520"
"In post","2022","40-49","Undeclared","G7","585","570","55670","55210"
"In post","2022","40-49","Undeclared","HEO","1065","1035","34330","33370"
"In post","2022","40-49","Undeclared","SCS level","95","90","84520","80720"
"In post","2022","40-49","Undeclared","SEO","845","825","43060","41230"
"In post","2022","40-49","Undeclared","Unknown","230","215","35120","37170"
"In post","2022","40-49","Unknown","AA","625","575","20900","20890"
"In post","2022","40-49","Unknown","AO","3415","3130","23610","21840"
"In post","2022","40-49","Unknown","EO","3455","3300","28510","27230"
"In post","2022","40-49","Unknown","G6","1215","1170","69930","67910"
"In post","2022","40-49","Unknown","G7","2725","2625","55680","54540"
"In post","2022","40-49","Unknown","HEO","2765","2660","34840","33370"
"In post","2022","40-49","Unknown","SCS level","580","565","92840","85550"
"In post","2022","40-49","Unknown","SEO","2350","2280","42050","40650"
"In post","2022","40-49","Unknown","Unknown","1175","1095","34190","31420"
"In post","2022","50-59","Declared disabled","AA","695","635","20590","20310"
"In post","2022","50-59","Declared disabled","AO","4885","4310","22710","21260"
"In post","2022","50-59","Declared disabled","EO","6165","5650","28140","27570"
"In post","2022","50-59","Declared disabled","G6","475","465","70420","68700"
"In post","2022","50-59","Declared disabled","G7","1355","1320","55990","55210"
"In post","2022","50-59","Declared disabled","HEO","2615","2510","34310","33430"
"In post","2022","50-59","Declared disabled","SCS level","205","205","92690","84250"
"In post","2022","50-59","Declared disabled","SEO","1915","1850","42450","40940"
"In post","2022","50-59","Declared disabled","Unknown","1085","1035","32830","30330"
"In post","2022","50-59","Declared non-disabled","AA","3370","3150","20530","20310"
"In post","2022","50-59","Declared non-disabled","AO","21240","19010","23130","21410"
"In post","2022","50-59","Declared non-disabled","EO","25980","24150","28140","27570"
"In post","2022","50-59","Declared non-disabled","G6","4520","4420","69960","68330"
"In post","2022","50-59","Declared non-disabled","G7","9620","9380","56180","55210"
"In post","2022","50-59","Declared non-disabled","HEO","14160","13650","34400","33430"
"In post","2022","50-59","Declared non-disabled","SCS level","1870","1840","93810","85030"
"In post","2022","50-59","Declared non-disabled","SEO","11865","11545","42690","41100"
"In post","2022","50-59","Declared non-disabled","Unknown","3030","2865","34170","31020"
"In post","2022","50-59","Undeclared","AA","605","565","21280","20890"
"In post","2022","50-59","Undeclared","AO","2790","2555","26230","23720"
"In post","2022","50-59","Undeclared","EO","2430","2300","28990","27570"
"In post","2022","50-59","Undeclared","G6","290","285","70450","68860"
"In post","2022","50-59","Undeclared","G7","655","645","57080","55210"
"In post","2022","50-59","Undeclared","HEO","1490","1450","34870","33840"
"In post","2022","50-59","Undeclared","SCS level","90","90","89170","82440"
"In post","2022","50-59","Undeclared","SEO","1160","1130","43820","41850"
"In post","2022","50-59","Undeclared","Unknown","280","265","34000","31940"
"In post","2022","50-59","Unknown","AA","1005","910","20840","20890"
"In post","2022","50-59","Unknown","AO","3825","3445","23450","22080"
"In post","2022","50-59","Unknown","EO","4055","3815","29910","28920"
"In post","2022","50-59","Unknown","G6","1085","1060","71860","70210"
"In post","2022","50-59","Unknown","G7","1965","1915","56390","55210"
"In post","2022","50-59","Unknown","HEO","2510","2425","36130","34770"
"In post","2022","50-59","Unknown","SCS level","470","460","105050","98820"
"In post","2022","50-59","Unknown","SEO","1970","1910","43200","41960"
"In post","2022","50-59","Unknown","Unknown","1300","1220","35540","32690"
"In post","2022","60-64","Declared disabled","AA","375","305","20610","20330"
"In post","2022","60-64","Declared disabled","AO","1975","1575","22390","21260"
"In post","2022","60-64","Declared disabled","EO","1915","1515","28250","27570"
"In post","2022","60-64","Declared disabled","G6","90","80","71050","70020"
"In post","2022","60-64","Declared disabled","G7","250","215","57200","56120"
"In post","2022","60-64","Declared disabled","HEO","655","540","34770","34290"
"In post","2022","60-64","Declared disabled","SCS level","35","35","96170","91790"
"In post","2022","60-64","Declared disabled","SEO","400","350","43110","42170"
"In post","2022","60-64","Declared disabled","Unknown","435","380","31830","28690"
"In post","2022","60-64","Declared non-disabled","AA","1820","1550","20360","19810"
"In post","2022","60-64","Declared non-disabled","AO","7605","6150","22720","21380"
"In post","2022","60-64","Declared non-disabled","EO","7740","6195","28220","27570"
"In post","2022","60-64","Declared non-disabled","G6","760","685","71990","70650"
"In post","2022","60-64","Declared non-disabled","G7","1725","1515","57340","56350"
"In post","2022","60-64","Declared non-disabled","HEO","3490","2955","34830","34260"
"In post","2022","60-64","Declared non-disabled","SCS level","295","275","101480","93000"
"In post","2022","60-64","Declared non-disabled","SEO","2490","2165","43470","42170"
"In post","2022","60-64","Declared non-disabled","Unknown","1000","875","32430","28200"
"In post","2022","60-64","Undeclared","AA","315","260","21050","20890"
"In post","2022","60-64","Undeclared","AO","895","705","25250","22080"
"In post","2022","60-64","Undeclared","EO","685","560","28740","27570"
"In post","2022","60-64","Undeclared","G6","55","50","72320","72200"
"In post","2022","60-64","Undeclared","G7","120","105","58010","57170"
"In post","2022","60-64","Undeclared","HEO","375","320","35060","34260"
"In post","2022","60-64","Undeclared","SCS level","20","20","[c]","[c]"
"In post","2022","60-64","Undeclared","SEO","240","210","43110","41920"
"In post","2022","60-64","Undeclared","Unknown","80","70","34130","33160"
"In post","2022","60-64","Unknown","AA","485","405","20680","20950"
"In post","2022","60-64","Unknown","AO","1305","1060","22960","22080"
"In post","2022","60-64","Unknown","EO","970","785","29890","28920"
"In post","2022","60-64","Unknown","G6","155","140","72760","72200"
"In post","2022","60-64","Unknown","G7","330","305","57280","55520"
"In post","2022","60-64","Unknown","HEO","575","485","36410","35980"
"In post","2022","60-64","Unknown","SCS level","80","75","115360","114000"
"In post","2022","60-64","Unknown","SEO","420","365","44390","43710"
"In post","2022","60-64","Unknown","Unknown","400","355","33580","31780"
"In post","2022","65+","Declared disabled","AA","170","125","20120","19810"
"In post","2022","65+","Declared disabled","AO","620","475","22450","21380"
"In post","2022","65+","Declared disabled","EO","560","415","28330","27570"
"In post","2022","65+","Declared disabled","G6","20","15","[c]","[c]"
"In post","2022","65+","Declared disabled","G7","55","45","59030","59650"
"In post","2022","65+","Declared disabled","HEO","195","150","34980","34290"
"In post","2022","65+","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","65+","Declared disabled","SEO","110","85","44690","43710"
"In post","2022","65+","Declared disabled","Unknown","135","105","33330","30210"
"In post","2022","65+","Declared non-disabled","AA","860","670","20400","19810"
"In post","2022","65+","Declared non-disabled","AO","2625","2040","22790","21680"
"In post","2022","65+","Declared non-disabled","EO","2255","1675","28410","27570"
"In post","2022","65+","Declared non-disabled","G6","200","155","73220","72230"
"In post","2022","65+","Declared non-disabled","G7","445","345","58550","58380"
"In post","2022","65+","Declared non-disabled","HEO","945","750","35360","34500"
"In post","2022","65+","Declared non-disabled","SCS level","60","50","109110","102120"
"In post","2022","65+","Declared non-disabled","SEO","625","495","44500","43710"
"In post","2022","65+","Declared non-disabled","Unknown","350","275","31580","28200"
"In post","2022","65+","Undeclared","AA","150","115","21220","20890"
"In post","2022","65+","Undeclared","AO","270","195","24430","22060"
"In post","2022","65+","Undeclared","EO","200","160","28650","27800"
"In post","2022","65+","Undeclared","G6","10","10","[c]","[c]"
"In post","2022","65+","Undeclared","G7","25","20","[c]","[c]"
"In post","2022","65+","Undeclared","HEO","100","80","36270","35980"
"In post","2022","65+","Undeclared","SCS level","5","5","[c]","[c]"
"In post","2022","65+","Undeclared","SEO","50","40","45260","43870"
"In post","2022","65+","Undeclared","Unknown","30","25","36580","32890"
"In post","2022","65+","Unknown","AA","205","160","20800","20950"
"In post","2022","65+","Unknown","AO","415","325","23420","22080"
"In post","2022","65+","Unknown","EO","285","210","29350","28920"
"In post","2022","65+","Unknown","G6","65","50","72740","73970"
"In post","2022","65+","Unknown","G7","100","85","58060","58350"
"In post","2022","65+","Unknown","HEO","150","115","36300","35980"
"In post","2022","65+","Unknown","SCS level","30","20","[c]","[c]"
"In post","2022","65+","Unknown","SEO","125","100","44750","44020"
"In post","2022","65+","Unknown","Unknown","120","90","31660","28760"
"In post","2022","Unknown","Declared disabled","AA","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","AA","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","AO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","EO","10","5","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","AO","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","AO","70","[c]","21330","21260"
"Leaver CS","2022","16-19","Declared non-disabled","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Undeclared","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","AA","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","AO","45","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","EO","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","AA","70","[c]","19110","19010"
"Leaver CS","2022","20-29","Declared disabled","AO","315","[c]","21570","21260"
"Leaver CS","2022","20-29","Declared disabled","EO","220","[c]","26610","27570"
"Leaver CS","2022","20-29","Declared disabled","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","G7","15","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","HEO","75","[c]","32760","33210"
"Leaver CS","2022","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","SEO","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared non-disabled","AA","385","[c]","19220","19010"
"Leaver CS","2022","20-29","Declared non-disabled","AO","2665","[c]","21730","21260"
"Leaver CS","2022","20-29","Declared non-disabled","EO","1435","[c]","27140","27570"
"Leaver CS","2022","20-29","Declared non-disabled","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared non-disabled","G7","115","[c]","53370","53380"
"Leaver CS","2022","20-29","Declared non-disabled","HEO","690","[c]","32310","32330"
"Leaver CS","2022","20-29","Declared non-disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared non-disabled","SEO","240","[c]","39980","40050"
"Leaver CS","2022","20-29","Declared non-disabled","Unknown","250","[c]","26960","26220"
"Leaver CS","2022","20-29","Undeclared","AA","25","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","AO","130","[c]","21590","21260"
"Leaver CS","2022","20-29","Undeclared","EO","75","[c]","26980","27570"
"Leaver CS","2022","20-29","Undeclared","G7","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","HEO","50","[c]","32370","33000"
"Leaver CS","2022","20-29","Undeclared","SEO","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","AA","290","[c]","20060","19590"
"Leaver CS","2022","20-29","Unknown","AO","1680","[c]","21790","21260"
"Leaver CS","2022","20-29","Unknown","EO","810","[c]","26080","27230"
"Leaver CS","2022","20-29","Unknown","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","G7","85","[c]","53590","53360"
"Leaver CS","2022","20-29","Unknown","HEO","525","[c]","32520","32640"
"Leaver CS","2022","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","SEO","150","[c]","40240","40340"
"Leaver CS","2022","20-29","Unknown","Unknown","280","[c]","27760","28980"
"Leaver CS","2022","30-39","Declared disabled","AA","25","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared disabled","AO","215","[c]","22550","21260"
"Leaver CS","2022","30-39","Declared disabled","EO","165","[c]","27950","27570"
"Leaver CS","2022","30-39","Declared disabled","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared disabled","G7","35","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared disabled","HEO","70","[c]","34050","33400"
"Leaver CS","2022","30-39","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared disabled","SEO","40","[c]","40770","40040"
"Leaver CS","2022","30-39","Declared disabled","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared non-disabled","AA","180","[c]","19690","19560"
"Leaver CS","2022","30-39","Declared non-disabled","AO","1505","[c]","21970","21260"
"Leaver CS","2022","30-39","Declared non-disabled","EO","1025","[c]","27630","27570"
"Leaver CS","2022","30-39","Declared non-disabled","G6","135","[c]","67340","66230"
"Leaver CS","2022","30-39","Declared non-disabled","G7","460","[c]","54390","53850"
"Leaver CS","2022","30-39","Declared non-disabled","HEO","580","[c]","33040","33000"
"Leaver CS","2022","30-39","Declared non-disabled","SCS level","40","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Declared non-disabled","SEO","570","[c]","40580","40060"
"Leaver CS","2022","30-39","Declared non-disabled","Unknown","240","[c]","36650","35980"
"Leaver CS","2022","30-39","Undeclared","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","AO","110","[c]","21510","21260"
"Leaver CS","2022","30-39","Undeclared","EO","75","[c]","26710","27570"
"Leaver CS","2022","30-39","Undeclared","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","G7","35","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","HEO","40","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Undeclared","SEO","40","[c]","39960","40060"
"Leaver CS","2022","30-39","Undeclared","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","AA","130","[c]","20060","19200"
"Leaver CS","2022","30-39","Unknown","AO","705","[c]","22740","21300"
"Leaver CS","2022","30-39","Unknown","EO","450","[c]","28080","27570"
"Leaver CS","2022","30-39","Unknown","G6","70","[c]","70170","66570"
"Leaver CS","2022","30-39","Unknown","G7","240","[c]","54990","53830"
"Leaver CS","2022","30-39","Unknown","HEO","310","[c]","34020","33300"
"Leaver CS","2022","30-39","Unknown","SCS level","25","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","SEO","250","[c]","40810","40610"
"Leaver CS","2022","30-39","Unknown","Unknown","210","[c]","35350","32700"
"Leaver CS","2022","40-49","Declared disabled","AA","30","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Declared disabled","AO","160","[c]","22100","21260"
"Leaver CS","2022","40-49","Declared disabled","EO","145","[c]","28350","27570"
"Leaver CS","2022","40-49","Declared disabled","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Declared disabled","G7","30","[c]","54080","54880"
"Leaver CS","2022","40-49","Declared disabled","HEO","50","[c]","32730","32150"
"Leaver CS","2022","40-49","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Declared disabled","SEO","50","[c]","42060","40300"
"Leaver CS","2022","40-49","Declared disabled","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Declared non-disabled","AA","125","[c]","19760","19200"
"Leaver CS","2022","40-49","Declared non-disabled","AO","985","[c]","21940","21260"
"Leaver CS","2022","40-49","Declared non-disabled","EO","855","[c]","27810","27570"
"Leaver CS","2022","40-49","Declared non-disabled","G6","180","[c]","68970","66780"
"Leaver CS","2022","40-49","Declared non-disabled","G7","350","[c]","55910","54700"
"Leaver CS","2022","40-49","Declared non-disabled","HEO","325","[c]","33420","33090"
"Leaver CS","2022","40-49","Declared non-disabled","SCS level","125","[c]","94240","92020"
"Leaver CS","2022","40-49","Declared non-disabled","SEO","430","[c]","41870","40580"
"Leaver CS","2022","40-49","Declared non-disabled","Unknown","150","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","AA","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","AO","95","[c]","23090","21260"
"Leaver CS","2022","40-49","Undeclared","EO","65","[c]","27770","27570"
"Leaver CS","2022","40-49","Undeclared","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","G7","25","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","HEO","20","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","SEO","35","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","AA","90","[c]","20790","19830"
"Leaver CS","2022","40-49","Unknown","AO","410","[c]","22740","21590"
"Leaver CS","2022","40-49","Unknown","EO","285","[c]","28350","27570"
"Leaver CS","2022","40-49","Unknown","G6","95","[c]","69330","66390"
"Leaver CS","2022","40-49","Unknown","G7","210","[c]","55950","55000"
"Leaver CS","2022","40-49","Unknown","HEO","155","[c]","34130","33090"
"Leaver CS","2022","40-49","Unknown","SCS level","50","[c]","97220","92070"
"Leaver CS","2022","40-49","Unknown","SEO","170","[c]","41110","40490"
"Leaver CS","2022","40-49","Unknown","Unknown","130","[c]","39960","34460"
"Leaver CS","2022","50-59","Declared disabled","AA","45","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared disabled","AO","300","[c]","21720","21260"
"Leaver CS","2022","50-59","Declared disabled","EO","270","[c]","28020","27570"
"Leaver CS","2022","50-59","Declared disabled","G6","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared disabled","G7","60","[c]","57900","56430"
"Leaver CS","2022","50-59","Declared disabled","HEO","130","[c]","34790","33340"
"Leaver CS","2022","50-59","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared disabled","SEO","90","[c]","41670","40580"
"Leaver CS","2022","50-59","Declared disabled","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","AA","265","[c]","19740","19560"
"Leaver CS","2022","50-59","Declared non-disabled","AO","1320","[c]","22230","21260"
"Leaver CS","2022","50-59","Declared non-disabled","EO","1385","[c]","27950","27570"
"Leaver CS","2022","50-59","Declared non-disabled","G6","210","[c]","70330","68410"
"Leaver CS","2022","50-59","Declared non-disabled","G7","475","[c]","56350","54540"
"Leaver CS","2022","50-59","Declared non-disabled","HEO","510","[c]","34120","33630"
"Leaver CS","2022","50-59","Declared non-disabled","SCS level","155","[c]","94930","93740"
"Leaver CS","2022","50-59","Declared non-disabled","SEO","495","[c]","42610","41120"
"Leaver CS","2022","50-59","Declared non-disabled","Unknown","170","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Undeclared","AA","45","[c]","[c]","[c]"
