"Status","Year","Age","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared non-disabled","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","Female","210","200","22180","21260"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","Male","145","135","22120","21260"
"In post","2022","16-19","Declared non-disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other","Female","30","30","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other","Male","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Policy","Male","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","Male","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","Female","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","Male","55","55","19120","18030"
"In post","2022","16-19","Declared non-disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Male","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Tax","Female","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Tax","Male","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Female","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Male","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Other","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Female","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Female","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","Male","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Female","150","140","21940","21250"
"In post","2022","16-19","Unknown","Operational Delivery","Male","130","120","21710","21250"
"In post","2022","16-19","Unknown","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Male","35","35","18300","16720"
"In post","2022","16-19","Unknown","Policy","Female","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Policy","Male","15","10","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Property","Male","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Male","40","40","17350","17140"
"In post","2022","16-19","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Tax","Female","20","20","[c]","[c]"
"In post","2022","16-19","Unknown","Tax","Male","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","25","25","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","30","30","[c]","[c]"
"In post","2022","16-19","Unknown","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Female","40","40","30600","27220"
"In post","2022","20-29","Declared disabled","Commercial","Male","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Female","40","35","33000","32670"
"In post","2022","20-29","Declared disabled","Communications","Male","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Counter Fraud","Female","40","40","27570","27570"
"In post","2022","20-29","Declared disabled","Counter Fraud","Male","35","35","26030","27570"
"In post","2022","20-29","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","Female","75","75","32360","31830"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","Male","95","95","32120","29660"
"In post","2022","20-29","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Economics","Female","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Economics","Male","35","35","37900","34610"
"In post","2022","20-29","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Female","45","45","32500","30120"
"In post","2022","20-29","Declared disabled","Finance","Male","45","45","32850","29740"
"In post","2022","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Female","110","110","34070","32000"
"In post","2022","20-29","Declared disabled","Human Resources","Male","35","35","32800","30330"
"In post","2022","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","Female","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","Male","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","Female","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","Female","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","Male","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","Female","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","Male","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","Female","40","40","36300","33460"
"In post","2022","20-29","Declared disabled","Legal","Male","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Delivery","Female","1695","1650","26050","25100"
"In post","2022","20-29","Declared disabled","Operational Delivery","Male","935","925","25500","24880"
"In post","2022","20-29","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","Female","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","Male","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Other","Female","180","175","25680","25110"
"In post","2022","20-29","Declared disabled","Other","Male","105","105","25610","24250"
"In post","2022","20-29","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Policy","Female","450","445","37370","34020"
"In post","2022","20-29","Declared disabled","Policy","Male","280","275","37730","35050"
"In post","2022","20-29","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Project Delivery","Female","90","85","32830","33120"
"In post","2022","20-29","Declared disabled","Project Delivery","Male","60","60","33240","31600"
"In post","2022","20-29","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","Female","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","Male","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Psychology","Female","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Science and Engineering","Female","95","95","27790","27540"
"In post","2022","20-29","Declared disabled","Science and Engineering","Male","120","120","29240","27770"
"In post","2022","20-29","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","Female","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Security","Male","35","35","28490","27680"
"In post","2022","20-29","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Research","Female","30","30","37280","36840"
"In post","2022","20-29","Declared disabled","Social Research","Male","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Statistics","Female","45","45","35490","33710"
"In post","2022","20-29","Declared disabled","Statistics","Male","40","40","32890","32160"
"In post","2022","20-29","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Tax","Female","105","100","30160","26820"
"In post","2022","20-29","Declared disabled","Tax","Male","90","90","28590","26820"
"In post","2022","20-29","Declared disabled","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Female","285","280","32210","30590"
"In post","2022","20-29","Declared disabled","Unknown","Male","195","195","32790","31060"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
