"Status","Year","Disability","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","EO","30","30","27810","27040"
"In post","2022","Declared disabled","Department for International Trade","London","G6/G7","80","80","57370","54600"
"In post","2022","Declared disabled","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","SEO/HEO","80","75","36130","35560"
"In post","2022","Declared disabled","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","EO","45","45","28920","27850"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","G6/G7","85","85","57530","53480"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","SEO/HEO","95","95","37290","36540"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","30","25","22270","22560"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","50","50","53210","48200"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","90","85","34120","34170"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","EO","55","50","30630","30780"
"In post","2022","Declared disabled","Department for Transport","London","G6/G7","70","70","57930","54760"
"In post","2022","Declared disabled","Department for Transport","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","SEO/HEO","75","70","39170","37610"
"In post","2022","Declared disabled","Department for Transport","Outside London","AA/AO","580","470","21110","21840"
"In post","2022","Declared disabled","Department for Transport","Outside London","EO","335","295","27330","26780"
"In post","2022","Declared disabled","Department for Transport","Outside London","G6/G7","40","40","61750","58630"
"In post","2022","Declared disabled","Department for Transport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Outside London","SEO/HEO","215","205","35940","33350"
"In post","2022","Declared disabled","Department for Transport","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","London","AA/AO","270","230","24420","25110"
"In post","2022","Declared disabled","Department for Work and Pensions","London","EO","960","890","31080","31060"
"In post","2022","Declared disabled","Department for Work and Pensions","London","G6/G7","95","90","60790","57230"
"In post","2022","Declared disabled","Department for Work and Pensions","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","London","SEO/HEO","260","245","38770","38280"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","AA/AO","5020","4255","21220","21260"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","EO","7585","6690","27680","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","G6/G7","335","320","55130","52380"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","SEO/HEO","1490","1375","35040","33700"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","AA/AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","EO","55","50","28780","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","EO","40","35","27720","27270"
"In post","2022","Declared disabled","Department of Health and Social Care","London","G6/G7","90","85","57960","53860"
"In post","2022","Declared disabled","Department of Health and Social Care","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","SEO/HEO","125","120","36450","33400"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","AA/AO","40","40","20540","19880"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","EO","45","40","25260","24200"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","G6/G7","70","70","56200","51890"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","SCS level","15","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","SEO/HEO","135","125","34890","36330"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","EO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","SEO/HEO","40","40","35320","37350"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","AA/AO","35","35","27990","28250"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","EO","60","60","32030","30800"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","G6/G7","140","135","60800","59580"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","SEO/HEO","150","145","39330","38600"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","AA/AO","40","40","23950","25000"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","EO","50","45","26960","26120"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","G6/G7","40","35","55020","53610"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","75","75","37970","36490"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","G6/G7","80","80","58920","56800"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","SEO/HEO","80","80","35540","34260"
"In post","2022","Declared disabled","HM Land Registry","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","SEO/HEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","Outside London","AA/AO","195","180","22530","22600"
"In post","2022","Declared disabled","HM Land Registry","Outside London","EO","250","210","27260","27130"
"In post","2022","Declared disabled","HM Land Registry","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","Outside London","SEO/HEO","185","165","37050","33840"
"In post","2022","Declared disabled","HM Revenue and Customs","London","AA/AO","110","95","25840","26400"
"In post","2022","Declared disabled","HM Revenue and Customs","London","EO","165","155","31700","31020"
"In post","2022","Declared disabled","HM Revenue and Customs","London","G6/G7","220","205","65470","62120"
"In post","2022","Declared disabled","HM Revenue and Customs","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","HM Revenue and Customs","London","SEO/HEO","345","330","40880","40910"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","AA/AO","1870","1570","21650","21250"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","EO","1255","1130","27110","26820"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","G6/G7","535","515","57470","55210"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","SEO/HEO","1870","1760","35840","33370"
"In post","2022","Declared disabled","HM Treasury","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","London","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","London","G6/G7","95","90","58320","55500"
"In post","2022","Declared disabled","HM Treasury","London","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","London","SEO/HEO","95","90","35660","34320"
"In post","2022","Declared disabled","HM Treasury","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","SEO/HEO","30","30","36990","36500"
"In post","2022","Declared disabled","HM Treasury","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","London","AA/AO","175","155","25110","25630"
"In post","2022","Declared disabled","Home Office","London","EO","365","330","29470","29080"
"In post","2022","Declared disabled","Home Office","London","G6/G7","190","190","62550","59430"
"In post","2022","Declared disabled","Home Office","London","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Home Office","London","SEO/HEO","415","400","39090","37510"
"In post","2022","Declared disabled","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Outside London","AA/AO","560","485","21200","21680"
"In post","2022","Declared disabled","Home Office","Outside London","EO","770","715","25870","25310"
"In post","2022","Declared disabled","Home Office","Outside London","G6/G7","95","95","56510","52340"
"In post","2022","Declared disabled","Home Office","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Outside London","SEO/HEO","420","400","33920","32390"
"In post","2022","Declared disabled","Home Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","London","AA/AO","75","75","24980","24490"
"In post","2022","Declared disabled","Ministry of Defence","London","EO","80","80","29050","29250"
"In post","2022","Declared disabled","Ministry of Defence","London","G6/G7","65","65","63980","59730"
"In post","2022","Declared disabled","Ministry of Defence","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","London","SEO/HEO","175","170","41460","41850"
"In post","2022","Declared disabled","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","AA/AO","1190","1130","22510","21170"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","EO","930","890","26910","26670"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","G6/G7","415","400","56720","54540"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","SEO/HEO","1710","1655","36390","35000"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","Unknown","205","200","39330","37400"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","London","AA/AO","490","455","26370","24310"
"In post","2022","Declared disabled","Ministry of Justice","London","EO","260","255","30570","28450"
"In post","2022","Declared disabled","Ministry of Justice","London","G6/G7","140","135","61850","60330"
"In post","2022","Declared disabled","Ministry of Justice","London","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","London","SEO/HEO","410","400","40730","41750"
"In post","2022","Declared disabled","Ministry of Justice","London","Unknown","415","400","35340","34100"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","AA/AO","3480","3155","23860","21550"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","EO","980","925","28040","26890"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","G6/G7","145","145","62870","59030"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","SCS level","20","20","[c]","[c]"
