"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Policy","EO","45","45","28260","27660"
"In post","2022","Analysis","Policy","G6/G7","295","275","58420","56420"
"In post","2022","Analysis","Policy","SCS level","15","15","84210","77880"
"In post","2022","Analysis","Policy","SEO/HEO","215","205","38240","37160"
"In post","2022","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","Project Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Science and Engineering","AA/AO","35","35","21320","21510"
"In post","2022","Analysis","Science and Engineering","EO","105","100","25290","25010"
"In post","2022","Analysis","Science and Engineering","G6/G7","165","155","53770","49970"
"In post","2022","Analysis","Science and Engineering","SCS level","10","10","88420","84640"
"In post","2022","Analysis","Science and Engineering","SEO/HEO","385","370","34070","35900"
"In post","2022","Analysis","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Social Research","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Social Research","EO","10","10","25480","25620"
"In post","2022","Analysis","Social Research","G6/G7","295","280","56650","55210"
"In post","2022","Analysis","Social Research","SCS level","15","15","77450","76670"
"In post","2022","Analysis","Social Research","SEO/HEO","760","730","35680","36840"
"In post","2022","Analysis","Statistics","AA/AO","25","25","22530","21840"
"In post","2022","Analysis","Statistics","EO","200","190","27720","27850"
"In post","2022","Analysis","Statistics","G6/G7","660","635","58090","57300"
"In post","2022","Analysis","Statistics","SCS level","50","50","85310","79130"
"In post","2022","Analysis","Statistics","SEO/HEO","1130","1095","37180","37610"
"In post","2022","Analysis","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tax","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","AA/AO","45","45","22460","21260"
"In post","2022","Analysis","Unknown","EO","10","10","28540","27570"
"In post","2022","Analysis","Unknown","G6/G7","50","50","60510","60050"
"In post","2022","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","SEO/HEO","45","40","38330","37610"
"In post","2022","Commercial","Commercial","AA/AO","225","210","22630","21840"
"In post","2022","Commercial","Commercial","EO","615","590","26640","26350"
"In post","2022","Commercial","Commercial","G6/G7","785","765","56650","54140"
"In post","2022","Commercial","Commercial","SCS level","75","70","84990","78520"
"In post","2022","Commercial","Commercial","SEO/HEO","2205","2135","37150","37100"
"In post","2022","Commercial","Commercial","Unknown","165","165","40030","37400"
"In post","2022","Commercial","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Communications","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Digital, Data and Technology","SEO/HEO","10","10","34860","34260"
"In post","2022","Commercial","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Finance","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Finance","SEO/HEO","30","30","34950","34260"
"In post","2022","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Operational Delivery","AA/AO","55","50","22520","21300"
"In post","2022","Commercial","Operational Delivery","EO","70","65","27600","26820"
"In post","2022","Commercial","Operational Delivery","G6/G7","90","90","63230","60380"
"In post","2022","Commercial","Operational Delivery","SCS level","10","10","124090","115350"
"In post","2022","Commercial","Operational Delivery","SEO/HEO","180","175","39560","39370"
"In post","2022","Commercial","Other","EO","15","15","23440","22290"
"In post","2022","Commercial","Other","G6/G7","30","30","57310","54000"
"In post","2022","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Other","SEO/HEO","45","40","35620","36000"
"In post","2022","Commercial","Policy","G6/G7","20","20","61320","57880"
"In post","2022","Commercial","Policy","SEO/HEO","15","15","36300","35520"
"In post","2022","Commercial","Project Delivery","G6/G7","35","35","56600","55710"
"In post","2022","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Project Delivery","SEO/HEO","60","55","37070","37500"
"In post","2022","Commercial","Property","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Science and Engineering","G6/G7","30","30","57090","54920"
"In post","2022","Commercial","Science and Engineering","SEO/HEO","80","80","38070","39940"
"In post","2022","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Tax","SEO/HEO","10","10","36140","33400"
"In post","2022","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","EO","40","40","26730","27500"
"In post","2022","Commercial","Unknown","G6/G7","1235","1220","64910","64500"
"In post","2022","Commercial","Unknown","SCS level","240","235","118900","117230"
"In post","2022","Commercial","Unknown","SEO/HEO","160","160","37960","38420"
"In post","2022","Commercial","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2022","Communications","Commercial","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Communications","Communications","AA/AO","190","180","22130","21460"
"In post","2022","Communications","Communications","EO","510","490","27740","27270"
"In post","2022","Communications","Communications","G6/G7","890","860","58720","56660"
"In post","2022","Communications","Communications","SCS level","100","100","89290","85000"
"In post","2022","Communications","Communications","SEO/HEO","1740","1690","37820","37650"
"In post","2022","Communications","Communications","Unknown","15","15","36710","31420"
"In post","2022","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","G6/G7","10","10","[c]","[c]"
"In post","2022","Communications","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Human Resources","EO","10","10","[c]","[c]"
"In post","2022","Communications","Human Resources","G6/G7","10","10","62600","63500"
"In post","2022","Communications","Human Resources","SEO/HEO","10","10","37680","38370"
"In post","2022","Communications","Knowledge and Information Management","AA/AO","5","5","[c]","[c]"
"In post","2022","Communications","Knowledge and Information Management","EO","25","20","31560","31760"
"In post","2022","Communications","Knowledge and Information Management","G6/G7","15","15","59000","56120"
"In post","2022","Communications","Knowledge and Information Management","SEO/HEO","60","55","41670","41530"
"In post","2022","Communications","Operational Delivery","AA/AO","255","225","21510","21250"
"In post","2022","Communications","Operational Delivery","EO","795","770","26590","26590"
"In post","2022","Communications","Operational Delivery","G6/G7","60","60","54920","55210"
"In post","2022","Communications","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2022","Communications","Operational Delivery","SEO/HEO","695","680","35040","33370"
"In post","2022","Communications","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","EO","15","15","27520","27080"
"In post","2022","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Other","SEO/HEO","20","20","33690","32950"
"In post","2022","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","G6/G7","10","10","[c]","[c]"
"In post","2022","Communications","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Policy","SEO/HEO","15","15","44300","45100"
"In post","2022","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Tax","AA/AO","35","25","21600","21250"
"In post","2022","Communications","Tax","EO","1765","1710","26800","26820"
"In post","2022","Communications","Tax","G6/G7","30","30","54910","55210"
"In post","2022","Communications","Tax","SEO/HEO","665","650","33910","33370"
"In post","2022","Communications","Unknown","AA/AO","10","10","22520","22870"
"In post","2022","Communications","Unknown","EO","115","115","26840","26590"
"In post","2022","Communications","Unknown","G6/G7","165","160","59640","56610"
"In post","2022","Communications","Unknown","SCS level","25","25","96030","85000"
"In post","2022","Communications","Unknown","SEO/HEO","235","235","37710","37610"
"In post","2022","Counter Fraud","Counter Fraud","AA/AO","1455","1245","22530","21260"
"In post","2022","Counter Fraud","Counter Fraud","EO","3500","3140","28230","27570"
"In post","2022","Counter Fraud","Counter Fraud","G6/G7","160","160","59890","58700"
"In post","2022","Counter Fraud","Counter Fraud","SCS level","10","10","91350","80000"
"In post","2022","Counter Fraud","Counter Fraud","SEO/HEO","1265","1205","35480","34290"
"In post","2022","Counter Fraud","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","EO","60","55","28430","26820"
"In post","2022","Counter Fraud","Intelligence Analysis","G6/G7","35","35","60480","60940"
"In post","2022","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Intelligence Analysis","SEO/HEO","155","150","37400","37610"
"In post","2022","Counter Fraud","Knowledge and Information Management","AA/AO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","G6/G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Knowledge and Information Management","SEO/HEO","20","20","38530","40520"
"In post","2022","Counter Fraud","Legal","AA/AO","215","185","22170","22080"
"In post","2022","Counter Fraud","Legal","EO","1350","1290","28330","26820"
"In post","2022","Counter Fraud","Legal","G6/G7","175","170","59430","58710"
"In post","2022","Counter Fraud","Legal","SCS level","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Legal","SEO/HEO","1650","1590","36720","35980"
"In post","2022","Counter Fraud","Operational Delivery","AA/AO","1015","890","22050","21260"
"In post","2022","Counter Fraud","Operational Delivery","EO","1360","1250","27790","26820"
"In post","2022","Counter Fraud","Operational Delivery","G6/G7","190","185","59150","55210"
"In post","2022","Counter Fraud","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Operational Delivery","SEO/HEO","1325","1245","35880","33370"
"In post","2022","Counter Fraud","Operational Research","EO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Other","AA/AO","15","15","25680","26400"
"In post","2022","Counter Fraud","Other","EO","80","70","28870","28920"
"In post","2022","Counter Fraud","Other","G6/G7","105","95","59470","56840"
"In post","2022","Counter Fraud","Other","SEO/HEO","125","115","37500","37930"
"In post","2022","Counter Fraud","Tax","AA/AO","15","15","22710","22080"
"In post","2022","Counter Fraud","Tax","EO","415","375","28260","26820"
"In post","2022","Counter Fraud","Tax","G6/G7","560","535","59800","55210"
"In post","2022","Counter Fraud","Tax","SCS level","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Tax","SEO/HEO","915","865","37100","37610"
"In post","2022","Counter Fraud","Unknown","AA/AO","30","30","21660","21250"
"In post","2022","Counter Fraud","Unknown","EO","425","420","27740","26590"
"In post","2022","Counter Fraud","Unknown","G6/G7","80","75","57680","55210"
"In post","2022","Counter Fraud","Unknown","SCS level","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO/HEO","250","245","36170","35590"
"In post","2022","Debt","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Operational Delivery","AA/AO","2290","2020","22060","21250"
"In post","2022","Debt","Operational Delivery","EO","760","690","28030","26820"
"In post","2022","Debt","Operational Delivery","G6/G7","45","45","62040","55210"
"In post","2022","Debt","Operational Delivery","SEO/HEO","250","235","35950","33370"
"In post","2022","Debt","Other","AA/AO","2060","1745","21270","21260"
"In post","2022","Debt","Other","EO","350","305","27700","27570"
"In post","2022","Debt","Other","SEO/HEO","95","85","32950","31990"
"In post","2022","Debt","Tax","AA/AO","760","725","21410","21250"
"In post","2022","Debt","Tax","EO","85","85","26720","26820"
"In post","2022","Debt","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Tax","SEO/HEO","10","10","36430","39230"
"In post","2022","Debt","Unknown","AA/AO","75","70","21530","21250"
"In post","2022","Debt","Unknown","EO","25","25","26740","26820"
"In post","2022","Debt","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","Debt","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Commercial","SEO/HEO","20","20","35220","33610"
"In post","2022","Digital, Data & Technology","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Communications","SEO/HEO","15","15","36770","37080"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","AA/AO","630","610","21810","21290"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","EO","3240","3100","27740","27570"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","G6/G7","4610","4530","58100","55550"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","SCS level","245","240","90350","85460"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","8620","8400","37660","36840"
"In post","2022","Digital, Data & Technology","Digital, Data and Technology","Unknown","40","35","33790","32020"
"In post","2022","Digital, Data & Technology","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","G6/G7","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","AA/AO","210","200","22170","21380"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","EO","215","205","27190","26670"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","G6/G7","80","75","57290","54880"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","SCS level","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","365","355","35740","34460"
"In post","2022","Digital, Data & Technology","Knowledge and Information Management","Unknown","35","35","34710","33000"
"In post","2022","Digital, Data & Technology","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","AA/AO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","AA/AO","20","20","21630","21250"
"In post","2022","Digital, Data & Technology","Operational Delivery","EO","110","100","27080","26820"
"In post","2022","Digital, Data & Technology","Operational Delivery","G6/G7","85","85","57440","55210"
"In post","2022","Digital, Data & Technology","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Operational Delivery","SEO/HEO","330","320","36640","35310"
"In post","2022","Digital, Data & Technology","Operational Research","G6/G7","10","10","56520","55210"
"In post","2022","Digital, Data & Technology","Operational Research","SEO/HEO","10","10","40060","40520"
"In post","2022","Digital, Data & Technology","Other","EO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","G6/G7","10","10","59620","58530"
"In post","2022","Digital, Data & Technology","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Other","SEO/HEO","30","30","33220","32900"
"In post","2022","Digital, Data & Technology","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","EO","25","20","26650","26000"
"In post","2022","Digital, Data & Technology","Policy","G6/G7","100","95","56960","54400"
"In post","2022","Digital, Data & Technology","Policy","SCS level","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Policy","SEO/HEO","120","115","35170","36500"
"In post","2022","Digital, Data & Technology","Project Delivery","EO","15","15","27310","27570"
"In post","2022","Digital, Data & Technology","Project Delivery","G6/G7","45","40","57270","54800"
"In post","2022","Digital, Data & Technology","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Project Delivery","SEO/HEO","130","120","35510","34290"
"In post","2022","Digital, Data & Technology","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","AA/AO","65","65","21290","21430"
"In post","2022","Digital, Data & Technology","Science and Engineering","EO","50","50","25740","25630"
"In post","2022","Digital, Data & Technology","Science and Engineering","G6/G7","210","190","51960","48540"
"In post","2022","Digital, Data & Technology","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Science and Engineering","SEO/HEO","650","610","37020","38200"
"In post","2022","Digital, Data & Technology","Security","G6/G7","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Security","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","EO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","G6/G7","15","15","58210","55210"
"In post","2022","Digital, Data & Technology","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Tax","SEO/HEO","55","55","37230","35980"
"In post","2022","Digital, Data & Technology","Unknown","AA/AO","10","10","23170","24490"
"In post","2022","Digital, Data & Technology","Unknown","EO","115","115","27060","27500"
"In post","2022","Digital, Data & Technology","Unknown","G6/G7","815","800","57480","54700"
"In post","2022","Digital, Data & Technology","Unknown","SCS level","60","60","102150","95800"
"In post","2022","Digital, Data & Technology","Unknown","SEO/HEO","530","520","37030","37300"
"In post","2022","Finance","Commercial","AA/AO","65","55","21220","21260"
"In post","2022","Finance","Commercial","EO","85","75","27580","27570"
"In post","2022","Finance","Commercial","G6/G7","130","125","55010","51800"
"In post","2022","Finance","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Commercial","SEO/HEO","340","325","34800","34290"
"In post","2022","Finance","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Finance","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Corporate Finance","EO","15","15","25890","26090"
"In post","2022","Finance","Corporate Finance","G6/G7","40","40","57920","57000"
"In post","2022","Finance","Corporate Finance","SCS level","5","5","[c]","[c]"
"In post","2022","Finance","Corporate Finance","SEO/HEO","50","45","37580","38030"
"In post","2022","Finance","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","EO","25","25","25780","26000"
"In post","2022","Finance","Digital, Data and Technology","G6/G7","65","65","53140","50400"
"In post","2022","Finance","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Digital, Data and Technology","SEO/HEO","140","135","34600","36500"
"In post","2022","Finance","Economics","G6/G7","10","10","58750","56620"
"In post","2022","Finance","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Finance","AA/AO","750","665","21900","21260"
"In post","2022","Finance","Finance","EO","1600","1520","26780","26670"
"In post","2022","Finance","Finance","G6/G7","2160","2105","58750","57400"
"In post","2022","Finance","Finance","SCS level","245","240","87300","80050"
"In post","2022","Finance","Finance","SEO/HEO","4100","3950","37640","36820"
"In post","2022","Finance","Finance","Unknown","55","55","50720","44130"
"In post","2022","Finance","Human Resources","EO","10","10","24020","23690"
"In post","2022","Finance","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Human Resources","SEO/HEO","15","15","33990","32790"
"In post","2022","Finance","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
