"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Corporate Finance","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Female","Unknown","25","20","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Female","Heterosexual / straight","645","535","22470","21260"
"In post","2022","Counter Fraud","AA/AO","Female","LGBO","25","20","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Female","Undeclared","115","95","22340","21260"
"In post","2022","Counter Fraud","AA/AO","Female","Unknown","220","165","22780","22740"
"In post","2022","Counter Fraud","AA/AO","Male","Heterosexual / straight","325","310","22550","21260"
"In post","2022","Counter Fraud","AA/AO","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Male","Undeclared","50","45","22160","21260"
"In post","2022","Counter Fraud","AA/AO","Male","Unknown","90","85","22300","21260"
"In post","2022","Counter Fraud","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Female","Heterosexual / straight","1475","1315","27990","27570"
"In post","2022","Counter Fraud","EO","Female","LGBO","75","70","28150","27570"
"In post","2022","Counter Fraud","EO","Female","Undeclared","180","160","28170","27570"
"In post","2022","Counter Fraud","EO","Female","Unknown","455","380","28440","27570"
"In post","2022","Counter Fraud","EO","Male","Heterosexual / straight","910","845","28140","27570"
"In post","2022","Counter Fraud","EO","Male","LGBO","55","50","28610","27570"
"In post","2022","Counter Fraud","EO","Male","Undeclared","125","115","27960","27570"
"In post","2022","Counter Fraud","EO","Male","Unknown","345","310","28460","27570"
"In post","2022","Counter Fraud","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Female","Heterosexual / straight","40","35","57760","54070"
"In post","2022","Counter Fraud","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Male","Heterosexual / straight","75","75","60570","58700"
"In post","2022","Counter Fraud","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Male","Unknown","25","25","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Female","Heterosexual / straight","460","430","34640","33180"
"In post","2022","Counter Fraud","SEO/HEO","Female","LGBO","25","20","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Female","Undeclared","55","50","35220","34290"
"In post","2022","Counter Fraud","SEO/HEO","Female","Unknown","125","120","35930","35310"
"In post","2022","Counter Fraud","SEO/HEO","Male","Heterosexual / straight","435","420","35820","34730"
"In post","2022","Counter Fraud","SEO/HEO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Male","Undeclared","55","55","35280","33350"
"In post","2022","Counter Fraud","SEO/HEO","Male","Unknown","125","120","36860","35400"
"In post","2022","Counter Fraud","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Female","Heterosexual / straight","195","185","21800","21290"
"In post","2022","Digital, Data and Technology","AA/AO","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Female","Unknown","45","40","22080","21260"
"In post","2022","Digital, Data and Technology","AA/AO","Male","Heterosexual / straight","260","260","22200","21380"
"In post","2022","Digital, Data and Technology","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Male","Undeclared","40","40","21770","21380"
"In post","2022","Digital, Data and Technology","AA/AO","Male","Unknown","70","65","21660","21280"
"In post","2022","Digital, Data and Technology","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Female","Heterosexual / straight","805","745","27490","27070"
"In post","2022","Digital, Data and Technology","EO","Female","LGBO","70","70","26790","26760"
"In post","2022","Digital, Data and Technology","EO","Female","Undeclared","100","90","27570","26920"
"In post","2022","Digital, Data and Technology","EO","Female","Unknown","225","205","27660","27570"
"In post","2022","Digital, Data and Technology","EO","Male","Heterosexual / straight","1450","1415","27850","27570"
"In post","2022","Digital, Data and Technology","EO","Male","LGBO","80","80","27650","27570"
"In post","2022","Digital, Data and Technology","EO","Male","Undeclared","235","230","28080","27570"
"In post","2022","Digital, Data and Technology","EO","Male","Unknown","505","490","27910","27570"
"In post","2022","Digital, Data and Technology","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","G6/G7","Female","Heterosexual / straight","1295","1250","56880","55210"
"In post","2022","Digital, Data and Technology","G6/G7","Female","LGBO","90","90","56970","55380"
"In post","2022","Digital, Data and Technology","G6/G7","Female","Undeclared","175","170","58340","56000"
"In post","2022","Digital, Data and Technology","G6/G7","Female","Unknown","360","350","56760","55210"
"In post","2022","Digital, Data and Technology","G6/G7","Male","Heterosexual / straight","2430","2410","59270","57500"
"In post","2022","Digital, Data and Technology","G6/G7","Male","LGBO","130","130","59240","57430"
"In post","2022","Digital, Data and Technology","G6/G7","Male","Undeclared","360","355","59510","57460"
"In post","2022","Digital, Data and Technology","G6/G7","Male","Unknown","755","750","59750","58100"
"In post","2022","Digital, Data and Technology","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Female","Heterosexual / straight","75","70","87160","80000"
"In post","2022","Digital, Data and Technology","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Male","Heterosexual / straight","150","150","94610","90000"
"In post","2022","Digital, Data and Technology","SCS level","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Male","Unknown","30","30","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","SEO/HEO","Female","Heterosexual / straight","2370","2255","36920","36500"
"In post","2022","Digital, Data and Technology","SEO/HEO","Female","LGBO","180","180","36300","36050"
"In post","2022","Digital, Data and Technology","SEO/HEO","Female","Undeclared","345","330","37260","36810"
"In post","2022","Digital, Data and Technology","SEO/HEO","Female","Unknown","600","580","37440","36660"
"In post","2022","Digital, Data and Technology","SEO/HEO","Male","Heterosexual / straight","4150","4090","38360","37930"
"In post","2022","Digital, Data and Technology","SEO/HEO","Male","LGBO","240","235","36890","36410"
"In post","2022","Digital, Data and Technology","SEO/HEO","Male","Undeclared","700","685","38550","38000"
"In post","2022","Digital, Data and Technology","SEO/HEO","Male","Unknown","1360","1345","37960","37450"
"In post","2022","Digital, Data and Technology","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Economics","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Male","Heterosexual / straight","35","35","21620","19860"
"In post","2022","Economics","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Female","Heterosexual / straight","55","50","27170","26820"
"In post","2022","Economics","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Economics","EO","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","EO","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Economics","EO","Male","Heterosexual / straight","40","40","26800","26910"
"In post","2022","Economics","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Economics","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","G6/G7","Female","Heterosexual / straight","235","215","60210","57620"
"In post","2022","Economics","G6/G7","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Economics","G6/G7","Female","Undeclared","30","25","[c]","[c]"
"In post","2022","Economics","G6/G7","Female","Unknown","45","40","57860","56950"
"In post","2022","Economics","G6/G7","Male","Heterosexual / straight","400","395","59940","57620"
"In post","2022","Economics","G6/G7","Male","LGBO","35","35","58890","58030"
"In post","2022","Economics","G6/G7","Male","Undeclared","55","55","60970","60310"
"In post","2022","Economics","G6/G7","Male","Unknown","90","90","60950","60160"
"In post","2022","Economics","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Female","Heterosexual / straight","30","30","86680","80580"
"In post","2022","Economics","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Male","Heterosexual / straight","40","40","96090","81390"
"In post","2022","Economics","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Economics","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
