"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","Female","140","125","21750","21380"
"In post","2022","Declared disabled","Human Resources","AA/AO","Male","60","60","21400","21250"
"In post","2022","Declared disabled","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Female","240","215","27680","27570"
"In post","2022","Declared disabled","Human Resources","EO","Male","125","120","27530","27570"
"In post","2022","Declared disabled","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6/G7","Female","215","210","56830","55000"
"In post","2022","Declared disabled","Human Resources","G6/G7","Male","95","95","58740","55800"
"In post","2022","Declared disabled","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Female","30","30","84610","78760"
"In post","2022","Declared disabled","Human Resources","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","Female","480","455","36540","35890"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","Male","195","190","36990","36650"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","Female","30","30","39390","39340"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","AA/AO","Female","135","120","22740","22200"
"In post","2022","Declared disabled","Legal","AA/AO","Male","65","65","22860","22200"
"In post","2022","Declared disabled","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","EO","Female","180","160","28210","28430"
"In post","2022","Declared disabled","Legal","EO","Male","60","60","28590","28430"
"In post","2022","Declared disabled","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","G6/G7","Female","320","285","59210","55610"
"In post","2022","Declared disabled","Legal","G6/G7","Male","205","195","59950","57400"
"In post","2022","Declared disabled","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Legal","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","SEO/HEO","Female","140","135","38420","38000"
"In post","2022","Declared disabled","Legal","SEO/HEO","Male","80","75","40360","38000"
"In post","2022","Declared disabled","Legal","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","AA/AO","Female","6875","5725","21980","21260"
"In post","2022","Declared disabled","No function","AA/AO","Male","4410","4095","23200","21260"
"In post","2022","Declared disabled","No function","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","EO","Female","7160","6265","27960","27570"
"In post","2022","Declared disabled","No function","EO","Male","3775","3565","28600","27570"
"In post","2022","Declared disabled","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","G6/G7","Female","1050","1010","57410","55210"
"In post","2022","Declared disabled","No function","G6/G7","Male","825","805","58660","55800"
"In post","2022","Declared disabled","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","SCS level","Female","105","100","83880","77060"
"In post","2022","Declared disabled","No function","SCS level","Male","100","100","95420","85340"
"In post","2022","Declared disabled","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","SEO/HEO","Female","3170","2985","36470","34680"
"In post","2022","Declared disabled","No function","SEO/HEO","Male","2195","2115","37510","36340"
"In post","2022","Declared disabled","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","No function","Unknown","Female","2550","2365","30420","28200"
"In post","2022","Declared disabled","No function","Unknown","Male","740","705","31900","30210"
"In post","2022","Declared disabled","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AA/AO","Female","80","60","22200","21300"
"In post","2022","Declared disabled","Project Delivery","AA/AO","Male","40","35","22210","21280"
"In post","2022","Declared disabled","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","EO","Female","220","200","25620","26300"
"In post","2022","Declared disabled","Project Delivery","EO","Male","180","175","24940","25750"
"In post","2022","Declared disabled","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","G6/G7","Female","310","300","57590","55210"
"In post","2022","Declared disabled","Project Delivery","G6/G7","Male","270","265","58630","56170"
"In post","2022","Declared disabled","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SCS level","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","Female","670","630","35780","35310"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","Male","650","630","37250","37800"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","Unknown","Female","70","65","36980","33740"
"In post","2022","Declared disabled","Project Delivery","Unknown","Male","95","95","41230","40670"
"In post","2022","Declared disabled","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","AA/AO","Female","80","75","22130","22010"
"In post","2022","Declared disabled","Property","AA/AO","Male","65","60","21450","21640"
"In post","2022","Declared disabled","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","EO","Female","70","65","27230","27000"
"In post","2022","Declared disabled","Property","EO","Male","95","90","26180","26520"
"In post","2022","Declared disabled","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","G6/G7","Female","65","65","57760","55210"
"In post","2022","Declared disabled","Property","G6/G7","Male","75","75","57700","57110"
"In post","2022","Declared disabled","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Property","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Property","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO/HEO","Female","155","145","36100","33640"
"In post","2022","Declared disabled","Property","SEO/HEO","Male","155","150","37650","36460"
"In post","2022","Declared disabled","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","AA/AO","Female","75","70","24910","21260"
"In post","2022","Declared disabled","Security","AA/AO","Male","280","270","27000","22630"
"In post","2022","Declared disabled","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","EO","Female","80","75","27550","26700"
"In post","2022","Declared disabled","Security","EO","Male","90","85","33260","29240"
"In post","2022","Declared disabled","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Security","G6/G7","Male","30","30","59830","59540"
"In post","2022","Declared disabled","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO/HEO","Female","100","95","36570","34550"
"In post","2022","Declared disabled","Security","SEO/HEO","Male","165","165","38820","36560"
"In post","2022","Declared disabled","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","Female","1075","955","22190","21680"
"In post","2022","Declared disabled","Unknown","AA/AO","Male","785","750","21890","21680"
"In post","2022","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","Female","1015","935","27500","27230"
"In post","2022","Declared disabled","Unknown","EO","Male","880","840","27740","27280"
"In post","2022","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","G6/G7","Female","410","385","61100","59340"
"In post","2022","Declared disabled","Unknown","G6/G7","Male","335","330","61900","61000"
"In post","2022","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SCS level","Female","40","35","88640","83230"
"In post","2022","Declared disabled","Unknown","SCS level","Male","40","40","90110","82260"
"In post","2022","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Female","1110","1055","37280","36510"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Male","900","875","38020","37250"
"In post","2022","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","AA/AO","Female","95","90","22020","21510"
"In post","2022","Declared non-disabled","Analysis","AA/AO","Male","90","85","21490","21260"
"In post","2022","Declared non-disabled","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","EO","Female","300","280","26880","26360"
"In post","2022","Declared non-disabled","Analysis","EO","Male","270","270","26970","26670"
"In post","2022","Declared non-disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","G6/G7","Female","850","780","58720","56490"
"In post","2022","Declared non-disabled","Analysis","G6/G7","Male","1150","1125","59410","57230"
"In post","2022","Declared non-disabled","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","SCS level","Female","60","55","82320","78620"
"In post","2022","Declared non-disabled","Analysis","SCS level","Male","85","85","92970","82490"
"In post","2022","Declared non-disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","Female","1320","1255","36380","36600"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","Male","1460","1440","36500","36650"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AA/AO","Female","85","75","22100","21840"
"In post","2022","Declared non-disabled","Commercial","AA/AO","Male","75","70","21860","21520"
"In post","2022","Declared non-disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","EO","Female","295","275","26500","26410"
"In post","2022","Declared non-disabled","Commercial","EO","Male","185","180","26720","26580"
"In post","2022","Declared non-disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","G6/G7","Female","380","365","57820","54700"
"In post","2022","Declared non-disabled","Commercial","G6/G7","Male","440","435","59700","57690"
"In post","2022","Declared non-disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","SCS level","Female","55","50","103570","95950"
"In post","2022","Declared non-disabled","Commercial","SCS level","Male","105","105","115620","106480"
"In post","2022","Declared non-disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","Female","970","930","36900","36780"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","Male","790","780","37930","38070"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Female","55","55","37990","37400"
"In post","2022","Declared non-disabled","Commercial","Unknown","Male","65","65","42130","40290"
"In post","2022","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","AA/AO","Female","155","135","21820","21250"
"In post","2022","Declared non-disabled","Communications","AA/AO","Male","115","110","21900","21250"
"In post","2022","Declared non-disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","EO","Female","890","840","26950","26820"
"In post","2022","Declared non-disabled","Communications","EO","Male","855","845","26960","26820"
"In post","2022","Declared non-disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","G6/G7","Female","445","425","58630","56580"
"In post","2022","Declared non-disabled","Communications","G6/G7","Male","285","285","58820","56500"
"In post","2022","Declared non-disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","SCS level","Female","50","45","88160","83340"
"In post","2022","Declared non-disabled","Communications","SCS level","Male","45","45","96860","85000"
"In post","2022","Declared non-disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","Female","1210","1160","36840","35430"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","Male","945","935","36560","33810"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","Female","1250","1020","22380","21260"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","Male","645","615","22250","21260"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","EO","Female","2710","2410","28130","27570"
