"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Geography","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AO","130","120","22080","21760"
"In post","2022","Declared disabled","Human Resources","EO","205","190","27900","27570"
"In post","2022","Declared disabled","Human Resources","G6","80","75","67500","66640"
"In post","2022","Declared disabled","Human Resources","G7","205","200","54230","54070"
"In post","2022","Declared disabled","Human Resources","HEO","345","330","33340","33300"
"In post","2022","Declared disabled","Human Resources","SCS level","35","35","85650","80000"
"In post","2022","Declared disabled","Human Resources","SEO","250","240","41320","40580"
"In post","2022","Declared disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO","35","30","50760","51360"
"In post","2022","Declared disabled","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","155","145","28060","27380"
"In post","2022","Declared disabled","Intelligence Analysis","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","HEO","80","75","34500","33630"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO","35","35","43010","43810"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","HEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO","30","30","43870","43070"
"In post","2022","Declared disabled","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G7","30","30","52900","51970"
"In post","2022","Declared disabled","International Trade","HEO","30","30","33330","32120"
"In post","2022","Declared disabled","International Trade","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AO","55","50","22380","21680"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","70","65","28100","27570"
"In post","2022","Declared disabled","Knowledge and Information Management","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","HEO","90","90","34310","33350"
"In post","2022","Declared disabled","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","SEO","45","40","41710","41700"
"In post","2022","Declared disabled","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","AO","30","25","22560","21250"
"In post","2022","Declared disabled","Legal","EO","125","115","28310","27130"
"In post","2022","Declared disabled","Legal","G6","100","90","70680","69710"
"In post","2022","Declared disabled","Legal","G7","435","400","56860","55610"
"In post","2022","Declared disabled","Legal","HEO","160","150","35760","34480"
"In post","2022","Declared disabled","Legal","SCS level","30","30","84040","80830"
"In post","2022","Declared disabled","Legal","SEO","165","155","43940","41980"
"In post","2022","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicine","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicine","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Medicine","G6","30","30","83830","86530"
"In post","2022","Declared disabled","Medicine","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Medicine","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Operational Delivery","AA","1365","1175","20570","20890"
"In post","2022","Declared disabled","Operational Delivery","AO","10960","9530","22670","21260"
"In post","2022","Declared disabled","Operational Delivery","EO","11240","10070","28080","27570"
"In post","2022","Declared disabled","Operational Delivery","G6","145","145","69510","66610"
"In post","2022","Declared disabled","Operational Delivery","G7","460","450","54860","54070"
"In post","2022","Declared disabled","Operational Delivery","HEO","2585","2415","33920","33370"
"In post","2022","Declared disabled","Operational Delivery","SCS level","60","60","93770","85850"
"In post","2022","Declared disabled","Operational Delivery","SEO","1185","1140","42810","40940"
"In post","2022","Declared disabled","Operational Delivery","Unknown","3325","3095","30760","28300"
"In post","2022","Declared disabled","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","G7","30","25","52770","52280"
"In post","2022","Declared disabled","Operational Research","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other","AA","210","195","19550","19810"
"In post","2022","Declared disabled","Other","AO","1085","975","21730","21260"
"In post","2022","Declared disabled","Other","EO","1205","1120","27420","27570"
"In post","2022","Declared disabled","Other","G6","45","45","68070","65700"
"In post","2022","Declared disabled","Other","G7","100","95","53740","54360"
"In post","2022","Declared disabled","Other","HEO","450","425","33010","33180"
"In post","2022","Declared disabled","Other","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other","SEO","210","200","40440","40510"
"In post","2022","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","G6","10","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Policy","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Policy","AO","70","65","24480","24630"
"In post","2022","Declared disabled","Policy","EO","330","320","28240","27850"
"In post","2022","Declared disabled","Policy","G6","300","290","66600","65520"
"In post","2022","Declared disabled","Policy","G7","795","770","54700","53870"
"In post","2022","Declared disabled","Policy","HEO","840","815","33940","33570"
"In post","2022","Declared disabled","Policy","SCS level","125","120","87470","78000"
"In post","2022","Declared disabled","Policy","SEO","620","605","40510","40200"
"In post","2022","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AO","95","75","22270","21260"
"In post","2022","Declared disabled","Project Delivery","EO","150","140","27060","26820"
"In post","2022","Declared disabled","Project Delivery","G6","95","90","67360","67910"
"In post","2022","Declared disabled","Project Delivery","G7","275","265","54160","54540"
"In post","2022","Declared disabled","Project Delivery","HEO","415","395","33270","33300"
"In post","2022","Declared disabled","Project Delivery","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SEO","420","395","40520","40520"
"In post","2022","Declared disabled","Project Delivery","Unknown","45","45","43790","40580"
"In post","2022","Declared disabled","Property","AA","30","30","18150","17480"
"In post","2022","Declared disabled","Property","AO","50","40","22430","22010"
"In post","2022","Declared disabled","Property","EO","125","120","27270","26880"
"In post","2022","Declared disabled","Property","G6","35","35","65730","65070"
"In post","2022","Declared disabled","Property","G7","85","85","54870","54240"
"In post","2022","Declared disabled","Property","HEO","160","155","33480","33300"
"In post","2022","Declared disabled","Property","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO","105","100","41970","40610"
"In post","2022","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Psychology","EO","40","40","26820","27380"
"In post","2022","Declared disabled","Psychology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","HEO","45","45","30520","30450"
"In post","2022","Declared disabled","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","AO","95","90","22500","22750"
"In post","2022","Declared disabled","Science and Engineering","EO","175","170","26270","26370"
"In post","2022","Declared disabled","Science and Engineering","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","G7","130","125","52760","52290"
"In post","2022","Declared disabled","Science and Engineering","HEO","245","235","32720","32570"
"In post","2022","Declared disabled","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","SEO","255","240","41710","41340"
"In post","2022","Declared disabled","Science and Engineering","Unknown","75","75","39840","37400"
"In post","2022","Declared disabled","Security","AA","145","135","20410","19810"
"In post","2022","Declared disabled","Security","AO","195","190","31430","29890"
"In post","2022","Declared disabled","Security","EO","125","120","31890","28240"
"In post","2022","Declared disabled","Security","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Security","HEO","110","105","34890","33300"
"In post","2022","Declared disabled","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO","70","65","43740","41970"
"In post","2022","Declared disabled","Security","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Social Research","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Social Research","HEO","45","40","32630","31320"
"In post","2022","Declared disabled","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","SEO","50","45","40630","40070"
"In post","2022","Declared disabled","Statistics","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","EO","30","30","27970","28350"
"In post","2022","Declared disabled","Statistics","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Statistics","G7","45","45","56280","55210"
"In post","2022","Declared disabled","Statistics","HEO","75","75","33710","33370"
"In post","2022","Declared disabled","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","SEO","65","60","40980","39950"
"In post","2022","Declared disabled","Tax","AO","200","180","21590","21250"
"In post","2022","Declared disabled","Tax","EO","350","320","27760","26820"
"In post","2022","Declared disabled","Tax","G6","50","45","70000","67910"
"In post","2022","Declared disabled","Tax","G7","210","200","56390","55210"
"In post","2022","Declared disabled","Tax","HEO","525","495","34400","33370"
"In post","2022","Declared disabled","Tax","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Tax","SEO","225","215","41150","40520"
"In post","2022","Declared disabled","Unknown","AA","175","160","22290","22140"
"In post","2022","Declared disabled","Unknown","AO","270","250","23290","22810"
"In post","2022","Declared disabled","Unknown","EO","505","485","28030","27500"
"In post","2022","Declared disabled","Unknown","G6","170","165","70020","69000"
"In post","2022","Declared disabled","Unknown","G7","415","405","55850","54700"
"In post","2022","Declared disabled","Unknown","HEO","570","560","34100","33370"
"In post","2022","Declared disabled","Unknown","SCS level","75","75","88380","78970"
"In post","2022","Declared disabled","Unknown","SEO","400","385","42520","40810"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AA","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AO","170","155","21970","21380"
"In post","2022","Declared non-disabled","Commercial","EO","570","540","26290","26350"
"In post","2022","Declared non-disabled","Commercial","G6","275","265","67800","66290"
"In post","2022","Declared non-disabled","Commercial","G7","535","515","53400","52300"
"In post","2022","Declared non-disabled","Commercial","HEO","1035","995","32600","33000"
"In post","2022","Declared non-disabled","Commercial","SCS level","70","70","88710","81130"
"In post","2022","Declared non-disabled","Commercial","SEO","1190","1155","40890","40580"
"In post","2022","Declared non-disabled","Commercial","Unknown","140","140","40260","38280"
"In post","2022","Declared non-disabled","Communications","AA","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","AO","120","110","22480","21830"
"In post","2022","Declared non-disabled","Communications","EO","340","325","27830","27360"
"In post","2022","Declared non-disabled","Communications","G6","190","180","67730","66560"
"In post","2022","Declared non-disabled","Communications","G7","490","470","55350","55030"
"In post","2022","Declared non-disabled","Communications","HEO","695","670","34340","33370"
"In post","2022","Declared non-disabled","Communications","SCS level","75","75","87450","81040"
"In post","2022","Declared non-disabled","Communications","SEO","700","675","41730","41050"
"In post","2022","Declared non-disabled","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","G7","30","30","53160","50210"
"In post","2022","Declared non-disabled","Corporate Finance","HEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","SEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AO","1120","960","22520","21260"
"In post","2022","Declared non-disabled","Counter Fraud","EO","2735","2450","28170","27570"
"In post","2022","Declared non-disabled","Counter Fraud","G6","35","35","70060","68950"
"In post","2022","Declared non-disabled","Counter Fraud","G7","80","75","55600","54860"
"In post","2022","Declared non-disabled","Counter Fraud","HEO","715","680","33970","33110"
"In post","2022","Declared non-disabled","Counter Fraud","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","SEO","240","230","40280","40000"
"In post","2022","Declared non-disabled","Digital, Data and Technology","AA","50","50","18840","17900"
"In post","2022","Declared non-disabled","Digital, Data and Technology","AO","370","355","22260","21580"
"In post","2022","Declared non-disabled","Digital, Data and Technology","EO","2170","2060","27690","27570"
"In post","2022","Declared non-disabled","Digital, Data and Technology","G6","890","880","68740","67910"
"In post","2022","Declared non-disabled","Digital, Data and Technology","G7","2870","2820","55340","54540"
"In post","2022","Declared non-disabled","Digital, Data and Technology","HEO","3050","2955","33770","33300"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SCS level","205","200","91170","85000"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SEO","3375","3295","41510","40580"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","AO","55","55","22100","21250"
"In post","2022","Declared non-disabled","Economics","EO","85","85","27110","27680"
"In post","2022","Declared non-disabled","Economics","G6","165","155","71110","69700"
"In post","2022","Declared non-disabled","Economics","G7","480","465","56410","55730"
"In post","2022","Declared non-disabled","Economics","HEO","430","430","34490","33880"
"In post","2022","Declared non-disabled","Economics","SCS level","75","70","92130","81390"
"In post","2022","Declared non-disabled","Economics","SEO","105","100","42200","42470"
"In post","2022","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AA","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AO","610","545","22030","21380"
"In post","2022","Declared non-disabled","Finance","EO","1620","1540","26980","26670"
"In post","2022","Declared non-disabled","Finance","G6","585","570","68080","67730"
"In post","2022","Declared non-disabled","Finance","G7","1385","1345","55380","54950"
"In post","2022","Declared non-disabled","Finance","HEO","2060","1990","33800","33300"
"In post","2022","Declared non-disabled","Finance","SCS level","250","245","88620","80680"
"In post","2022","Declared non-disabled","Finance","SEO","1995","1935","41530","40580"
"In post","2022","Declared non-disabled","Finance","Unknown","65","60","48680","41960"
"In post","2022","Declared non-disabled","Geography","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","AO","35","35","20690","20420"
"In post","2022","Declared non-disabled","Geography","EO","90","85","27460","26740"
"In post","2022","Declared non-disabled","Geography","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","HEO","125","115","33440","33290"
"In post","2022","Declared non-disabled","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","SEO","35","35","42620","42510"
"In post","2022","Declared non-disabled","Human Resources","AA","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Human Resources","AO","770","705","22040","21380"
"In post","2022","Declared non-disabled","Human Resources","EO","1090","1010","27250","26900"
"In post","2022","Declared non-disabled","Human Resources","G6","430","420","67190","67000"
"In post","2022","Declared non-disabled","Human Resources","G7","1060","1020","54340","54370"
"In post","2022","Declared non-disabled","Human Resources","HEO","1665","1585","33300","33170"
"In post","2022","Declared non-disabled","Human Resources","SCS level","160","155","86670","79480"
"In post","2022","Declared non-disabled","Human Resources","SEO","1200","1145","41070","40580"
"In post","2022","Declared non-disabled","Human Resources","Unknown","30","30","42740","41040"
"In post","2022","Declared non-disabled","Inspector of Education and Training","G6","150","145","81090","85550"
"In post","2022","Declared non-disabled","Inspector of Education and Training","G7","340","330","73150","75500"
"In post","2022","Declared non-disabled","Inspector of Education and Training","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Inspector of Education and Training","SEO","305","295","50190","51360"
"In post","2022","Declared non-disabled","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","AO","90","80","23480","21960"
"In post","2022","Declared non-disabled","Intelligence Analysis","EO","1145","1080","27630","27370"
"In post","2022","Declared non-disabled","Intelligence Analysis","G6","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","G7","140","140","57690","57460"
"In post","2022","Declared non-disabled","Intelligence Analysis","HEO","590","575","33890","33300"
"In post","2022","Declared non-disabled","Intelligence Analysis","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","SEO","305","300","42490","42170"
"In post","2022","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","EO","30","30","27580","26670"
"In post","2022","Declared non-disabled","Internal Audit","G6","50","50","66090","64220"
"In post","2022","Declared non-disabled","Internal Audit","G7","100","100","54010","54130"
"In post","2022","Declared non-disabled","Internal Audit","HEO","120","115","34080","33400"
"In post","2022","Declared non-disabled","Internal Audit","SCS level","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","SEO","235","220","43930","43250"
"In post","2022","Declared non-disabled","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","EO","55","55","27620","26820"
"In post","2022","Declared non-disabled","International Trade","G6","115","115","63930","62410"
"In post","2022","Declared non-disabled","International Trade","G7","255","250","53300","51970"
"In post","2022","Declared non-disabled","International Trade","HEO","180","180","33020","32120"
"In post","2022","Declared non-disabled","International Trade","SCS level","70","70","83240","75310"
"In post","2022","Declared non-disabled","International Trade","SEO","195","195","39200","38540"
"In post","2022","Declared non-disabled","Knowledge and Information Management","AA","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","AO","235","225","22460","21380"
"In post","2022","Declared non-disabled","Knowledge and Information Management","EO","420","395","27700","27570"
"In post","2022","Declared non-disabled","Knowledge and Information Management","G6","50","50","68030","67430"
"In post","2022","Declared non-disabled","Knowledge and Information Management","G7","170","165","54760","54270"
"In post","2022","Declared non-disabled","Knowledge and Information Management","HEO","460","440","33860","33300"
