"Status","Year","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Heterosexual / straight","1400","1330","27770","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","LGBO","115","110","25930","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Undeclared","210","200","29010","25810"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Unknown","190","175","26910","24920"
"In post","2022","Animal and Plant Health Agency","Other","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Heterosexual / straight","30","30","34140","30730"
"In post","2022","Animal and Plant Health Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Heterosexual / straight","410","390","32050","28270"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","LGBO","30","30","27980","24370"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Undeclared","70","65","36470","33510"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Unknown","60","55","29280","24370"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Heterosexual / straight","220","215","42660","38300"
"In post","2022","Animal and Plant Health Agency","Veterinarian","LGBO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Undeclared","55","55","46480","47550"
"In post","2022","Animal and Plant Health Agency","Veterinarian","Unknown","50","45","41350","37910"
"In post","2022","Attorney General's Office","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","Unknown","15","10","[c]","[c]"
"In post","2022","Attorney General's Office","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","Unknown","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","4640","4510","47770","40600"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","LGBO","510","505","44510","40600"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Undeclared","525","510","47990","42260"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","Unknown","4195","4155","46820","34550"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Unknown","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","Unknown","10","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","Unknown","10","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Heterosexual / straight","170","160","34160","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","LGBO","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Undeclared","30","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Unknown","260","250","34470","30220"
"In post","2022","Charity Commission","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Charity Commission","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","Unknown","30","30","[c]","[c]"
"In post","2022","Charity Commission","Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Charity Commission","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Charity Commission","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","Unknown","10","10","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","Heterosexual / straight","160","150","33010","29160"
"In post","2022","Charity Commission","Operational Delivery","LGBO","10","10","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","Undeclared","10","5","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","Unknown","110","105","28860","26860"
"In post","2022","Charity Commission","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","Unknown","10","5","[c]","[c]"
"In post","2022","Charity Commission","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Companies House","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Companies House","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Heterosexual / straight","110","100","25190","24500"
"In post","2022","Companies House","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Undeclared","15","15","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","Unknown","40","35","23960","22740"
"In post","2022","Companies House","Digital, Data and Technology","Heterosexual / straight","175","170","40230","38000"
"In post","2022","Companies House","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","Undeclared","30","25","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","Unknown","40","40","36920","36530"
"In post","2022","Companies House","Finance","Heterosexual / straight","50","45","32520","29060"
"In post","2022","Companies House","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","Undeclared","5","5","[c]","[c]"
"In post","2022","Companies House","Finance","Unknown","15","15","[c]","[c]"
"In post","2022","Companies House","Human Resources","Heterosexual / straight","50","45","37310","39820"
"In post","2022","Companies House","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","Heterosexual / straight","315","290","25520","22740"
"In post","2022","Companies House","Operational Delivery","LGBO","20","20","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","Undeclared","35","30","24770","22740"
"In post","2022","Companies House","Operational Delivery","Unknown","110","95","22970","22740"
"In post","2022","Companies House","Other","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Companies House","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Other","Unknown","5","5","[c]","[c]"
"In post","2022","Companies House","Policy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Companies House","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Companies House","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Companies House","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Companies House","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Corporate Finance","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","Heterosexual / straight","65","65","56660","56110"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Economics","Heterosexual / straight","80","75","65370","59140"
"In post","2022","Competition and Markets Authority","Economics","LGBO","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Economics","Undeclared","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Heterosexual / straight","35","35","49050","44120"
"In post","2022","Competition and Markets Authority","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Heterosexual / straight","120","115","68290","71370"
"In post","2022","Competition and Markets Authority","Legal","LGBO","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Undeclared","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Legal","Unknown","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Heterosexual / straight","305","295","61200","56630"
"In post","2022","Competition and Markets Authority","Project Delivery","LGBO","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Undeclared","30","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Heterosexual / straight","195","180","27990","25120"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","LGBO","15","15","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Undeclared","25","20","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Operational Delivery","Unknown","80","75","25770","25120"
"In post","2022","Crown Commercial Service","Commercial","Heterosexual / straight","250","245","35760","33810"
"In post","2022","Crown Commercial Service","Commercial","LGBO","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Undeclared","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Commercial","Unknown","70","65","35000","32200"
"In post","2022","Crown Commercial Service","Communications","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Heterosexual / straight","100","95","44980","41120"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Heterosexual / straight","30","30","49460","40000"
"In post","2022","Crown Commercial Service","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Heterosexual / straight","30","30","40810","34180"
"In post","2022","Crown Commercial Service","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
