"Status","Year","Age","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Male","35","35","17850","16720"
"In post","2022","20-29","Declared disabled","AA/AO","Female","960","915","22390","21260"
"In post","2022","20-29","Declared disabled","AA/AO","Male","735","725","22720","21260"
"In post","2022","20-29","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","EO","Female","1060","1040","27590","27570"
"In post","2022","20-29","Declared disabled","EO","Male","665","660","27200","27570"
"In post","2022","20-29","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","G6/G7","Female","210","205","53960","53380"
"In post","2022","20-29","Declared disabled","G6/G7","Male","130","130","54930","53610"
"In post","2022","20-29","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","SEO/HEO","Female","980","970","34580","33570"
"In post","2022","20-29","Declared disabled","SEO/HEO","Male","670","665","34950","33900"
"In post","2022","20-29","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Unknown","Female","300","300","25980","24090"
"In post","2022","20-29","Declared disabled","Unknown","Male","70","70","26520","26350"
"In post","2022","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","AA/AO","Female","8505","8190","22660","21260"
"In post","2022","20-29","Declared non-disabled","AA/AO","Male","7170","7085","23250","21680"
"In post","2022","20-29","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","EO","Female","8125","7990","27280","27500"
"In post","2022","20-29","Declared non-disabled","EO","Male","6070","6045","27140","27230"
"In post","2022","20-29","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","G6/G7","Female","1630","1625","54550","53420"
"In post","2022","20-29","Declared non-disabled","G6/G7","Male","1420","1415","55270","54270"
"In post","2022","20-29","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","SEO/HEO","Female","8110","8055","34930","33640"
"In post","2022","20-29","Declared non-disabled","SEO/HEO","Male","6830","6815","34900","33570"
"In post","2022","20-29","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared non-disabled","Unknown","Female","1950","1915","25980","24090"
"In post","2022","20-29","Declared non-disabled","Unknown","Male","570","565","26380","25750"
"In post","2022","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","AA/AO","Female","335","325","22540","21260"
"In post","2022","20-29","Undeclared","AA/AO","Male","360","355","23410","21300"
"In post","2022","20-29","Undeclared","EO","Female","325","320","27550","27570"
"In post","2022","20-29","Undeclared","EO","Male","320","320","27550","27570"
"In post","2022","20-29","Undeclared","G6/G7","Female","80","75","54320","53380"
"In post","2022","20-29","Undeclared","G6/G7","Male","105","105","54720","53500"
"In post","2022","20-29","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","SEO/HEO","Female","400","395","34740","33570"
"In post","2022","20-29","Undeclared","SEO/HEO","Male","410","410","35300","34250"
"In post","2022","20-29","Undeclared","Unknown","Female","65","65","25510","24090"
"In post","2022","20-29","Undeclared","Unknown","Male","35","35","28110","27990"
"In post","2022","20-29","Unknown","AA/AO","Female","4415","4245","22610","21640"
"In post","2022","20-29","Unknown","AA/AO","Male","4085","4025","23020","21680"
"In post","2022","20-29","Unknown","EO","Female","3660","3615","27720","27130"
"In post","2022","20-29","Unknown","EO","Male","2925","2915","27480","26820"
"In post","2022","20-29","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","G6/G7","Female","780","775","54900","53420"
"In post","2022","20-29","Unknown","G6/G7","Male","690","685","55670","54110"
"In post","2022","20-29","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","Female","4425","4405","34170","33080"
"In post","2022","20-29","Unknown","SEO/HEO","Male","3720","3710","34530","33370"
"In post","2022","20-29","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","Female","755","730","24690","24090"
"In post","2022","20-29","Unknown","Unknown","Male","505","500","27330","26110"
"In post","2022","30-39","Declared disabled","AA/AO","Female","1155","1000","22190","21260"
"In post","2022","30-39","Declared disabled","AA/AO","Male","1000","965","23380","21300"
"In post","2022","30-39","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","EO","Female","1345","1240","27690","27570"
"In post","2022","30-39","Declared disabled","EO","Male","930","920","27800","27570"
"In post","2022","30-39","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","G6/G7","Female","685","655","56840","54700"
"In post","2022","30-39","Declared disabled","G6/G7","Male","565","560","57140","55210"
"In post","2022","30-39","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","SCS level","Female","35","30","81200","74480"
"In post","2022","30-39","Declared disabled","SCS level","Male","35","35","79790","75740"
"In post","2022","30-39","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","SEO/HEO","Female","1460","1400","36380","35310"
"In post","2022","30-39","Declared disabled","SEO/HEO","Male","1080","1070","36500","35460"
"In post","2022","30-39","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared disabled","Unknown","Female","500","465","29080","28200"
"In post","2022","30-39","Declared disabled","Unknown","Male","125","120","30100","28450"
"In post","2022","30-39","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","AA/AO","Female","8785","7450","22490","21260"
"In post","2022","30-39","Declared non-disabled","AA/AO","Male","7560","7445","24270","21840"
"In post","2022","30-39","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","EO","Female","9890","8990","27440","27570"
"In post","2022","30-39","Declared non-disabled","EO","Male","7730","7675","27770","27570"
"In post","2022","30-39","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","G6/G7","Female","6325","6030","57080","54870"
"In post","2022","30-39","Declared non-disabled","G6/G7","Male","5995","5950","57390","55210"
"In post","2022","30-39","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","SCS level","Female","385","365","79450","75250"
"In post","2022","30-39","Declared non-disabled","SCS level","Male","355","350","80080","75580"
"In post","2022","30-39","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","SEO/HEO","Female","12280","11670","36570","35980"
"In post","2022","30-39","Declared non-disabled","SEO/HEO","Male","10950","10890","36910","36360"
"In post","2022","30-39","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Declared non-disabled","Unknown","Female","2325","2130","30190","30210"
"In post","2022","30-39","Declared non-disabled","Unknown","Male","810","800","32640","31420"
"In post","2022","30-39","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Undeclared","AA/AO","Female","615","520","22950","21260"
"In post","2022","30-39","Undeclared","AA/AO","Male","660","645","24590","21840"
"In post","2022","30-39","Undeclared","EO","Female","700","640","27950","27570"
"In post","2022","30-39","Undeclared","EO","Male","635","630","28670","27570"
"In post","2022","30-39","Undeclared","G6/G7","Female","360","350","57180","55210"
"In post","2022","30-39","Undeclared","G6/G7","Male","410","410","58100","55210"
"In post","2022","30-39","Undeclared","SCS level","Female","20","15","[c]","[c]"
"In post","2022","30-39","Undeclared","SCS level","Male","25","25","[c]","[c]"
"In post","2022","30-39","Undeclared","SEO/HEO","Female","730","700","36390","35900"
"In post","2022","30-39","Undeclared","SEO/HEO","Male","820","815","37480","37000"
"In post","2022","30-39","Undeclared","Unknown","Female","135","125","30260","28690"
"In post","2022","30-39","Undeclared","Unknown","Male","55","55","32520","32690"
"In post","2022","30-39","Unknown","AA/AO","Female","2785","2470","22540","21380"
"In post","2022","30-39","Unknown","AA/AO","Male","2810","2760","24240","21840"
"In post","2022","30-39","Unknown","EO","Female","2690","2535","28290","27230"
"In post","2022","30-39","Unknown","EO","Male","2725","2710","28550","27130"
"In post","2022","30-39","Unknown","G6/G7","Female","2205","2120","57440","54850"
"In post","2022","30-39","Unknown","G6/G7","Male","2075","2060","58380","55690"
"In post","2022","30-39","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","SCS level","Female","115","115","80970","75800"
"In post","2022","30-39","Unknown","SCS level","Male","110","105","80940","75570"
"In post","2022","30-39","Unknown","SEO/HEO","Female","3535","3380","36810","36500"
"In post","2022","30-39","Unknown","SEO/HEO","Male","3630","3610","36920","36650"
"In post","2022","30-39","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","Female","760","680","27610","24800"
"In post","2022","30-39","Unknown","Unknown","Male","615","610","34020","32530"
"In post","2022","40-49","Declared disabled","AA/AO","Female","1885","1560","22080","21260"
"In post","2022","40-49","Declared disabled","AA/AO","Male","1240","1180","23210","21260"
"In post","2022","40-49","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","EO","Female","2270","2015","27760","27570"
"In post","2022","40-49","Declared disabled","EO","Male","1340","1310","28210","27570"
"In post","2022","40-49","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","G6/G7","Female","895","850","58450","56600"
"In post","2022","40-49","Declared disabled","G6/G7","Male","650","640","59060","57490"
"In post","2022","40-49","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","SCS level","Female","95","90","84680","78010"
"In post","2022","40-49","Declared disabled","SCS level","Male","80","80","87800","80000"
"In post","2022","40-49","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","SEO/HEO","Female","1840","1740","36640","35320"
"In post","2022","40-49","Declared disabled","SEO/HEO","Male","1300","1290","37170","36700"
"In post","2022","40-49","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared disabled","Unknown","Female","690","640","32110","31420"
"In post","2022","40-49","Declared disabled","Unknown","Male","180","175","33290","32690"
"In post","2022","40-49","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","AA/AO","Female","10105","8425","22100","21260"
"In post","2022","40-49","Declared non-disabled","AA/AO","Male","6760","6620","24040","21680"
"In post","2022","40-49","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","EO","Female","11460","10160","27660","27570"
"In post","2022","40-49","Declared non-disabled","EO","Male","7820","7735","28020","27570"
"In post","2022","40-49","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","G6/G7","Female","7715","7180","59090","57460"
"In post","2022","40-49","Declared non-disabled","G6/G7","Male","7345","7280","59590","57680"
"In post","2022","40-49","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","SCS level","Female","1045","985","85340","78560"
"In post","2022","40-49","Declared non-disabled","SCS level","Male","1065","1055","88430","81890"
"In post","2022","40-49","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","SEO/HEO","Female","12300","11505","37550","36820"
"In post","2022","40-49","Declared non-disabled","SEO/HEO","Male","10385","10305","38060","37610"
"In post","2022","40-49","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Unknown","Female","2365","2145","33600","34340"
"In post","2022","40-49","Declared non-disabled","Unknown","Male","900","890","36600","36470"
"In post","2022","40-49","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","AA/AO","Female","870","735","23430","21680"
"In post","2022","40-49","Undeclared","AA/AO","Male","920","900","26020","22900"
"In post","2022","40-49","Undeclared","EO","Female","755","685","28110","27570"
"In post","2022","40-49","Undeclared","EO","Male","815","805","29040","27570"
"In post","2022","40-49","Undeclared","G6/G7","Female","365","345","59430","57460"
"In post","2022","40-49","Undeclared","G6/G7","Male","490","485","60100","57640"
"In post","2022","40-49","Undeclared","SCS level","Female","45","45","83790","80000"
"In post","2022","40-49","Undeclared","SCS level","Male","50","50","85180","81130"
"In post","2022","40-49","Undeclared","SEO/HEO","Female","865","825","38040","37020"
"In post","2022","40-49","Undeclared","SEO/HEO","Male","1040","1035","38310","37890"
"In post","2022","40-49","Undeclared","Unknown","Female","155","145","34110","37170"
"In post","2022","40-49","Undeclared","Unknown","Male","75","70","37280","35020"
"In post","2022","40-49","Unknown","AA/AO","Female","2220","1930","22340","21650"
"In post","2022","40-49","Unknown","AA/AO","Male","1820","1775","24230","21840"
"In post","2022","40-49","Unknown","EO","Female","1820","1675","28310","27230"
"In post","2022","40-49","Unknown","EO","Male","1640","1625","28740","27230"
"In post","2022","40-49","Unknown","G6/G7","Female","2010","1885","59790","57430"
"In post","2022","40-49","Unknown","G6/G7","Male","1925","1910","60380","58310"
"In post","2022","40-49","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","SCS level","Female","295","285","90120","83070"
"In post","2022","40-49","Unknown","SCS level","Male","280","280","95710","90870"
"In post","2022","40-49","Unknown","SEO/HEO","Female","2620","2465","37860","37640"
"In post","2022","40-49","Unknown","SEO/HEO","Male","2495","2475","38470","38160"
"In post","2022","40-49","Unknown","Unknown","Female","605","540","30470","28200"
"In post","2022","40-49","Unknown","Unknown","Male","570","555","38250","33650"
"In post","2022","50-59","Declared disabled","AA/AO","Female","3465","2950","21970","21260"
"In post","2022","50-59","Declared disabled","AA/AO","Male","2115","1990","23220","21260"
"In post","2022","50-59","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared disabled","EO","Female","3970","3535","27900","27570"
"In post","2022","50-59","Declared disabled","EO","Male","2195","2110","28580","27570"
"In post","2022","50-59","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared disabled","G6/G7","Female","1005","965","59150","56410"
"In post","2022","50-59","Declared disabled","G6/G7","Male","830","820","60470","58280"
"In post","2022","50-59","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared disabled","SCS level","Female","100","100","87880","80000"
"In post","2022","50-59","Declared disabled","SCS level","Male","105","105","97330","89570"
"In post","2022","50-59","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared disabled","SEO/HEO","Female","2515","2380","37150","36050"
"In post","2022","50-59","Declared disabled","SEO/HEO","Male","2015","1975","38500","37560"
"In post","2022","50-59","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared disabled","Unknown","Female","780","735","31990","28690"
"In post","2022","50-59","Declared disabled","Unknown","Male","305","300","34990","33380"
"In post","2022","50-59","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared non-disabled","AA/AO","Female","15035","12945","22010","21260"
"In post","2022","50-59","Declared non-disabled","AA/AO","Male","9575","9215","23970","21680"
"In post","2022","50-59","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared non-disabled","EO","Female","15685","14140","27870","27570"
"In post","2022","50-59","Declared non-disabled","EO","Male","10300","10010","28550","27570"
"In post","2022","50-59","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared non-disabled","G6/G7","Female","6340","6090","60040","57990"
"In post","2022","50-59","Declared non-disabled","G6/G7","Male","7800","7710","61020","59590"
"In post","2022","50-59","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared non-disabled","SCS level","Female","815","795","91010","83230"
"In post","2022","50-59","Declared non-disabled","SCS level","Male","1055","1045","95970","87240"
"In post","2022","50-59","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared non-disabled","SEO/HEO","Female","13305","12650","37390","36380"
"In post","2022","50-59","Declared non-disabled","SEO/HEO","Male","12720","12550","39010","38160"
"In post","2022","50-59","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Declared non-disabled","Unknown","Female","1945","1815","32110","28200"
"In post","2022","50-59","Declared non-disabled","Unknown","Male","1090","1050","37830","36580"
"In post","2022","50-59","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Undeclared","AA/AO","Female","1525","1345","23240","21830"
"In post","2022","50-59","Undeclared","AA/AO","Male","1870","1775","27070","26370"
"In post","2022","50-59","Undeclared","EO","Female","1120","1030","28060","27570"
"In post","2022","50-59","Undeclared","EO","Male","1310","1270","29780","28310"
"In post","2022","50-59","Undeclared","G6/G7","Female","350","340","59850","57990"
"In post","2022","50-59","Undeclared","G6/G7","Male","595","590","62000","60130"
"In post","2022","50-59","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Undeclared","SCS level","Female","40","40","83810","81430"
"In post","2022","50-59","Undeclared","SCS level","Male","55","50","93010","84850"
"In post","2022","50-59","Undeclared","SEO/HEO","Female","1065","1015","37670","36900"
"In post","2022","50-59","Undeclared","SEO/HEO","Male","1590","1560","39530","38160"
"In post","2022","50-59","Undeclared","Unknown","Female","165","155","32100","28860"
"In post","2022","50-59","Undeclared","Unknown","Male","115","110","36740","34230"
"In post","2022","50-59","Unknown","AA/AO","Female","2610","2240","22190","21830"
"In post","2022","50-59","Unknown","AA/AO","Male","2220","2115","23750","21840"
"In post","2022","50-59","Unknown","EO","Female","1780","1640","28630","27570"
"In post","2022","50-59","Unknown","EO","Male","2275","2175","30910","30450"
"In post","2022","50-59","Unknown","G6/G7","Female","1430","1375","61270","59870"
"In post","2022","50-59","Unknown","G6/G7","Male","1620","1605","62440","61000"
"In post","2022","50-59","Unknown","SCS level","Female","220","215","101660","95110"
"In post","2022","50-59","Unknown","SCS level","Male","250","245","108070","100980"
"In post","2022","50-59","Unknown","SEO/HEO","Female","1990","1895","38400","37930"
"In post","2022","50-59","Unknown","SEO/HEO","Male","2485","2440","39920","40210"
"In post","2022","50-59","Unknown","Unknown","Female","470","420","30190","28200"
"In post","2022","50-59","Unknown","Unknown","Male","830","800","38580","33620"
"In post","2022","60-64","Declared disabled","AA/AO","Female","1475","1130","21780","21260"
"In post","2022","60-64","Declared disabled","AA/AO","Male","880","750","22650","21260"
"In post","2022","60-64","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared disabled","EO","Female","1215","945","28010","27570"
"In post","2022","60-64","Declared disabled","EO","Male","695","570","28670","27570"
"In post","2022","60-64","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared disabled","G6/G7","Female","145","125","59920","57210"
"In post","2022","60-64","Declared disabled","G6/G7","Male","195","170","61610","60570"
"In post","2022","60-64","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared disabled","SCS level","Female","15","15","[c]","[c]"
"In post","2022","60-64","Declared disabled","SCS level","Male","20","20","[c]","[c]"
"In post","2022","60-64","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared disabled","SEO/HEO","Female","495","405","36950","35980"
"In post","2022","60-64","Declared disabled","SEO/HEO","Male","560","480","38830","37810"
"In post","2022","60-64","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared disabled","Unknown","Female","300","255","30470","28200"
"In post","2022","60-64","Declared disabled","Unknown","Male","135","120","34820","35270"
"In post","2022","60-64","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared non-disabled","AA/AO","Female","5870","4585","21810","21260"
"In post","2022","60-64","Declared non-disabled","AA/AO","Male","3555","3115","23010","21260"
"In post","2022","60-64","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared non-disabled","EO","Female","4540","3510","28040","27570"
"In post","2022","60-64","Declared non-disabled","EO","Male","3195","2685","28490","27570"
"In post","2022","60-64","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared non-disabled","G6/G7","Female","910","800","61310","60280"
"In post","2022","60-64","Declared non-disabled","G6/G7","Male","1575","1400","62120","60300"
"In post","2022","60-64","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared non-disabled","SCS level","Female","105","95","98780","93000"
"In post","2022","60-64","Declared non-disabled","SCS level","Male","190","180","102920","93000"
"In post","2022","60-64","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared non-disabled","SEO/HEO","Female","2595","2165","37350","36050"
"In post","2022","60-64","Declared non-disabled","SEO/HEO","Male","3385","2955","39250","38140"
"In post","2022","60-64","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Declared non-disabled","Unknown","Female","625","530","30080","28200"
"In post","2022","60-64","Declared non-disabled","Unknown","Male","380","340","36300","33700"
"In post","2022","60-64","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Undeclared","AA/AO","Female","585","470","22690","21680"
"In post","2022","60-64","Undeclared","AA/AO","Male","625","495","25530","22080"
"In post","2022","60-64","Undeclared","EO","Female","300","240","28230","27570"
"In post","2022","60-64","Undeclared","EO","Male","385","315","29140","27800"
"In post","2022","60-64","Undeclared","G6/G7","Female","55","45","61640","57570"
"In post","2022","60-64","Undeclared","G6/G7","Male","120","105","63130","61960"
"In post","2022","60-64","Undeclared","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Undeclared","SCS level","Male","15","15","[c]","[c]"
"In post","2022","60-64","Undeclared","SEO/HEO","Female","225","195","37080","36060"
"In post","2022","60-64","Undeclared","SEO/HEO","Male","390","340","38830","37890"
"In post","2022","60-64","Undeclared","Unknown","Female","35","35","32530","32710"
"In post","2022","60-64","Undeclared","Unknown","Male","45","40","35470","35800"
"In post","2022","60-64","Unknown","AA/AO","Female","995","765","22020","22010"
"In post","2022","60-64","Unknown","AA/AO","Male","795","700","22760","21530"
"In post","2022","60-64","Unknown","EO","Female","390","320","28610","28370"
"In post","2022","60-64","Unknown","EO","Male","575","465","30760","30450"
"In post","2022","60-64","Unknown","G6/G7","Female","180","160","60000","57330"
"In post","2022","60-64","Unknown","G6/G7","Male","305","285","63500","62120"
"In post","2022","60-64","Unknown","SCS level","Female","30","30","117710","109630"
"In post","2022","60-64","Unknown","SCS level","Male","50","50","113970","114000"
"In post","2022","60-64","Unknown","SEO/HEO","Female","380","325","38570","37930"
"In post","2022","60-64","Unknown","SEO/HEO","Male","615","525","40510","40290"
