"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","White","SEO/HEO","LGBO","1200","1170","35940","34770"
"In post","2022","Declared disabled","White","SEO/HEO","Undeclared","785","750","37000","35910"
"In post","2022","Declared disabled","White","SEO/HEO","Unknown","375","350","36290","35900"
"In post","2022","Declared disabled","White","Unknown","Heterosexual / straight","2340","2165","31050","28320"
"In post","2022","Declared disabled","White","Unknown","LGBO","280","270","29790","27060"
"In post","2022","Declared disabled","White","Unknown","Undeclared","155","145","31380","30210"
"In post","2022","Declared disabled","White","Unknown","Unknown","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","AA/AO","Heterosexual / straight","5500","4940","22640","21260"
"In post","2022","Declared non-disabled","Asian","AA/AO","LGBO","150","130","22910","21280"
"In post","2022","Declared non-disabled","Asian","AA/AO","Undeclared","460","395","22640","21680"
"In post","2022","Declared non-disabled","Asian","AA/AO","Unknown","695","560","22330","21260"
"In post","2022","Declared non-disabled","Asian","EO","Heterosexual / straight","7265","6875","28270","27570"
"In post","2022","Declared non-disabled","Asian","EO","LGBO","145","135","28200","27570"
"In post","2022","Declared non-disabled","Asian","EO","Undeclared","440","395","28540","28600"
"In post","2022","Declared non-disabled","Asian","EO","Unknown","715","625","28650","27570"
"In post","2022","Declared non-disabled","Asian","G6/G7","Heterosexual / straight","2555","2495","59050","57430"
"In post","2022","Declared non-disabled","Asian","G6/G7","LGBO","70","70","57270","55500"
"In post","2022","Declared non-disabled","Asian","G6/G7","Undeclared","105","105","57830","56350"
"In post","2022","Declared non-disabled","Asian","G6/G7","Unknown","175","160","59260","57880"
"In post","2022","Declared non-disabled","Asian","SCS level","Heterosexual / straight","215","210","89210","82500"
"In post","2022","Declared non-disabled","Asian","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","Heterosexual / straight","6370","6215","37260","36340"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","LGBO","130","125","37980","37610"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","Undeclared","315","305","37850","37110"
"In post","2022","Declared non-disabled","Asian","SEO/HEO","Unknown","355","340","37550","37290"
"In post","2022","Declared non-disabled","Asian","Unknown","Heterosexual / straight","585","545","29980","27980"
"In post","2022","Declared non-disabled","Asian","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Black","AA/AO","Heterosexual / straight","2735","2575","24470","23770"
"In post","2022","Declared non-disabled","Black","AA/AO","LGBO","50","50","24380","23740"
"In post","2022","Declared non-disabled","Black","AA/AO","Undeclared","150","135","24530","24310"
"In post","2022","Declared non-disabled","Black","AA/AO","Unknown","260","230","24390","23460"
"In post","2022","Declared non-disabled","Black","EO","Heterosexual / straight","3765","3635","29130","29080"
"In post","2022","Declared non-disabled","Black","EO","LGBO","80","80","28990","29120"
"In post","2022","Declared non-disabled","Black","EO","Undeclared","195","185","29320","29290"
"In post","2022","Declared non-disabled","Black","EO","Unknown","385","350","29960","31060"
"In post","2022","Declared non-disabled","Black","G6/G7","Heterosexual / straight","985","975","58060","56160"
"In post","2022","Declared non-disabled","Black","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Black","G6/G7","Undeclared","30","30","57710","56570"
"In post","2022","Declared non-disabled","Black","G6/G7","Unknown","60","60","57830","54770"
"In post","2022","Declared non-disabled","Black","SCS level","Heterosexual / straight","65","65","88140","80650"
"In post","2022","Declared non-disabled","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","SEO/HEO","Heterosexual / straight","3150","3105","37650","36830"
"In post","2022","Declared non-disabled","Black","SEO/HEO","LGBO","55","55","37840","36650"
"In post","2022","Declared non-disabled","Black","SEO/HEO","Undeclared","125","120","38110","37580"
"In post","2022","Declared non-disabled","Black","SEO/HEO","Unknown","145","140","38050","37610"
"In post","2022","Declared non-disabled","Black","Unknown","Heterosexual / straight","825","795","30980","28200"
"In post","2022","Declared non-disabled","Black","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","AA/AO","Heterosexual / straight","1195","1115","23710","21830"
"In post","2022","Declared non-disabled","Mixed","AA/AO","LGBO","105","105","23650","21680"
"In post","2022","Declared non-disabled","Mixed","AA/AO","Undeclared","80","70","23540","21840"
"In post","2022","Declared non-disabled","Mixed","AA/AO","Unknown","90","75","22870","21260"
"In post","2022","Declared non-disabled","Mixed","EO","Heterosexual / straight","1340","1280","28130","27570"
"In post","2022","Declared non-disabled","Mixed","EO","LGBO","100","100","28070","27570"
"In post","2022","Declared non-disabled","Mixed","EO","Undeclared","115","105","27990","27570"
"In post","2022","Declared non-disabled","Mixed","EO","Unknown","80","70","28200","27570"
"In post","2022","Declared non-disabled","Mixed","G6/G7","Heterosexual / straight","880","850","58610","57000"
"In post","2022","Declared non-disabled","Mixed","G6/G7","LGBO","95","90","57180","54940"
"In post","2022","Declared non-disabled","Mixed","G6/G7","Undeclared","60","55","58650","54870"
"In post","2022","Declared non-disabled","Mixed","G6/G7","Unknown","55","55","59570","59250"
"In post","2022","Declared non-disabled","Mixed","SCS level","Heterosexual / straight","90","85","85250","79160"
"In post","2022","Declared non-disabled","Mixed","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","Heterosexual / straight","1565","1530","37280","36620"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","LGBO","155","155","36660","36140"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","Undeclared","100","95","37850","37420"
"In post","2022","Declared non-disabled","Mixed","SEO/HEO","Unknown","100","100","35500","35310"
"In post","2022","Declared non-disabled","Mixed","Unknown","Heterosexual / straight","330","315","30650","28710"
"In post","2022","Declared non-disabled","Mixed","Unknown","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","Heterosexual / straight","330","310","23930","22460"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","AA/AO","Unknown","45","35","24100","22710"
"In post","2022","Declared non-disabled","Other ethnicity","EO","Heterosexual / straight","400","380","28430","27760"
"In post","2022","Declared non-disabled","Other ethnicity","EO","LGBO","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","EO","Undeclared","45","40","28870","28670"
"In post","2022","Declared non-disabled","Other ethnicity","EO","Unknown","45","40","29200","28590"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","Heterosexual / straight","225","215","59580","57870"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","LGBO","30","30","57780","55040"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","Undeclared","30","30","60280","57200"
"In post","2022","Declared non-disabled","Other ethnicity","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","Heterosexual / straight","450","440","37950","37420"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","Undeclared","40","40","39340","39650"
"In post","2022","Declared non-disabled","Other ethnicity","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Heterosexual / straight","65","60","30490","28690"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","Heterosexual / straight","555","505","23120","21830"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","LGBO","35","30","23580","21260"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","Undeclared","1010","915","22880","21380"
"In post","2022","Declared non-disabled","Undeclared","AA/AO","Unknown","660","535","21700","21260"
"In post","2022","Declared non-disabled","Undeclared","EO","Heterosexual / straight","640","600","28650","27570"
"In post","2022","Declared non-disabled","Undeclared","EO","LGBO","35","35","28650","27570"
"In post","2022","Declared non-disabled","Undeclared","EO","Undeclared","1240","1150","28110","27570"
"In post","2022","Declared non-disabled","Undeclared","EO","Unknown","800","690","28350","27570"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","Heterosexual / straight","255","250","59270","57600"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","Undeclared","690","665","60000","58030"
"In post","2022","Declared non-disabled","Undeclared","G6/G7","Unknown","280","270","54570","54080"
"In post","2022","Declared non-disabled","Undeclared","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","SCS level","Undeclared","35","35","90220","80260"
"In post","2022","Declared non-disabled","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","Heterosexual / straight","515","500","37260","36410"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","LGBO","35","35","37260","37150"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","Undeclared","1485","1420","38410","37910"
"In post","2022","Declared non-disabled","Undeclared","SEO/HEO","Unknown","505","470","37130","37160"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Heterosexual / straight","75","65","31170","30440"
"In post","2022","Declared non-disabled","Undeclared","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Undeclared","155","140","35410","34890"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","AA/AO","Heterosexual / straight","655","585","23510","21840"
"In post","2022","Declared non-disabled","Unknown","AA/AO","LGBO","30","30","23670","21970"
"In post","2022","Declared non-disabled","Unknown","AA/AO","Undeclared","120","105","22660","21680"
"In post","2022","Declared non-disabled","Unknown","AA/AO","Unknown","2350","2085","21960","21300"
"In post","2022","Declared non-disabled","Unknown","EO","Heterosexual / straight","440","415","28290","27570"
"In post","2022","Declared non-disabled","Unknown","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","EO","Undeclared","85","80","28190","27570"
"In post","2022","Declared non-disabled","Unknown","EO","Unknown","1785","1640","27740","27570"
"In post","2022","Declared non-disabled","Unknown","G6/G7","Heterosexual / straight","295","285","59820","57370"
"In post","2022","Declared non-disabled","Unknown","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","G6/G7","Undeclared","100","95","57070","55210"
"In post","2022","Declared non-disabled","Unknown","G6/G7","Unknown","665","640","58030","57060"
"In post","2022","Declared non-disabled","Unknown","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SCS level","Unknown","70","65","99670","88860"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","Heterosexual / straight","565","540","37310","36460"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","LGBO","30","30","38420","37460"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","Undeclared","175","165","38220","37420"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","Unknown","1375","1320","36520","35900"
"In post","2022","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","85","80","31930","32690"
"In post","2022","Declared non-disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","245","220","33380","36090"
