"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Economics","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","HEO","Heterosexual / straight","30","30","34750","34410"
"In post","2022","Declared disabled","Economics","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AO","Heterosexual / straight","90","80","22280","21790"
"In post","2022","Declared disabled","Finance","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","EO","Heterosexual / straight","185","175","26790","26670"
"In post","2022","Declared disabled","Finance","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Finance","EO","Undeclared","30","30","27060","26870"
"In post","2022","Declared disabled","Finance","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6","Heterosexual / straight","40","40","66960","66480"
"In post","2022","Declared disabled","Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","G7","Heterosexual / straight","135","130","55090","54540"
"In post","2022","Declared disabled","Finance","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","G7","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","HEO","Heterosexual / straight","235","225","33720","33300"
"In post","2022","Declared disabled","Finance","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","HEO","Undeclared","30","30","33690","33300"
"In post","2022","Declared disabled","Finance","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO","Heterosexual / straight","185","175","41070","40580"
"In post","2022","Declared disabled","Finance","SEO","LGBO","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AO","Heterosexual / straight","100","90","22220","21830"
"In post","2022","Declared disabled","Human Resources","AO","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AO","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Heterosexual / straight","155","140","27990","27570"
"In post","2022","Declared disabled","Human Resources","EO","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6","Heterosexual / straight","65","60","67800","67000"
"In post","2022","Declared disabled","Human Resources","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G7","Heterosexual / straight","170","165","53990","53620"
"In post","2022","Declared disabled","Human Resources","G7","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","HEO","Heterosexual / straight","260","250","33350","33160"
"In post","2022","Declared disabled","Human Resources","HEO","LGBO","50","50","32910","32250"
"In post","2022","Declared disabled","Human Resources","HEO","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO","Heterosexual / straight","210","200","41410","40580"
"In post","2022","Declared disabled","Human Resources","SEO","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
