"Status","Year","Function_of_post","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Heterosexual / straight","165","155","47100","40700"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Undeclared","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Policy","Unknown","45","40","45390","42480"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","Heterosexual / straight","35","30","35690","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Heterosexual / straight","145","140","45740","40310"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Statistics","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Heterosexual / straight","50","45","33660","25110"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Commercial","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Heterosexual / straight","60","55","48700","51990"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Economics","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
