"Status","Year","Disability","Ethnicity","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","White","London","London","5855","5610","44240","39000"
"In post","2022","Declared disabled","White","North East (England)","Outside London","3510","3105","28200","26820"
"In post","2022","Declared disabled","White","North West (England)","Outside London","6670","6035","29340","27570"
"In post","2022","Declared disabled","White","Northern Ireland","Outside London","320","300","29240","26820"
"In post","2022","Declared disabled","White","Overseas","Overseas","185","185","48400","51500"
"In post","2022","Declared disabled","White","Scotland","Outside London","4300","3935","31350","27570"
"In post","2022","Declared disabled","White","South East (England)","Outside London","4045","3710","30690","27570"
"In post","2022","Declared disabled","White","South West (England)","Outside London","4400","4070","32420","28420"
"In post","2022","Declared disabled","White","Unknown","Unknown","95","90","33070","27570"
"In post","2022","Declared disabled","White","Wales","Outside London","3515","3155","29390","26820"
"In post","2022","Declared disabled","White","West Midlands (England)","Outside London","3005","2735","30160","27570"
"In post","2022","Declared disabled","White","Yorkshire and The Humber","Outside London","3710","3360","30980","27570"
"In post","2022","Declared non-disabled","Asian","East Midlands (England)","Outside London","1530","1400","28320","26820"
"In post","2022","Declared non-disabled","Asian","East of England","Outside London","925","845","30400","27570"
"In post","2022","Declared non-disabled","Asian","London","London","11505","10905","38010","33400"
"In post","2022","Declared non-disabled","Asian","North East (England)","Outside London","475","440","29740","26820"
"In post","2022","Declared non-disabled","Asian","North West (England)","Outside London","2530","2355","28750","26820"
"In post","2022","Declared non-disabled","Asian","Northern Ireland","Outside London","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Overseas","Overseas","115","115","44590","38450"
"In post","2022","Declared non-disabled","Asian","Scotland","Outside London","565","535","32500","27570"
"In post","2022","Declared non-disabled","Asian","South East (England)","Outside London","1190","1100","30560","28350"
"In post","2022","Declared non-disabled","Asian","South West (England)","Outside London","725","690","34840","32010"
"In post","2022","Declared non-disabled","Asian","Unknown","Unknown","130","115","28650","27570"
"In post","2022","Declared non-disabled","Asian","Wales","Outside London","470","450","31100","26820"
"In post","2022","Declared non-disabled","Asian","West Midlands (England)","Outside London","3810","3570","28600","27130"
"In post","2022","Declared non-disabled","Asian","Yorkshire and The Humber","Outside London","2330","2160","28880","27570"
"In post","2022","Declared non-disabled","Black","East Midlands (England)","Outside London","470","445","28220","26780"
"In post","2022","Declared non-disabled","Black","East of England","Outside London","490","470","30560","29290"
"In post","2022","Declared non-disabled","Black","London","London","7985","7730","35210","31170"
"In post","2022","Declared non-disabled","Black","North East (England)","Outside London","140","130","28810","26820"
"In post","2022","Declared non-disabled","Black","North West (England)","Outside London","755","725","29230","27570"
"In post","2022","Declared non-disabled","Black","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Overseas","Overseas","50","50","43650","38570"
"In post","2022","Declared non-disabled","Black","Scotland","Outside London","250","240","30510","27230"
"In post","2022","Declared non-disabled","Black","South East (England)","Outside London","735","705","30870","29290"
"In post","2022","Declared non-disabled","Black","South West (England)","Outside London","465","450","32740","31350"
"In post","2022","Declared non-disabled","Black","Unknown","Unknown","45","45","33730","31060"
"In post","2022","Declared non-disabled","Black","Wales","Outside London","190","180","30150","27570"
"In post","2022","Declared non-disabled","Black","West Midlands (England)","Outside London","1075","1015","28580","27570"
"In post","2022","Declared non-disabled","Black","Yorkshire and The Humber","Outside London","480","460","29240","27570"
"In post","2022","Declared non-disabled","Mixed","East Midlands (England)","Outside London","290","270","30560","27120"
"In post","2022","Declared non-disabled","Mixed","East of England","Outside London","320","305","31190","28550"
"In post","2022","Declared non-disabled","Mixed","London","London","2620","2540","41850","37100"
"In post","2022","Declared non-disabled","Mixed","North East (England)","Outside London","185","170","29440","27130"
"In post","2022","Declared non-disabled","Mixed","North West (England)","Outside London","625","590","30570","26820"
"In post","2022","Declared non-disabled","Mixed","Northern Ireland","Outside London","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Overseas","Overseas","85","85","49450","49370"
"In post","2022","Declared non-disabled","Mixed","Scotland","Outside London","225","215","35370","28980"
"In post","2022","Declared non-disabled","Mixed","South East (England)","Outside London","540","520","31560","28330"
"In post","2022","Declared non-disabled","Mixed","South West (England)","Outside London","495","465","33520","29730"
"In post","2022","Declared non-disabled","Mixed","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Wales","Outside London","300","285","32040","27570"
"In post","2022","Declared non-disabled","Mixed","West Midlands (England)","Outside London","480","455","29790","27570"
"In post","2022","Declared non-disabled","Mixed","Yorkshire and The Humber","Outside London","405","380","31780","27570"
"In post","2022","Declared non-disabled","Other ethnicity","East Midlands (England)","Outside London","50","50","32430","27570"
"In post","2022","Declared non-disabled","Other ethnicity","East of England","Outside London","80","75","31010","27570"
"In post","2022","Declared non-disabled","Other ethnicity","London","London","945","905","40450","35050"
"In post","2022","Declared non-disabled","Other ethnicity","North East (England)","Outside London","35","30","32120","24090"
"In post","2022","Declared non-disabled","Other ethnicity","North West (England)","Outside London","125","115","30680","27570"
"In post","2022","Declared non-disabled","Other ethnicity","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Overseas","Overseas","30","30","47480","41350"
"In post","2022","Declared non-disabled","Other ethnicity","Scotland","Outside London","75","70","33670","27570"
"In post","2022","Declared non-disabled","Other ethnicity","South East (England)","Outside London","135","130","31690","28000"
"In post","2022","Declared non-disabled","Other ethnicity","South West (England)","Outside London","120","115","33020","29000"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Wales","Outside London","80","80","32640","29430"
"In post","2022","Declared non-disabled","Other ethnicity","West Midlands (England)","Outside London","125","120","30170","26610"
"In post","2022","Declared non-disabled","Other ethnicity","Yorkshire and The Humber","Outside London","85","80","33170","27570"
"In post","2022","Declared non-disabled","Undeclared","East Midlands (England)","Outside London","405","370","30040","27570"
"In post","2022","Declared non-disabled","Undeclared","East of England","Outside London","480","435","30350","28200"
"In post","2022","Declared non-disabled","Undeclared","London","London","2070","1955","40790","35200"
"In post","2022","Declared non-disabled","Undeclared","North East (England)","Outside London","415","380","29870","27130"
"In post","2022","Declared non-disabled","Undeclared","North West (England)","Outside London","970","875","30270","27570"
"In post","2022","Declared non-disabled","Undeclared","Northern Ireland","Outside London","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Overseas","Overseas","70","70","44280","39970"
"In post","2022","Declared non-disabled","Undeclared","Scotland","Outside London","615","565","32850","27570"
"In post","2022","Declared non-disabled","Undeclared","South East (England)","Outside London","1015","930","34290","30830"
"In post","2022","Declared non-disabled","Undeclared","South West (England)","Outside London","1125","1055","36580","35070"
"In post","2022","Declared non-disabled","Undeclared","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Wales","Outside London","525","480","31630","27570"
"In post","2022","Declared non-disabled","Undeclared","West Midlands (England)","Outside London","630","560","29290","27570"
"In post","2022","Declared non-disabled","Undeclared","Yorkshire and The Humber","Outside London","685","630","31260","27570"
"In post","2022","Declared non-disabled","Unknown","East Midlands (England)","Outside London","445","400","30590","27570"
"In post","2022","Declared non-disabled","Unknown","East of England","Outside London","405","370","31120","28100"
"In post","2022","Declared non-disabled","Unknown","London","London","1495","1425","43510","36650"
"In post","2022","Declared non-disabled","Unknown","North East (England)","Outside London","665","600","27910","24920"
"In post","2022","Declared non-disabled","Unknown","North West (England)","Outside London","1385","1270","28030","25700"
"In post","2022","Declared non-disabled","Unknown","Northern Ireland","Outside London","35","35","29650","28840"
"In post","2022","Declared non-disabled","Unknown","Overseas","Overseas","50","50","49100","52870"
"In post","2022","Declared non-disabled","Unknown","Scotland","Outside London","725","660","28690","23740"
"In post","2022","Declared non-disabled","Unknown","South East (England)","Outside London","785","725","32110","29230"
"In post","2022","Declared non-disabled","Unknown","South West (England)","Outside London","1110","1040","32300","29170"
"In post","2022","Declared non-disabled","Unknown","Unknown","Unknown","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Wales","Outside London","615","560","32550","27570"
"In post","2022","Declared non-disabled","Unknown","West Midlands (England)","Outside London","725","670","30140","27570"
"In post","2022","Declared non-disabled","Unknown","Yorkshire and The Humber","Outside London","700","645","32430","27570"
"In post","2022","Declared non-disabled","White","East Midlands (England)","Outside London","12080","11220","31440","27570"
"In post","2022","Declared non-disabled","White","East of England","Outside London","12830","11955","31390","28700"
"In post","2022","Declared non-disabled","White","London","London","40750","39240","48310","43560"
"In post","2022","Declared non-disabled","White","North East (England)","Outside London","20095","18255","30270","27570"
"In post","2022","Declared non-disabled","White","North West (England)","Outside London","36350","33685","30980","27570"
"In post","2022","Declared non-disabled","White","Northern Ireland","Outside London","2465","2340","30170","26820"
"In post","2022","Declared non-disabled","White","Overseas","Overseas","1950","1940","49660","49370"
"In post","2022","Declared non-disabled","White","Scotland","Outside London","26995","25245","33880","27570"
"In post","2022","Declared non-disabled","White","South East (England)","Outside London","24310","22675","32680","29260"
"In post","2022","Declared non-disabled","White","South West (England)","Outside London","29260","27525","35260","32010"
"In post","2022","Declared non-disabled","White","Unknown","Unknown","605","580","34320","30490"
"In post","2022","Declared non-disabled","White","Wales","Outside London","24130","22350","32590","27570"
"In post","2022","Declared non-disabled","White","West Midlands (England)","Outside London","15320","14210","32070","27570"
"In post","2022","Declared non-disabled","White","Yorkshire and The Humber","Outside London","21390","19735","32720","27570"
"In post","2022","Undeclared","Asian","East Midlands (England)","Outside London","75","65","29620","27570"
"In post","2022","Undeclared","Asian","East of England","Outside London","35","30","27800","27550"
"In post","2022","Undeclared","Asian","London","London","600","570","38230","33570"
"In post","2022","Undeclared","Asian","North East (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Undeclared","Asian","North West (England)","Outside London","155","145","29060","27570"
"In post","2022","Undeclared","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Scotland","Outside London","20","20","[c]","[c]"
"In post","2022","Undeclared","Asian","South East (England)","Outside London","80","70","30920","28130"
"In post","2022","Undeclared","Asian","South West (England)","Outside London","40","40","33850","31390"
"In post","2022","Undeclared","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Asian","Wales","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Asian","West Midlands (England)","Outside London","195","185","27480","27570"
"In post","2022","Undeclared","Asian","Yorkshire and The Humber","Outside London","120","110","28910","27570"
"In post","2022","Undeclared","Black","East Midlands (England)","Outside London","30","30","28380","27570"
"In post","2022","Undeclared","Black","East of England","Outside London","25","25","[c]","[c]"
"In post","2022","Undeclared","Black","London","London","500","475","34470","32000"
"In post","2022","Undeclared","Black","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","North West (England)","Outside London","35","30","28670","27570"
"In post","2022","Undeclared","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Black","South East (England)","Outside London","50","45","30780","29290"
"In post","2022","Undeclared","Black","South West (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Undeclared","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Black","Wales","Outside London","5","5","[c]","[c]"
"In post","2022","Undeclared","Black","West Midlands (England)","Outside London","60","60","30110","27570"
"In post","2022","Undeclared","Black","Yorkshire and The Humber","Outside London","25","25","[c]","[c]"
"In post","2022","Undeclared","Mixed","East Midlands (England)","Outside London","25","20","[c]","[c]"
"In post","2022","Undeclared","Mixed","East of England","Outside London","25","25","[c]","[c]"
"In post","2022","Undeclared","Mixed","London","London","160","150","41290","35090"
"In post","2022","Undeclared","Mixed","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Mixed","North West (England)","Outside London","45","45","27660","25640"
"In post","2022","Undeclared","Mixed","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Undeclared","Mixed","Scotland","Outside London","15","10","[c]","[c]"
"In post","2022","Undeclared","Mixed","South East (England)","Outside London","50","45","32090","29290"
"In post","2022","Undeclared","Mixed","South West (England)","Outside London","35","35","37120","36970"
"In post","2022","Undeclared","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Mixed","Wales","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Mixed","West Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Undeclared","Mixed","Yorkshire and The Humber","Outside London","25","25","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","East of England","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","London","London","50","45","38110","34500"
"In post","2022","Undeclared","Other ethnicity","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Wales","Outside London","10","10","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Other ethnicity","Yorkshire and The Humber","Outside London","10","5","[c]","[c]"
"In post","2022","Undeclared","Undeclared","East Midlands (England)","Outside London","350","330","33170","31650"
"In post","2022","Undeclared","Undeclared","East of England","Outside London","395","375","32830","31220"
"In post","2022","Undeclared","Undeclared","London","London","1545","1495","44910","40600"
"In post","2022","Undeclared","Undeclared","North East (England)","Outside London","445","410","32320","27570"
"In post","2022","Undeclared","Undeclared","North West (England)","Outside London","810","760","33710","30860"
"In post","2022","Undeclared","Undeclared","Northern Ireland","Outside London","45","45","30490","28920"
"In post","2022","Undeclared","Undeclared","Overseas","Overseas","75","75","46400","41900"
"In post","2022","Undeclared","Undeclared","Scotland","Outside London","400","370","34400","28760"
"In post","2022","Undeclared","Undeclared","South East (England)","Outside London","800","755","33590","31650"
"In post","2022","Undeclared","Undeclared","South West (England)","Outside London","795","760","37430","34400"
"In post","2022","Undeclared","Undeclared","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Undeclared","Undeclared","Wales","Outside London","460","435","34710","30900"
"In post","2022","Undeclared","Undeclared","West Midlands (England)","Outside London","410","380","33480","28920"
"In post","2022","Undeclared","Undeclared","Yorkshire and The Humber","Outside London","520","490","33150","30820"
"In post","2022","Undeclared","Unknown","East Midlands (England)","Outside London","75","65","29960","29700"
"In post","2022","Undeclared","Unknown","East of England","Outside London","60","55","31010","29290"
"In post","2022","Undeclared","Unknown","London","London","245","235","40500","36710"
"In post","2022","Undeclared","Unknown","North East (England)","Outside London","80","70","29280","27570"
"In post","2022","Undeclared","Unknown","North West (England)","Outside London","170","155","30500","28920"
"In post","2022","Undeclared","Unknown","Northern Ireland","Outside London","10","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","Overseas","Overseas","5","5","[c]","[c]"
"In post","2022","Undeclared","Unknown","Scotland","Outside London","45","40","31120","27570"
"In post","2022","Undeclared","Unknown","South East (England)","Outside London","110","100","33270","31650"
"In post","2022","Undeclared","Unknown","South West (England)","Outside London","105","95","32590","31650"
"In post","2022","Undeclared","Unknown","Wales","Outside London","55","50","29420","26260"
"In post","2022","Undeclared","Unknown","West Midlands (England)","Outside London","80","75","30450","27570"
"In post","2022","Undeclared","Unknown","Yorkshire and The Humber","Outside London","75","70","31360","28920"
"In post","2022","Undeclared","White","East Midlands (England)","Outside London","960","890","30150","27570"
"In post","2022","Undeclared","White","East of England","Outside London","1035","950","31280","30200"
"In post","2022","Undeclared","White","London","London","2245","2170","44880","40050"
"In post","2022","Undeclared","White","North East (England)","Outside London","1250","1130","30050","27570"
"In post","2022","Undeclared","White","North West (England)","Outside London","2265","2085","29790","27570"
"In post","2022","Undeclared","White","Northern Ireland","Outside London","160","155","29510","26820"
"In post","2022","Undeclared","White","Overseas","Overseas","65","65","46880","42130"
"In post","2022","Undeclared","White","Scotland","Outside London","1050","980","31100","27570"
"In post","2022","Undeclared","White","South East (England)","Outside London","1970","1820","31470","30700"
"In post","2022","Undeclared","White","South West (England)","Outside London","1600","1490","33520","31610"
"In post","2022","Undeclared","White","Unknown","Unknown","30","30","38130","30170"
"In post","2022","Undeclared","White","Wales","Outside London","1345","1230","29440","27480"
"In post","2022","Undeclared","White","West Midlands (England)","Outside London","1165","1080","30330","27570"
"In post","2022","Undeclared","White","Yorkshire and The Humber","Outside London","1475","1355","31740","30870"
"In post","2022","Unknown","Asian","East Midlands (England)","Outside London","125","115","30730","26850"
"In post","2022","Unknown","Asian","East of England","Outside London","90","90","44210","37000"
"In post","2022","Unknown","Asian","London","London","1305","1260","41650","37700"
"In post","2022","Unknown","Asian","North East (England)","Outside London","45","45","31690","27220"
"In post","2022","Unknown","Asian","North West (England)","Outside London","245","235","32120","29360"
"In post","2022","Unknown","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Asian","Overseas","Overseas","40","35","[c]","[c]"
"In post","2022","Unknown","Asian","Scotland","Outside London","90","85","34710","31390"
"In post","2022","Unknown","Asian","South East (England)","Outside London","150","140","32030","27570"
"In post","2022","Unknown","Asian","South West (England)","Outside London","65","65","38530","33370"
"In post","2022","Unknown","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Asian","Wales","Outside London","65","60","31230","26820"
"In post","2022","Unknown","Asian","West Midlands (England)","Outside London","375","360","32560","28840"
"In post","2022","Unknown","Asian","Yorkshire and The Humber","Outside London","235","225","30740","26820"
"In post","2022","Unknown","Black","East Midlands (England)","Outside London","35","30","31890","26820"
"In post","2022","Unknown","Black","East of England","Outside London","30","30","38270","29660"
"In post","2022","Unknown","Black","London","London","665","650","38660","35010"
"In post","2022","Unknown","Black","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Unknown","Black","North West (England)","Outside London","75","75","33670","30820"
"In post","2022","Unknown","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Overseas","Overseas","10","10","[c]","[c]"
"In post","2022","Unknown","Black","Scotland","Outside London","35","30","38240","35540"
"In post","2022","Unknown","Black","South East (England)","Outside London","50","45","29560","26820"
"In post","2022","Unknown","Black","South West (England)","Outside London","40","35","36010","33000"
"In post","2022","Unknown","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","Wales","Outside London","20","20","[c]","[c]"
"In post","2022","Unknown","Black","West Midlands (England)","Outside London","90","90","35330","28840"
"In post","2022","Unknown","Black","Yorkshire and The Humber","Outside London","50","45","33520","27240"
"In post","2022","Unknown","Mixed","East Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Unknown","Mixed","East of England","Outside London","30","30","33730","32540"
"In post","2022","Unknown","Mixed","London","London","325","315","43570","40050"
"In post","2022","Unknown","Mixed","North East (England)","Outside London","20","20","[c]","[c]"
"In post","2022","Unknown","Mixed","North West (England)","Outside London","50","50","31670","28200"
"In post","2022","Unknown","Mixed","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","Overseas","Overseas","15","15","[c]","[c]"
"In post","2022","Unknown","Mixed","Scotland","Outside London","40","35","37660","34460"
"In post","2022","Unknown","Mixed","South East (England)","Outside London","50","50","34560","31720"
"In post","2022","Unknown","Mixed","South West (England)","Outside London","45","45","34660","32540"
