"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Debt","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","West Midlands (England)","Female","120","105","21900","21250"
"In post","2022","Asian","Debt","West Midlands (England)","Male","75","70","22110","21250"
"In post","2022","Asian","Debt","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Yorkshire and The Humber","Female","100","80","22000","21260"
"In post","2022","Asian","Debt","Yorkshire and The Humber","Male","120","110","22280","21260"
"In post","2022","Asian","Debt","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East of England","Female","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East of England","Male","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","London","Female","265","260","44890","40730"
"In post","2022","Asian","Digital, Data & Technology","London","Male","360","360","46540","42050"
"In post","2022","Asian","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","North East (England)","Female","30","30","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","North East (England)","Male","55","55","44730","41340"
"In post","2022","Asian","Digital, Data & Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","North West (England)","Female","55","50","37220","33840"
"In post","2022","Asian","Digital, Data & Technology","North West (England)","Male","100","100","40640","36900"
"In post","2022","Asian","Digital, Data & Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","South East (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","South East (England)","Male","30","30","38520","35970"
"In post","2022","Asian","Digital, Data & Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","South West (England)","Female","40","35","37160","32870"
"In post","2022","Asian","Digital, Data & Technology","South West (England)","Male","50","50","34440","33000"
"In post","2022","Asian","Digital, Data & Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Wales","Female","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Wales","Male","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","West Midlands (England)","Female","55","55","39020","35900"
"In post","2022","Asian","Digital, Data & Technology","West Midlands (England)","Male","95","95","39560","36140"
"In post","2022","Asian","Digital, Data & Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Yorkshire and The Humber","Female","45","45","38560","35900"
"In post","2022","Asian","Digital, Data & Technology","Yorkshire and The Humber","Male","80","80","39360","33370"
"In post","2022","Asian","Digital, Data & Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Female","10","10","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Male","10","10","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Female","260","250","42970","39960"
"In post","2022","Asian","Finance","London","Male","280","275","45170","42110"
"In post","2022","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Female","35","35","35360","31990"
"In post","2022","Asian","Finance","North West (England)","Male","40","40","37180","33220"
"In post","2022","Asian","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Male","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Wales","Male","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","West Midlands (England)","Female","90","85","33010","30190"
"In post","2022","Asian","Finance","West Midlands (England)","Male","90","90","35780","32430"
"In post","2022","Asian","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Yorkshire and The Humber","Female","85","75","29090","26820"
"In post","2022","Asian","Finance","Yorkshire and The Humber","Male","80","75","33750","29360"
"In post","2022","Asian","Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","South East (England)","Female","15","10","[c]","[c]"
"In post","2022","Asian","Grants Management","South East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Grants Management","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Female","35","30","35770","33370"
"In post","2022","Asian","Human Resources","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Female","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Female","255","250","40780","36650"
"In post","2022","Asian","Human Resources","London","Male","90","90","40450","34260"
"In post","2022","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Female","40","40","33850","32010"
"In post","2022","Asian","Human Resources","North West (England)","Male","35","35","30610","27570"
