"Status","Year","Ethnicity","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Counter Fraud","London","Undeclared","35","30","28860","25110"
"In post","2022","Asian","Counter Fraud","London","Unknown","120","105","31550","31020"
"In post","2022","Asian","Counter Fraud","Outside London","Heterosexual / straight","565","535","29640","27570"
"In post","2022","Asian","Counter Fraud","Outside London","LGBO","10","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Outside London","Undeclared","30","25","28940","27570"
"In post","2022","Asian","Counter Fraud","Outside London","Unknown","100","95","29180","27570"
"In post","2022","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","London","Heterosexual / straight","65","55","27360","26400"
"In post","2022","Asian","Debt","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Debt","London","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Debt","London","Unknown","40","35","30310","26400"
"In post","2022","Asian","Debt","Outside London","Heterosexual / straight","450","400","22260","21250"
"In post","2022","Asian","Debt","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Debt","Outside London","Undeclared","35","30","22150","21250"
"In post","2022","Asian","Debt","Outside London","Unknown","95","80","23000","21260"
"In post","2022","Asian","Debt","Unknown","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Debt","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","London","Heterosexual / straight","515","505","46030","41750"
"In post","2022","Asian","Digital, Data & Technology","London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","London","Undeclared","30","30","43770","41140"
"In post","2022","Asian","Digital, Data & Technology","London","Unknown","60","60","45920","40860"
"In post","2022","Asian","Digital, Data & Technology","Outside London","Heterosexual / straight","650","645","38780","35900"
"In post","2022","Asian","Digital, Data & Technology","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Outside London","Undeclared","45","45","39710","36500"
"In post","2022","Asian","Digital, Data & Technology","Outside London","Unknown","60","55","38160","36600"
"In post","2022","Asian","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Heterosexual / straight","455","450","44100","40940"
"In post","2022","Asian","Finance","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Finance","London","Undeclared","30","30","43110","39820"
"In post","2022","Asian","Finance","London","Unknown","40","40","44660","40230"
"In post","2022","Asian","Finance","Outside London","Heterosexual / straight","490","470","34750","31990"
"In post","2022","Asian","Finance","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Asian","Finance","Outside London","Unknown","75","70","31750","28460"
"In post","2022","Asian","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Outside London","Heterosexual / straight","30","30","25090","21300"
"In post","2022","Asian","Grants Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Heterosexual / straight","310","300","40710","36650"
"In post","2022","Asian","Human Resources","London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Heterosexual / straight","270","260","33250","30670"
"In post","2022","Asian","Human Resources","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Heterosexual / straight","40","40","49590","50500"
"In post","2022","Asian","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Heterosexual / straight","35","35","44590","39960"
"In post","2022","Asian","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","London","Heterosexual / straight","575","545","46310","50500"
"In post","2022","Asian","Legal","London","LGBO","25","20","[c]","[c]"
"In post","2022","Asian","Legal","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Asian","Legal","London","Unknown","75","65","46490","50760"
"In post","2022","Asian","Legal","Outside London","Heterosexual / straight","400","380","40270","39350"
"In post","2022","Asian","Legal","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2022","Asian","Legal","Outside London","Unknown","70","60","39650","30700"
"In post","2022","Asian","Legal","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","London","Heterosexual / straight","5520","5265","37030","32260"
"In post","2022","Asian","No function","London","LGBO","180","170","38690","33550"
"In post","2022","Asian","No function","London","Undeclared","395","360","36110","31880"
"In post","2022","Asian","No function","London","Unknown","650","585","36960","31090"
"In post","2022","Asian","No function","Outside London","Heterosexual / straight","8990","8345","28120","27570"
"In post","2022","Asian","No function","Outside London","LGBO","215","200","26860","25450"
"In post","2022","Asian","No function","Outside London","Undeclared","555","495","26940","25310"
"In post","2022","Asian","No function","Outside London","Unknown","1260","1080","27980","26820"
"In post","2022","Asian","No function","Overseas","Heterosexual / straight","70","70","46450","38770"
"In post","2022","Asian","No function","Overseas","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","No function","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Heterosexual / straight","80","75","31000","30330"
"In post","2022","Asian","No function","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","No function","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Heterosexual / straight","450","435","46970","42770"
"In post","2022","Asian","Project Delivery","London","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","London","Unknown","75","65","44430","40910"
"In post","2022","Asian","Project Delivery","Outside London","Heterosexual / straight","590","575","38190","34950"
"In post","2022","Asian","Project Delivery","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Project Delivery","Outside London","Unknown","55","55","37310","33650"
"In post","2022","Asian","Project Delivery","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","London","Heterosexual / straight","205","195","36990","34260"
"In post","2022","Asian","Property","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Property","London","Undeclared","20","15","[c]","[c]"
"In post","2022","Asian","Property","London","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Heterosexual / straight","175","170","37000","32890"
"In post","2022","Asian","Property","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Property","Outside London","Unknown","20","15","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","London","Heterosexual / straight","150","145","38070","34640"
"In post","2022","Asian","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Security","London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Security","Outside London","Heterosexual / straight","120","120","28820","26350"
"In post","2022","Asian","Security","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Security","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Security","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Security","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","London","Heterosexual / straight","2960","2785","34960","29620"
"In post","2022","Asian","Unknown","London","LGBO","35","30","35910","35050"
"In post","2022","Asian","Unknown","London","Undeclared","285","260","32010","29080"
"In post","2022","Asian","Unknown","London","Unknown","35","35","38340","35050"
"In post","2022","Asian","Unknown","Outside London","Heterosexual / straight","1825","1700","28970","25120"
"In post","2022","Asian","Unknown","Outside London","LGBO","30","30","28980","25310"
"In post","2022","Asian","Unknown","Outside London","Undeclared","125","115","27630","24890"
"In post","2022","Asian","Unknown","Outside London","Unknown","50","50","29890","26350"
"In post","2022","Asian","Unknown","Overseas","Heterosexual / straight","45","45","[c]","[c]"
"In post","2022","Asian","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","London","Heterosexual / straight","125","125","40630","37930"
"In post","2022","Black","Analysis","London","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Analysis","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Analysis","London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Outside London","Heterosexual / straight","45","45","35800","32290"
"In post","2022","Black","Analysis","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","London","Heterosexual / straight","80","80","44740","41200"
"In post","2022","Black","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Outside London","Heterosexual / straight","55","55","33940","33650"
"In post","2022","Black","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","London","Heterosexual / straight","90","90","38720","35010"
"In post","2022","Black","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Communications","Outside London","Heterosexual / straight","115","115","28400","26820"
"In post","2022","Black","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Black","Communications","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","London","Heterosexual / straight","315","300","32230","31060"
"In post","2022","Black","Counter Fraud","London","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Counter Fraud","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Black","Counter Fraud","London","Unknown","80","75","32100","31090"
"In post","2022","Black","Counter Fraud","Outside London","Heterosexual / straight","155","145","28680","27570"
"In post","2022","Black","Counter Fraud","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Outside London","Undeclared","15","10","[c]","[c]"
"In post","2022","Black","Counter Fraud","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Black","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","London","Heterosexual / straight","55","50","28800","26400"
"In post","2022","Black","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","London","Unknown","30","25","[c]","[c]"
"In post","2022","Black","Debt","Outside London","Heterosexual / straight","90","85","22090","21250"
"In post","2022","Black","Debt","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2022","Black","Debt","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","London","Heterosexual / straight","285","285","42180","40170"
"In post","2022","Black","Digital, Data & Technology","London","LGBO","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","London","Unknown","25","25","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Outside London","Heterosexual / straight","270","265","37000","34230"
"In post","2022","Black","Digital, Data & Technology","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","London","Heterosexual / straight","260","255","41670","38470"
"In post","2022","Black","Finance","London","LGBO","5","5","[c]","[c]"
"In post","2022","Black","Finance","London","Undeclared","15","10","[c]","[c]"
"In post","2022","Black","Finance","London","Unknown","15","15","[c]","[c]"
"In post","2022","Black","Finance","Outside London","Heterosexual / straight","140","140","35320","33330"
"In post","2022","Black","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
