"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Female","90","85","41150","38160"
"In post","2022","Asian","Communications","London","Male","55","55","41780","40440"
"In post","2022","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Communications","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","Female","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Male","10","10","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Female","15","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Female","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Female","205","170","27800","25110"
"In post","2022","Asian","Counter Fraud","London","Male","120","120","31730","31060"
"In post","2022","Asian","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Female","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Female","15","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Male","25","25","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Female","35","25","26750","27570"
"In post","2022","Asian","Counter Fraud","South East (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Female","50","50","27030","27570"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Male","35","35","26400","27570"
"In post","2022","Asian","Counter Fraud","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","Female","25","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","Male","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","Female","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","Male","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","Female","260","255","47060","41970"
"In post","2022","Asian","Digital, Data and Technology","London","Male","405","400","47140","43430"
"In post","2022","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North East (England)","Female","30","30","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North East (England)","Male","50","50","44850","41340"
"In post","2022","Asian","Digital, Data and Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Female","55","55","38110","35070"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Male","105","105","40860","36780"
"In post","2022","Asian","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Female","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Male","30","30","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Female","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Male","45","45","34940","31870"
"In post","2022","Asian","Digital, Data and Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Wales","Female","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Wales","Male","30","30","35920","36840"
"In post","2022","Asian","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","West Midlands (England)","Female","60","60","40010","36070"
"In post","2022","Asian","Digital, Data and Technology","West Midlands (England)","Male","80","80","39220","36370"
"In post","2022","Asian","Digital, Data and Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","Female","40","40","38610","36500"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","Male","75","75","41210","37700"
"In post","2022","Asian","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","Female","80","75","43110","38020"
"In post","2022","Asian","Economics","London","Male","110","110","47340","43800"
"In post","2022","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","North West (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Economics","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Wales","Female","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Wales","Male","5","5","[c]","[c]"
"In post","2022","Asian","Economics","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Female","15","15","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2022","Asian","Finance","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Female","15","15","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Male","15","15","[c]","[c]"
"In post","2022","Asian","Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","Female","265","255","43050","40050"
"In post","2022","Asian","Finance","London","Male","265","260","45330","42180"
"In post","2022","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Female","25","20","[c]","[c]"
"In post","2022","Asian","Finance","North West (England)","Male","35","35","36460","31990"
"In post","2022","Asian","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Female","25","25","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Male","25","25","[c]","[c]"
"In post","2022","Asian","Finance","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Female","25","25","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Male","25","25","[c]","[c]"
"In post","2022","Asian","Finance","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Wales","Female","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Wales","Male","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","West Midlands (England)","Female","60","60","34230","29360"
"In post","2022","Asian","Finance","West Midlands (England)","Male","70","70","36860","35820"
"In post","2022","Asian","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Yorkshire and The Humber","Female","40","35","33480","30450"
"In post","2022","Asian","Finance","Yorkshire and The Humber","Male","40","40","38250","34400"
"In post","2022","Asian","Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Female","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","Female","245","235","41040","36830"
"In post","2022","Asian","Human Resources","London","Male","90","90","40460","35070"
"In post","2022","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Female","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Male","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","South East (England)","Female","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","South East (England)","Male","5","5","[c]","[c]"
