"Status","Year","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Human Resources","45","45","39920","39960"
"In post","2022","Declared disabled","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Intelligence Analysis","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","International Trade","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal","50","50","49300","52040"
"In post","2022","Declared disabled","Black","Medicine","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Operational Delivery","1265","1185","29940","28930"
"In post","2022","Declared disabled","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Other","95","90","29630","29540"
"In post","2022","Declared disabled","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Policy","165","160","38930","35070"
"In post","2022","Declared disabled","Black","Project Delivery","55","50","37730","34060"
"In post","2022","Declared disabled","Black","Property","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Science and Engineering","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Security","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Statistics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Tax","55","50","34490","33440"
"In post","2022","Declared disabled","Black","Unknown","70","70","40480","37300"
"In post","2022","Declared disabled","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Commercial","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Communications","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Counter Fraud","25","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Digital, Data and Technology","30","30","45210","49290"
"In post","2022","Declared disabled","Mixed","Economics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Finance","25","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Human Resources","45","40","43680","40250"
"In post","2022","Declared disabled","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Legal","40","35","53570","55190"
"In post","2022","Declared disabled","Mixed","Medicine","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Operational Delivery","750","690","28920","27570"
"In post","2022","Declared disabled","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Other","75","70","28480","26250"
"In post","2022","Declared disabled","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Policy","135","125","41980","39710"
"In post","2022","Declared disabled","Mixed","Project Delivery","30","30","40670","37610"
"In post","2022","Declared disabled","Mixed","Property","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Science and Engineering","15","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Security","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Statistics","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Tax","35","35","32050","28920"
"In post","2022","Declared disabled","Mixed","Unknown","90","90","39820","34550"
"In post","2022","Declared disabled","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Counter Fraud","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Finance","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Legal","10","10","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Operational Delivery","200","185","30790","29790"
"In post","2022","Declared disabled","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Other","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Policy","50","45","43580","39320"
"In post","2022","Declared disabled","Other ethnicity","Project Delivery","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Property","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Science and Engineering","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Tax","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Commercial","25","25","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Counter Fraud","50","45","28310","27570"
"In post","2022","Declared disabled","Undeclared","Digital, Data and Technology","70","70","40910","37630"
"In post","2022","Declared disabled","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Finance","50","50","38240","33300"
"In post","2022","Declared disabled","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Human Resources","35","35","36070","33360"
"In post","2022","Declared disabled","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Intelligence Analysis","10","10","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Knowledge and Information Management","25","20","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Legal","35","30","50660","52390"
"In post","2022","Declared disabled","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Operational Delivery","1200","1080","28170","27570"
"In post","2022","Declared disabled","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Other","155","140","28820","26790"
"In post","2022","Declared disabled","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Policy","90","85","45930","40370"
"In post","2022","Declared disabled","Undeclared","Project Delivery","65","60","40570","39980"
"In post","2022","Declared disabled","Undeclared","Property","45","40","39380","33500"
"In post","2022","Declared disabled","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Science and Engineering","65","65","40060","40900"
"In post","2022","Declared disabled","Undeclared","Security","30","30","36780","39070"
"In post","2022","Declared disabled","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Undeclared","Tax","55","50","37480","33370"
"In post","2022","Declared disabled","Undeclared","Unknown","65","60","42390","39720"
"In post","2022","Declared disabled","Undeclared","Veterinarian","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Commercial","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Communications","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Counter Fraud","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Digital, Data and Technology","45","45","41250","37450"
"In post","2022","Declared disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Finance","30","30","44110","38130"
"In post","2022","Declared disabled","Unknown","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Human Resources","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Intelligence Analysis","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","International Trade","15","15","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Legal","35","35","45670","48830"
"In post","2022","Declared disabled","Unknown","Medicine","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Operational Delivery","715","630","28410","26880"
"In post","2022","Declared disabled","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Other","80","75","30940","27570"
"In post","2022","Declared disabled","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Policy","50","50","44620","41580"
"In post","2022","Declared disabled","Unknown","Project Delivery","40","35","39080","35010"
"In post","2022","Declared disabled","Unknown","Property","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Psychology","5","5","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Science and Engineering","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Security","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Statistics","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Tax","50","45","41110","37770"
"In post","2022","Declared disabled","Unknown","Unknown","65","60","36280","33070"
"In post","2022","Declared disabled","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","White","Commercial","480","460","38110","36510"
"In post","2022","Declared disabled","White","Communications","260","250","38780","36460"
"In post","2022","Declared disabled","White","Corporate Finance","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","Counter Fraud","770","680","28240","27570"
"In post","2022","Declared disabled","White","Digital, Data and Technology","1445","1385","39740","36160"
"In post","2022","Declared disabled","White","Economics","85","85","47420","43110"
"In post","2022","Declared disabled","White","Finance","910","860","38010","33370"
"In post","2022","Declared disabled","White","Geography","25","20","[c]","[c]"
"In post","2022","Declared disabled","White","Human Resources","1050","995","39860","35270"
"In post","2022","Declared disabled","White","Inspector of Education and Training","60","60","64410","64500"
"In post","2022","Declared disabled","White","Intelligence Analysis","240","225","32630","30500"
"In post","2022","Declared disabled","White","Internal Audit","75","70","44880","39980"
"In post","2022","Declared disabled","White","International Trade","85","85","48950","51710"
"In post","2022","Declared disabled","White","Knowledge and Information Management","245","235","35350","32550"
"In post","2022","Declared disabled","White","Legal","805","745","48930","50500"
"In post","2022","Declared disabled","White","Medicine","95","90","55650","42120"
"In post","2022","Declared disabled","White","Operational Delivery","25375","22675","27700","27130"
"In post","2022","Declared disabled","White","Operational Research","85","75","43450","41750"
"In post","2022","Declared disabled","White","Other","2755","2545","28230","26670"
"In post","2022","Declared disabled","White","Planning","20","20","[c]","[c]"
"In post","2022","Declared disabled","White","Planning Inspectors","10","10","[c]","[c]"
"In post","2022","Declared disabled","White","Policy","2380","2300","46060","41200"
"In post","2022","Declared disabled","White","Project Delivery","1225","1160","41170","39100"
"In post","2022","Declared disabled","White","Property","490","465","36520","33300"
"In post","2022","Declared disabled","White","Psychology","105","105","31830","29750"
"In post","2022","Declared disabled","White","Science and Engineering","875","835","36620","34000"
"In post","2022","Declared disabled","White","Security","585","565","32230","29370"
"In post","2022","Declared disabled","White","Social Research","120","115","41100","38720"
"In post","2022","Declared disabled","White","Statistics","195","190","41980","38340"
"In post","2022","Declared disabled","White","Tax","1245","1160","36610","33370"
"In post","2022","Declared disabled","White","Unknown","2125","2040","39800","34550"
"In post","2022","Declared disabled","White","Veterinarian","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Commercial","220","215","38520","36500"
"In post","2022","Declared non-disabled","Asian","Communications","130","125","40490","38410"
"In post","2022","Declared non-disabled","Asian","Corporate Finance","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Counter Fraud","515","460","28160","27570"
"In post","2022","Declared non-disabled","Asian","Digital, Data and Technology","1040","1030","43330","40220"
"In post","2022","Declared non-disabled","Asian","Economics","175","175","43290","38020"
"In post","2022","Declared non-disabled","Asian","Finance","765","750","40930","37100"
"In post","2022","Declared non-disabled","Asian","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Human Resources","400","385","38290","34770"
"In post","2022","Declared non-disabled","Asian","Inspector of Education and Training","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Intelligence Analysis","175","165","31750","29080"
"In post","2022","Declared non-disabled","Asian","Internal Audit","65","65","44930","43300"
"In post","2022","Declared non-disabled","Asian","International Trade","90","90","44430","38540"
"In post","2022","Declared non-disabled","Asian","Knowledge and Information Management","95","90","34920","33210"
"In post","2022","Declared non-disabled","Asian","Legal","810","765","48840","50500"
"In post","2022","Declared non-disabled","Asian","Medicine","120","105","65550","65920"
"In post","2022","Declared non-disabled","Asian","Operational Delivery","13855","12680","28110","27570"
"In post","2022","Declared non-disabled","Asian","Operational Research","45","45","45190","41090"
"In post","2022","Declared non-disabled","Asian","Other","1320","1235","30110","27570"
"In post","2022","Declared non-disabled","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Asian","Policy","1810","1770","44240","40050"
"In post","2022","Declared non-disabled","Asian","Project Delivery","745","720","41260","37970"
"In post","2022","Declared non-disabled","Asian","Property","255","240","37610","34260"
"In post","2022","Declared non-disabled","Asian","Psychology","35","35","34890","31180"
"In post","2022","Declared non-disabled","Asian","Science and Engineering","460","445","37520","35610"
"In post","2022","Declared non-disabled","Asian","Security","260","255","31730","28760"
"In post","2022","Declared non-disabled","Asian","Social Research","40","40","43170","38360"
"In post","2022","Declared non-disabled","Asian","Statistics","140","135","42720","40220"
"In post","2022","Declared non-disabled","Asian","Tax","1560","1505","33200","33080"
"In post","2022","Declared non-disabled","Asian","Unknown","1130","1105","38970","34550"
"In post","2022","Declared non-disabled","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Commercial","140","140","37190","34770"
"In post","2022","Declared non-disabled","Black","Communications","75","75","38790","35010"
"In post","2022","Declared non-disabled","Black","Corporate Finance","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Counter Fraud","240","225","29030","27570"
"In post","2022","Declared non-disabled","Black","Digital, Data and Technology","470","465","39940","36920"
"In post","2022","Declared non-disabled","Black","Economics","45","45","41250","35070"
"In post","2022","Declared non-disabled","Black","Finance","360","355","40300","37930"
"In post","2022","Declared non-disabled","Black","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Human Resources","260","255","36310","34100"
"In post","2022","Declared non-disabled","Black","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Intelligence Analysis","40","40","31940","30200"
"In post","2022","Declared non-disabled","Black","Internal Audit","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Black","International Trade","50","45","42950","38540"
"In post","2022","Declared non-disabled","Black","Knowledge and Information Management","50","45","32770","30660"
"In post","2022","Declared non-disabled","Black","Legal","365","360","49600","50500"
"In post","2022","Declared non-disabled","Black","Medicine","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Operational Delivery","7425","7050","29390","28350"
"In post","2022","Declared non-disabled","Black","Operational Research","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Other","635","620","30250","29230"
"In post","2022","Declared non-disabled","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Policy","945","935","40430","36710"
"In post","2022","Declared non-disabled","Black","Project Delivery","455","445","40230","37830"
"In post","2022","Declared non-disabled","Black","Property","125","120","37460","34410"
"In post","2022","Declared non-disabled","Black","Psychology","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Science and Engineering","215","210","37290","36330"
"In post","2022","Declared non-disabled","Black","Security","100","100","32840","30480"
"In post","2022","Declared non-disabled","Black","Social Research","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Black","Statistics","45","45","39080","38160"
"In post","2022","Declared non-disabled","Black","Tax","450","440","32670","33080"
"In post","2022","Declared non-disabled","Black","Unknown","490","480","39040","34610"
"In post","2022","Declared non-disabled","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Commercial","75","75","37550","36150"
"In post","2022","Declared non-disabled","Mixed","Communications","80","75","43800","40900"
"In post","2022","Declared non-disabled","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Counter Fraud","75","70","29810","27570"
"In post","2022","Declared non-disabled","Mixed","Digital, Data and Technology","215","210","41670","40040"
"In post","2022","Declared non-disabled","Mixed","Economics","60","60","42460","40650"
"In post","2022","Declared non-disabled","Mixed","Finance","155","145","41760","38330"
"In post","2022","Declared non-disabled","Mixed","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Human Resources","150","145","40330","37640"
"In post","2022","Declared non-disabled","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Intelligence Analysis","45","45","37850","34850"
"In post","2022","Declared non-disabled","Mixed","Internal Audit","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","International Trade","35","35","50700","51970"
"In post","2022","Declared non-disabled","Mixed","Knowledge and Information Management","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Legal","220","210","50960","51470"
"In post","2022","Declared non-disabled","Mixed","Medicine","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Operational Delivery","3130","2950","29300","27570"
"In post","2022","Declared non-disabled","Mixed","Operational Research","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Other","315","300","32000","27570"
"In post","2022","Declared non-disabled","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Policy","775","760","46610","42550"
"In post","2022","Declared non-disabled","Mixed","Project Delivery","215","210","42240","40030"
"In post","2022","Declared non-disabled","Mixed","Property","70","65","35310","33060"
"In post","2022","Declared non-disabled","Mixed","Psychology","30","30","33150","29060"
"In post","2022","Declared non-disabled","Mixed","Science and Engineering","180","180","37250","34150"
"In post","2022","Declared non-disabled","Mixed","Security","60","60","35830","35680"
"In post","2022","Declared non-disabled","Mixed","Social Research","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Statistics","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Mixed","Tax","225","220","35690","33370"
"In post","2022","Declared non-disabled","Mixed","Unknown","355","345","43530","37610"
"In post","2022","Declared non-disabled","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Commercial","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Communications","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Counter Fraud","30","25","28320","27570"
"In post","2022","Declared non-disabled","Other ethnicity","Digital, Data and Technology","75","75","42500","37200"
"In post","2022","Declared non-disabled","Other ethnicity","Economics","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Finance","35","35","41060","40340"
"In post","2022","Declared non-disabled","Other ethnicity","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Human Resources","40","35","36840","33080"
"In post","2022","Declared non-disabled","Other ethnicity","Inspector of Education and Training","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Internal Audit","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","International Trade","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Legal","70","65","54060","53060"
"In post","2022","Declared non-disabled","Other ethnicity","Medicine","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Operational Delivery","905","845","29970","27570"
"In post","2022","Declared non-disabled","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Other","75","75","33630","28660"
"In post","2022","Declared non-disabled","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Policy","225","220","46410","41950"
"In post","2022","Declared non-disabled","Other ethnicity","Project Delivery","55","50","43340","40050"
"In post","2022","Declared non-disabled","Other ethnicity","Property","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Psychology","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Science and Engineering","55","55","38720","37420"
"In post","2022","Declared non-disabled","Other ethnicity","Security","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Social Research","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Statistics","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Other ethnicity","Tax","65","60","34970","33080"
"In post","2022","Declared non-disabled","Other ethnicity","Unknown","90","90","41780","40350"
"In post","2022","Declared non-disabled","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Commercial","90","90","39730","37220"
"In post","2022","Declared non-disabled","Undeclared","Communications","50","45","43420","39660"
"In post","2022","Declared non-disabled","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Undeclared","Counter Fraud","265","230","29030","27570"
"In post","2022","Declared non-disabled","Undeclared","Digital, Data and Technology","450","435","42720","40580"
