"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","HEO","135","130","33890","32620"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","SEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","AA/AO","AO","50","50","22110","21380"
"In post","2022","Declared disabled","Digital, Data and Technology","EO","EO","395","370","27530","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","G6","90","85","69570","68700"
"In post","2022","Declared disabled","Digital, Data and Technology","G6/G7","G7","315","310","54790","54270"
"In post","2022","Declared disabled","Digital, Data and Technology","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","HEO","430","410","33570","33300"
"In post","2022","Declared disabled","Digital, Data and Technology","SEO/HEO","SEO","420","405","41050","40520"
"In post","2022","Declared disabled","Digital, Data and Technology","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Economics","G6/G7","G7","35","35","57520","57620"
"In post","2022","Declared disabled","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Economics","SEO/HEO","HEO","45","45","34550","34260"
"In post","2022","Declared disabled","Economics","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","AO","105","95","22280","21730"
"In post","2022","Declared disabled","Finance","EO","EO","250","235","26880","26670"
"In post","2022","Declared disabled","Finance","G6/G7","G6","50","50","66960","66690"
"In post","2022","Declared disabled","Finance","G6/G7","G7","165","160","54990","54540"
"In post","2022","Declared disabled","Finance","SCS level","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","HEO","290","275","33660","33300"
"In post","2022","Declared disabled","Finance","SEO/HEO","SEO","225","210","40990","40580"
"In post","2022","Declared disabled","Finance","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Geography","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Geography","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","AO","130","120","22080","21760"
"In post","2022","Declared disabled","Human Resources","EO","EO","205","190","27900","27570"
"In post","2022","Declared disabled","Human Resources","G6/G7","G6","80","75","67500","66640"
"In post","2022","Declared disabled","Human Resources","G6/G7","G7","205","200","54230","54070"
"In post","2022","Declared disabled","Human Resources","SCS level","SCS level","35","35","85650","80000"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","HEO","345","330","33340","33300"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","SEO","250","240","41320","40580"
"In post","2022","Declared disabled","Human Resources","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","G6/G7","G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Inspector of Education and Training","SEO/HEO","SEO","35","30","50760","51360"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","EO","EO","155","145","28060","27380"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","HEO","80","75","34500","33630"
"In post","2022","Declared disabled","Intelligence Analysis","SEO/HEO","SEO","35","35","43010","43810"
"In post","2022","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","HEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","SEO","30","30","43870","43070"
"In post","2022","Declared disabled","International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","International Trade","EO","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","International Trade","G6/G7","G7","30","30","52900","51970"
"In post","2022","Declared disabled","International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","International Trade","SEO/HEO","HEO","30","30","33330","32120"
"In post","2022","Declared disabled","International Trade","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","AA/AO","AO","55","50","22380","21680"
"In post","2022","Declared disabled","Knowledge and Information Management","EO","EO","70","65","28100","27570"
"In post","2022","Declared disabled","Knowledge and Information Management","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Knowledge and Information Management","SEO/HEO","HEO","90","90","34310","33350"
"In post","2022","Declared disabled","Knowledge and Information Management","SEO/HEO","SEO","45","40","41710","41700"
"In post","2022","Declared disabled","Knowledge and Information Management","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Legal","AA/AO","AO","30","25","22560","21250"
"In post","2022","Declared disabled","Legal","EO","EO","125","115","28310","27130"
"In post","2022","Declared disabled","Legal","G6/G7","G6","100","90","70680","69710"
"In post","2022","Declared disabled","Legal","G6/G7","G7","435","400","56860","55610"
"In post","2022","Declared disabled","Legal","SCS level","SCS level","30","30","84040","80830"
"In post","2022","Declared disabled","Legal","SEO/HEO","HEO","160","150","35760","34480"
"In post","2022","Declared disabled","Legal","SEO/HEO","SEO","165","155","43940","41980"
"In post","2022","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicine","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Medicine","G6/G7","G6","30","30","83830","86530"
"In post","2022","Declared disabled","Medicine","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Medicine","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Operational Delivery","AA/AO","AA","1365","1175","20570","20890"
"In post","2022","Declared disabled","Operational Delivery","AA/AO","AO","10960","9530","22670","21260"
"In post","2022","Declared disabled","Operational Delivery","EO","EO","11240","10070","28080","27570"
"In post","2022","Declared disabled","Operational Delivery","G6/G7","G6","145","145","69510","66610"
"In post","2022","Declared disabled","Operational Delivery","G6/G7","G7","460","450","54860","54070"
"In post","2022","Declared disabled","Operational Delivery","SCS level","SCS level","60","60","93770","85850"
"In post","2022","Declared disabled","Operational Delivery","SEO/HEO","HEO","2585","2415","33920","33370"
"In post","2022","Declared disabled","Operational Delivery","SEO/HEO","SEO","1185","1140","42810","40940"
"In post","2022","Declared disabled","Operational Delivery","Unknown","Unknown","3325","3095","30760","28300"
"In post","2022","Declared disabled","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","G6/G7","G7","30","25","52770","52280"
"In post","2022","Declared disabled","Operational Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other","AA/AO","AA","210","195","19550","19810"
"In post","2022","Declared disabled","Other","AA/AO","AO","1085","975","21730","21260"
"In post","2022","Declared disabled","Other","EO","EO","1205","1120","27420","27570"
"In post","2022","Declared disabled","Other","G6/G7","G6","45","45","68070","65700"
"In post","2022","Declared disabled","Other","G6/G7","G7","100","95","53740","54360"
"In post","2022","Declared disabled","Other","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other","SEO/HEO","HEO","450","425","33010","33180"
"In post","2022","Declared disabled","Other","SEO/HEO","SEO","210","200","40440","40510"
"In post","2022","Declared disabled","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","G6/G7","G6","10","5","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Policy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Policy","AA/AO","AO","70","65","24480","24630"
"In post","2022","Declared disabled","Policy","EO","EO","330","320","28240","27850"
"In post","2022","Declared disabled","Policy","G6/G7","G6","300","290","66600","65520"
"In post","2022","Declared disabled","Policy","G6/G7","G7","795","770","54700","53870"
"In post","2022","Declared disabled","Policy","SCS level","SCS level","125","120","87470","78000"
"In post","2022","Declared disabled","Policy","SEO/HEO","HEO","840","815","33940","33570"
"In post","2022","Declared disabled","Policy","SEO/HEO","SEO","620","605","40510","40200"
"In post","2022","Declared disabled","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AA/AO","AO","95","75","22270","21260"
"In post","2022","Declared disabled","Project Delivery","EO","EO","150","140","27060","26820"
"In post","2022","Declared disabled","Project Delivery","G6/G7","G6","95","90","67360","67910"
"In post","2022","Declared disabled","Project Delivery","G6/G7","G7","275","265","54160","54540"
"In post","2022","Declared disabled","Project Delivery","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","HEO","415","395","33270","33300"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","SEO","420","395","40520","40520"
"In post","2022","Declared disabled","Project Delivery","Unknown","Unknown","45","45","43790","40580"
"In post","2022","Declared disabled","Property","AA/AO","AA","30","30","18150","17480"
"In post","2022","Declared disabled","Property","AA/AO","AO","50","40","22430","22010"
"In post","2022","Declared disabled","Property","EO","EO","125","120","27270","26880"
"In post","2022","Declared disabled","Property","G6/G7","G6","35","35","65730","65070"
"In post","2022","Declared disabled","Property","G6/G7","G7","85","85","54870","54240"
"In post","2022","Declared disabled","Property","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO/HEO","HEO","160","155","33480","33300"
"In post","2022","Declared disabled","Property","SEO/HEO","SEO","105","100","41970","40610"
"In post","2022","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Psychology","EO","EO","40","40","26820","27380"
"In post","2022","Declared disabled","Psychology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","SEO/HEO","HEO","45","45","30520","30450"
"In post","2022","Declared disabled","Psychology","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","AA/AO","AO","95","90","22500","22750"
"In post","2022","Declared disabled","Science and Engineering","EO","EO","175","170","26270","26370"
"In post","2022","Declared disabled","Science and Engineering","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","G6/G7","G7","130","125","52760","52290"
"In post","2022","Declared disabled","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","SEO/HEO","HEO","245","235","32720","32570"
"In post","2022","Declared disabled","Science and Engineering","SEO/HEO","SEO","255","240","41710","41340"
"In post","2022","Declared disabled","Science and Engineering","Unknown","Unknown","75","75","39840","37400"
"In post","2022","Declared disabled","Security","AA/AO","AA","145","135","20410","19810"
"In post","2022","Declared disabled","Security","AA/AO","AO","195","190","31430","29890"
"In post","2022","Declared disabled","Security","EO","EO","125","120","31890","28240"
"In post","2022","Declared disabled","Security","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Security","G6/G7","G7","30","30","[c]","[c]"
"In post","2022","Declared disabled","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO/HEO","HEO","110","105","34890","33300"
"In post","2022","Declared disabled","Security","SEO/HEO","SEO","70","65","43740","41970"
"In post","2022","Declared disabled","Security","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Social Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Declared disabled","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","SEO/HEO","HEO","45","40","32630","31320"
"In post","2022","Declared disabled","Social Research","SEO/HEO","SEO","50","45","40630","40070"
"In post","2022","Declared disabled","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","EO","EO","30","30","27970","28350"
"In post","2022","Declared disabled","Statistics","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Declared disabled","Statistics","G6/G7","G7","45","45","56280","55210"
"In post","2022","Declared disabled","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","SEO/HEO","HEO","75","75","33710","33370"
"In post","2022","Declared disabled","Statistics","SEO/HEO","SEO","65","60","40980","39950"
"In post","2022","Declared disabled","Tax","AA/AO","AO","200","180","21590","21250"
"In post","2022","Declared disabled","Tax","EO","EO","350","320","27760","26820"
"In post","2022","Declared disabled","Tax","G6/G7","G6","50","45","70000","67910"
"In post","2022","Declared disabled","Tax","G6/G7","G7","210","200","56390","55210"
"In post","2022","Declared disabled","Tax","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Tax","SEO/HEO","HEO","525","495","34400","33370"
"In post","2022","Declared disabled","Tax","SEO/HEO","SEO","225","215","41150","40520"
"In post","2022","Declared disabled","Unknown","AA/AO","AA","175","160","22290","22140"
"In post","2022","Declared disabled","Unknown","AA/AO","AO","270","250","23290","22810"
"In post","2022","Declared disabled","Unknown","EO","EO","505","485","28030","27500"
"In post","2022","Declared disabled","Unknown","G6/G7","G6","170","165","70020","69000"
"In post","2022","Declared disabled","Unknown","G6/G7","G7","415","405","55850","54700"
"In post","2022","Declared disabled","Unknown","SCS level","SCS level","75","75","88380","78970"
"In post","2022","Declared disabled","Unknown","SEO/HEO","HEO","570","560","34100","33370"
"In post","2022","Declared disabled","Unknown","SEO/HEO","SEO","400","385","42520","40810"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AA/AO","AO","170","155","21970","21380"
"In post","2022","Declared non-disabled","Commercial","EO","EO","570","540","26290","26350"
"In post","2022","Declared non-disabled","Commercial","G6/G7","G6","275","265","67800","66290"
"In post","2022","Declared non-disabled","Commercial","G6/G7","G7","535","515","53400","52300"
"In post","2022","Declared non-disabled","Commercial","SCS level","SCS level","70","70","88710","81130"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","HEO","1035","995","32600","33000"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","SEO","1190","1155","40890","40580"
"In post","2022","Declared non-disabled","Commercial","Unknown","Unknown","140","140","40260","38280"
"In post","2022","Declared non-disabled","Communications","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","AA/AO","AO","120","110","22480","21830"
"In post","2022","Declared non-disabled","Communications","EO","EO","340","325","27830","27360"
"In post","2022","Declared non-disabled","Communications","G6/G7","G6","190","180","67730","66560"
"In post","2022","Declared non-disabled","Communications","G6/G7","G7","490","470","55350","55030"
"In post","2022","Declared non-disabled","Communications","SCS level","SCS level","75","75","87450","81040"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","HEO","695","670","34340","33370"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","SEO","700","675","41730","41050"
"In post","2022","Declared non-disabled","Communications","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","EO","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","G6/G7","G7","30","30","53160","50210"
"In post","2022","Declared non-disabled","Corporate Finance","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","AA","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","AO","1120","960","22520","21260"
"In post","2022","Declared non-disabled","Counter Fraud","EO","EO","2735","2450","28170","27570"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","G6","35","35","70060","68950"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","G7","80","75","55600","54860"
"In post","2022","Declared non-disabled","Counter Fraud","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","HEO","715","680","33970","33110"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","SEO","240","230","40280","40000"
"In post","2022","Declared non-disabled","Digital, Data and Technology","AA/AO","AA","50","50","18840","17900"
"In post","2022","Declared non-disabled","Digital, Data and Technology","AA/AO","AO","370","355","22260","21580"
"In post","2022","Declared non-disabled","Digital, Data and Technology","EO","EO","2170","2060","27690","27570"
"In post","2022","Declared non-disabled","Digital, Data and Technology","G6/G7","G6","890","880","68740","67910"
"In post","2022","Declared non-disabled","Digital, Data and Technology","G6/G7","G7","2870","2820","55340","54540"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SCS level","SCS level","205","200","91170","85000"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SEO/HEO","HEO","3050","2955","33770","33300"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SEO/HEO","SEO","3375","3295","41510","40580"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","AA/AO","AO","55","55","22100","21250"
"In post","2022","Declared non-disabled","Economics","EO","EO","85","85","27110","27680"
"In post","2022","Declared non-disabled","Economics","G6/G7","G6","165","155","71110","69700"
"In post","2022","Declared non-disabled","Economics","G6/G7","G7","480","465","56410","55730"
"In post","2022","Declared non-disabled","Economics","SCS level","SCS level","75","70","92130","81390"
"In post","2022","Declared non-disabled","Economics","SEO/HEO","HEO","430","430","34490","33880"
"In post","2022","Declared non-disabled","Economics","SEO/HEO","SEO","105","100","42200","42470"
"In post","2022","Declared non-disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AA/AO","AA","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AA/AO","AO","610","545","22030","21380"
"In post","2022","Declared non-disabled","Finance","EO","EO","1620","1540","26980","26670"
"In post","2022","Declared non-disabled","Finance","G6/G7","G6","585","570","68080","67730"
"In post","2022","Declared non-disabled","Finance","G6/G7","G7","1385","1345","55380","54950"
"In post","2022","Declared non-disabled","Finance","SCS level","SCS level","250","245","88620","80680"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","HEO","2060","1990","33800","33300"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","SEO","1995","1935","41530","40580"
"In post","2022","Declared non-disabled","Finance","Unknown","Unknown","65","60","48680","41960"
"In post","2022","Declared non-disabled","Geography","AA/AO","AA","[c]","[c]","[c]","[c]"
