"Status","Year","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","Operational Delivery","Female","6225","5805","29310","28310"
"In post","2022","Black","Operational Delivery","Male","3380","3285","30150","28850"
"In post","2022","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Operational Research","Female","10","10","[c]","[c]"
"In post","2022","Black","Operational Research","Male","5","5","[c]","[c]"
"In post","2022","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Other","Female","550","530","30190","29370"
"In post","2022","Black","Other","Male","255","250","30370","28670"
"In post","2022","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","Female","5","5","[c]","[c]"
"In post","2022","Black","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Policy","Female","880","870","40060","35900"
"In post","2022","Black","Policy","Male","415","415","40640","37780"
"In post","2022","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","Female","365","355","39920","37930"
"In post","2022","Black","Project Delivery","Male","195","195","40450","37610"
"In post","2022","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","Female","100","95","37700","34640"
"In post","2022","Black","Property","Male","65","65","39370","35310"
"In post","2022","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","Female","20","20","[c]","[c]"
"In post","2022","Black","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Science and Engineering","Female","150","145","37520","38070"
"In post","2022","Black","Science and Engineering","Male","130","125","38830","37490"
"In post","2022","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","Female","40","35","34950","34090"
"In post","2022","Black","Security","Male","100","100","31220","25630"
"In post","2022","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Social Research","Female","20","20","[c]","[c]"
"In post","2022","Black","Social Research","Male","10","10","[c]","[c]"
"In post","2022","Black","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Statistics","Female","30","30","38570","38360"
"In post","2022","Black","Statistics","Male","30","30","[c]","[c]"
"In post","2022","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Tax","Female","325","315","32180","32880"
"In post","2022","Black","Tax","Male","255","255","34000","33370"
"In post","2022","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Female","410","400","38680","35430"
"In post","2022","Black","Unknown","Male","220","220","41370","37300"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Black","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","Female","70","65","37430","36000"
"In post","2022","Mixed","Commercial","Male","45","45","39410","37440"
"In post","2022","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","Female","75","70","44670","41380"
"In post","2022","Mixed","Communications","Male","40","40","40200","36780"
"In post","2022","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","Female","60","55","27750","27570"
"In post","2022","Mixed","Counter Fraud","Male","45","45","31610","31030"
"In post","2022","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data and Technology","Female","120","120","42150","40580"
"In post","2022","Mixed","Digital, Data and Technology","Male","170","165","41840","38110"
"In post","2022","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Economics","Female","35","35","43560","39640"
"In post","2022","Mixed","Economics","Male","50","50","43220","41700"
"In post","2022","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","Female","115","110","39140","35030"
"In post","2022","Mixed","Finance","Male","85","85","42510","38410"
"In post","2022","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","Female","165","155","40140","37380"
"In post","2022","Mixed","Human Resources","Male","60","60","41910","39380"
"In post","2022","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","Female","40","40","36970","33000"
"In post","2022","Mixed","Intelligence Analysis","Male","20","20","[c]","[c]"
"In post","2022","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Female","10","10","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Male","5","5","[c]","[c]"
"In post","2022","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","International Trade","Female","25","25","[c]","[c]"
"In post","2022","Mixed","International Trade","Male","25","25","[c]","[c]"
"In post","2022","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Female","15","15","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Male","15","15","[c]","[c]"
"In post","2022","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Legal","Female","190","175","51350","52290"
"In post","2022","Mixed","Legal","Male","110","105","50160","49580"
"In post","2022","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Medicine","Female","25","25","[c]","[c]"
"In post","2022","Mixed","Medicine","Male","15","15","[c]","[c]"
"In post","2022","Mixed","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Operational Delivery","Female","2675","2455","28810","27570"
"In post","2022","Mixed","Operational Delivery","Male","1700","1650","30310","27570"
"In post","2022","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Operational Research","Female","5","5","[c]","[c]"
"In post","2022","Mixed","Operational Research","Male","10","10","[c]","[c]"
"In post","2022","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Other","Female","275","260","31020","27570"
"In post","2022","Mixed","Other","Male","170","165","31940","27570"
"In post","2022","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Policy","Female","630","610","44680","40720"
"In post","2022","Mixed","Policy","Male","450","445","47440","45160"
"In post","2022","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Project Delivery","Female","150","145","41580","38600"
"In post","2022","Mixed","Project Delivery","Male","125","120","43370","40350"
"In post","2022","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Property","Female","45","45","34710","31950"
"In post","2022","Mixed","Property","Male","45","45","37500","36050"
"In post","2022","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","Female","35","35","35690","29750"
"In post","2022","Mixed","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Science and Engineering","Female","95","90","35880","33770"
"In post","2022","Mixed","Science and Engineering","Male","135","130","39050","38070"
"In post","2022","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Security","Female","30","30","37070","36270"
"In post","2022","Mixed","Security","Male","70","70","35620","34290"
"In post","2022","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","Female","25","25","[c]","[c]"
"In post","2022","Mixed","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Statistics","Female","20","20","[c]","[c]"
"In post","2022","Mixed","Statistics","Male","20","20","[c]","[c]"
"In post","2022","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Tax","Female","145","140","33670","33080"
"In post","2022","Mixed","Tax","Male","145","140","37750","33370"
"In post","2022","Mixed","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Female","295","285","41020","36130"
"In post","2022","Mixed","Unknown","Male","210","210","46080","40180"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Female","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Male","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Male","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Female","25","20","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Male","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Digital, Data and Technology","Female","35","35","40630","37450"
"In post","2022","Other ethnicity","Digital, Data and Technology","Male","65","65","45090","39910"
"In post","2022","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Economics","Female","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Economics","Male","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Finance","Female","30","25","[c]","[c]"
"In post","2022","Other ethnicity","Finance","Male","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","Female","40","35","32380","29430"
"In post","2022","Other ethnicity","Human Resources","Male","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","Male","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","Male","5","5","[c]","[c]"
"In post","2022","Other ethnicity","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Legal","Female","55","50","52890","52890"
"In post","2022","Other ethnicity","Legal","Male","35","35","53340","50500"
"In post","2022","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","Male","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Delivery","Female","710","645","29600","27740"
"In post","2022","Other ethnicity","Operational Delivery","Male","550","535","30920","28550"
"In post","2022","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Other","Female","60","60","34450","29430"
"In post","2022","Other ethnicity","Other","Male","60","60","40410","31770"
"In post","2022","Other ethnicity","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Policy","Female","165","160","44670","40050"
"In post","2022","Other ethnicity","Policy","Male","155","155","47100","48920"
"In post","2022","Other ethnicity","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Project Delivery","Female","35","30","37010","34960"
"In post","2022","Other ethnicity","Project Delivery","Male","35","35","48720","48710"
"In post","2022","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Property","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Property","Male","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","Female","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Science and Engineering","Female","35","30","40360","35900"
"In post","2022","Other ethnicity","Science and Engineering","Male","55","55","41930","40930"
"In post","2022","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Security","Female","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Security","Male","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","Female","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","Female","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","Male","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Tax","Female","40","40","35090","33220"
"In post","2022","Other ethnicity","Tax","Male","45","45","37110","33370"
"In post","2022","Other ethnicity","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Female","75","70","41640","36650"
"In post","2022","Other ethnicity","Unknown","Male","50","50","42610","35850"
"In post","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Commercial","Female","105","100","39270","37590"
"In post","2022","Undeclared","Commercial","Male","140","140","41410","38980"
"In post","2022","Undeclared","Communications","Female","50","45","40750","39660"
"In post","2022","Undeclared","Communications","Male","60","60","42280","39980"
