"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Legal","G6/G7","535","490","59470","57400"
"In post","2022","Declared disabled","Legal","SCS level","30","30","84040","80830"
"In post","2022","Declared disabled","Legal","SEO/HEO","325","305","39930","40000"
"In post","2022","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Medicine","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Medicine","G6/G7","45","40","78520","80540"
"In post","2022","Declared disabled","Medicine","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Medicine","SEO/HEO","35","35","40920","39630"
"In post","2022","Declared disabled","Operational Delivery","AA/AO","12325","10710","22440","21260"
"In post","2022","Declared disabled","Operational Delivery","EO","11240","10070","28080","27570"
"In post","2022","Declared disabled","Operational Delivery","G6/G7","610","590","58400","55210"
"In post","2022","Declared disabled","Operational Delivery","SCS level","60","60","93770","85850"
"In post","2022","Declared disabled","Operational Delivery","SEO/HEO","3770","3555","36710","35120"
"In post","2022","Declared disabled","Operational Delivery","Unknown","3325","3095","30760","28300"
"In post","2022","Declared disabled","Operational Research","AA/AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","G6/G7","35","30","55410","55670"
"In post","2022","Declared disabled","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Operational Research","SEO/HEO","45","40","37340","38070"
"In post","2022","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other","AA/AO","1295","1170","21380","21260"
"In post","2022","Declared disabled","Other","EO","1205","1120","27420","27570"
"In post","2022","Declared disabled","Other","G6/G7","145","140","58250","56730"
"In post","2022","Declared disabled","Other","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Other","SEO/HEO","660","630","35370","34290"
"In post","2022","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Policy","AA/AO","75","70","24240","24370"
"In post","2022","Declared disabled","Policy","EO","330","320","28240","27850"
"In post","2022","Declared disabled","Policy","G6/G7","1095","1060","57970","55620"
"In post","2022","Declared disabled","Policy","SCS level","125","120","87470","78000"
"In post","2022","Declared disabled","Policy","SEO/HEO","1460","1420","36730","36340"
"In post","2022","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AA/AO","95","80","22220","21260"
"In post","2022","Declared disabled","Project Delivery","EO","150","140","27060","26820"
"In post","2022","Declared disabled","Project Delivery","G6/G7","365","360","57540","55210"
"In post","2022","Declared disabled","Project Delivery","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","835","790","36910","36730"
"In post","2022","Declared disabled","Project Delivery","Unknown","45","45","43790","40580"
"In post","2022","Declared disabled","Property","AA/AO","80","70","20750","21300"
"In post","2022","Declared disabled","Property","EO","125","120","27270","26880"
"In post","2022","Declared disabled","Property","G6/G7","120","115","57910","56460"
"In post","2022","Declared disabled","Property","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO/HEO","265","255","36860","34270"
"In post","2022","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Psychology","EO","40","40","26820","27380"
"In post","2022","Declared disabled","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Psychology","SEO/HEO","70","70","35830","31180"
"In post","2022","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","AA/AO","105","105","22240","22450"
"In post","2022","Declared disabled","Science and Engineering","EO","175","170","26270","26370"
"In post","2022","Declared disabled","Science and Engineering","G6/G7","150","145","54700","53750"
"In post","2022","Declared disabled","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Science and Engineering","SEO/HEO","500","475","37280","37730"
"In post","2022","Declared disabled","Science and Engineering","Unknown","75","75","39840","37400"
"In post","2022","Declared disabled","Security","AA/AO","340","325","26770","22410"
"In post","2022","Declared disabled","Security","EO","125","120","31890","28240"
"In post","2022","Declared disabled","Security","G6/G7","40","40","57860","58900"
"In post","2022","Declared disabled","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO/HEO","180","175","38270","36480"
"In post","2022","Declared disabled","Security","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","G6/G7","30","30","55490","53540"
"In post","2022","Declared disabled","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Social Research","SEO/HEO","95","85","36760","37880"
"In post","2022","Declared disabled","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","EO","30","30","27970","28350"
"In post","2022","Declared disabled","Statistics","G6/G7","65","65","59500","59770"
"In post","2022","Declared disabled","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Statistics","SEO/HEO","140","135","37010","37610"
"In post","2022","Declared disabled","Tax","AA/AO","200","180","21590","21250"
"In post","2022","Declared disabled","Tax","EO","350","320","27760","26820"
"In post","2022","Declared disabled","Tax","G6/G7","260","245","58950","55210"
"In post","2022","Declared disabled","Tax","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Tax","SEO/HEO","750","710","36410","33430"
"In post","2022","Declared disabled","Unknown","AA/AO","445","415","22900","22140"
"In post","2022","Declared disabled","Unknown","EO","505","485","28030","27500"
"In post","2022","Declared disabled","Unknown","G6/G7","585","570","59950","57570"
"In post","2022","Declared disabled","Unknown","SCS level","75","75","88380","78970"
"In post","2022","Declared disabled","Unknown","SEO/HEO","970","945","37560","36130"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Veterinarian","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AA/AO","180","165","21940","21260"
"In post","2022","Declared non-disabled","Commercial","EO","570","540","26290","26350"
"In post","2022","Declared non-disabled","Commercial","G6/G7","810","785","58270","55390"
"In post","2022","Declared non-disabled","Commercial","SCS level","70","70","88710","81130"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","2225","2150","37040","36780"
"In post","2022","Declared non-disabled","Commercial","Unknown","140","140","40260","38280"
"In post","2022","Declared non-disabled","Communications","AA/AO","125","120","22320","21660"
"In post","2022","Declared non-disabled","Communications","EO","340","325","27830","27360"
"In post","2022","Declared non-disabled","Communications","G6/G7","680","655","58790","57430"
"In post","2022","Declared non-disabled","Communications","SCS level","75","75","87450","81040"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","1395","1345","38050","38000"
"In post","2022","Declared non-disabled","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","G6/G7","45","40","57660","57000"
"In post","2022","Declared non-disabled","Corporate Finance","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Corporate Finance","SEO/HEO","50","45","38260","38070"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","1135","975","22480","21260"
"In post","2022","Declared non-disabled","Counter Fraud","EO","2735","2450","28170","27570"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","110","110","59990","58700"
"In post","2022","Declared non-disabled","Counter Fraud","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","950","905","35550","34290"
"In post","2022","Declared non-disabled","Digital, Data and Technology","AA/AO","420","405","21850","21380"
"In post","2022","Declared non-disabled","Digital, Data and Technology","EO","2170","2060","27690","27570"
"In post","2022","Declared non-disabled","Digital, Data and Technology","G6/G7","3760","3695","58510","57020"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SCS level","205","200","91170","85000"
"In post","2022","Declared non-disabled","Digital, Data and Technology","SEO/HEO","6425","6255","37830","37300"
"In post","2022","Declared non-disabled","Digital, Data and Technology","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Economics","AA/AO","55","55","22100","21250"
"In post","2022","Declared non-disabled","Economics","EO","85","85","27110","27680"
"In post","2022","Declared non-disabled","Economics","G6/G7","645","620","60130","57830"
"In post","2022","Declared non-disabled","Economics","SCS level","75","70","92130","81390"
"In post","2022","Declared non-disabled","Economics","SEO/HEO","535","530","35980","34710"
"In post","2022","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AA/AO","635","570","21930","21380"
"In post","2022","Declared non-disabled","Finance","EO","1620","1540","26980","26670"
"In post","2022","Declared non-disabled","Finance","G6/G7","1970","1915","59150","57540"
"In post","2022","Declared non-disabled","Finance","SCS level","250","245","88620","80680"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","4055","3925","37600","36650"
"In post","2022","Declared non-disabled","Finance","Unknown","65","60","48680","41960"
"In post","2022","Declared non-disabled","Geography","AA/AO","40","35","20430","20420"
"In post","2022","Declared non-disabled","Geography","EO","90","85","27460","26740"
"In post","2022","Declared non-disabled","Geography","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Geography","SEO/HEO","160","150","35560","33290"
"In post","2022","Declared non-disabled","Human Resources","AA/AO","800","735","21960","21380"
"In post","2022","Declared non-disabled","Human Resources","EO","1090","1010","27250","26900"
"In post","2022","Declared non-disabled","Human Resources","G6/G7","1490","1440","58050","56800"
"In post","2022","Declared non-disabled","Human Resources","SCS level","160","155","86670","79480"
"In post","2022","Declared non-disabled","Human Resources","SEO/HEO","2865","2730","36560","35980"
"In post","2022","Declared non-disabled","Human Resources","Unknown","30","30","42740","41040"
"In post","2022","Declared non-disabled","Inspector of Education and Training","G6/G7","485","480","75580","75500"
"In post","2022","Declared non-disabled","Inspector of Education and Training","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Inspector of Education and Training","SEO/HEO","305","295","50190","51360"
"In post","2022","Declared non-disabled","Intelligence Analysis","AA/AO","90","80","23450","21960"
"In post","2022","Declared non-disabled","Intelligence Analysis","EO","1145","1080","27630","27370"
"In post","2022","Declared non-disabled","Intelligence Analysis","G6/G7","165","165","59330","58230"
"In post","2022","Declared non-disabled","Intelligence Analysis","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Intelligence Analysis","SEO/HEO","895","875","36840","36140"
"In post","2022","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","EO","30","30","27580","26670"
"In post","2022","Declared non-disabled","Internal Audit","G6/G7","155","150","58040","56490"
"In post","2022","Declared non-disabled","Internal Audit","SCS level","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","SEO/HEO","355","335","40620","40550"
"In post","2022","Declared non-disabled","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","International Trade","EO","55","55","27620","26820"
"In post","2022","Declared non-disabled","International Trade","G6/G7","370","365","56580","54500"
"In post","2022","Declared non-disabled","International Trade","SCS level","70","70","83240","75310"
"In post","2022","Declared non-disabled","International Trade","SEO/HEO","375","375","36230","37930"
"In post","2022","Declared non-disabled","Knowledge and Information Management","AA/AO","245","235","22360","21380"
"In post","2022","Declared non-disabled","Knowledge and Information Management","EO","420","395","27700","27570"
"In post","2022","Declared non-disabled","Knowledge and Information Management","G6/G7","220","215","57790","56120"
"In post","2022","Declared non-disabled","Knowledge and Information Management","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Knowledge and Information Management","SEO/HEO","745","720","36700","36460"
"In post","2022","Declared non-disabled","Knowledge and Information Management","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Legal","AA/AO","150","135","22370","22080"
"In post","2022","Declared non-disabled","Legal","EO","1105","1065","28370","26970"
"In post","2022","Declared non-disabled","Legal","G6/G7","4450","4115","59660","58590"
"In post","2022","Declared non-disabled","Legal","SCS level","295","285","87650","82720"
"In post","2022","Declared non-disabled","Legal","SEO/HEO","2550","2390","40140","39320"
"In post","2022","Declared non-disabled","Legal","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Medicine","AA/AO","210","195","23540","23280"
"In post","2022","Declared non-disabled","Medicine","EO","205","185","32010","31530"
"In post","2022","Declared non-disabled","Medicine","G6/G7","465","400","74060","75970"
"In post","2022","Declared non-disabled","Medicine","SCS level","165","145","101110","100400"
"In post","2022","Declared non-disabled","Medicine","SEO/HEO","490","445","40190","39030"
"In post","2022","Declared non-disabled","Operational Delivery","AA/AO","65850","58550","22920","21410"
"In post","2022","Declared non-disabled","Operational Delivery","EO","57420","52530","27890","27570"
"In post","2022","Declared non-disabled","Operational Delivery","G6/G7","5560","5420","58600","55300"
"In post","2022","Declared non-disabled","Operational Delivery","SCS level","585","570","89300","82270"
"In post","2022","Declared non-disabled","Operational Delivery","SEO/HEO","26465","25230","36780","35200"
"In post","2022","Declared non-disabled","Operational Delivery","Unknown","11905","11085","30540","28200"
"In post","2022","Declared non-disabled","Operational Research","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","EO","30","30","28150","26800"
"In post","2022","Declared non-disabled","Operational Research","G6/G7","410","390","55190","54460"
"In post","2022","Declared non-disabled","Operational Research","SCS level","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Operational Research","SEO/HEO","405","395","36990","38070"
"In post","2022","Declared non-disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Other","AA/AO","7185","6665","21280","21260"
"In post","2022","Declared non-disabled","Other","EO","6090","5770","27130","27570"
"In post","2022","Declared non-disabled","Other","G6/G7","1475","1425","60510","57460"
"In post","2022","Declared non-disabled","Other","SCS level","235","225","97530","88110"
"In post","2022","Declared non-disabled","Other","SEO/HEO","4660","4495","35820","35010"
"In post","2022","Declared non-disabled","Other","Unknown","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","AA/AO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","G6/G7","60","60","58160","57110"
"In post","2022","Declared non-disabled","Planning","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Planning","SEO/HEO","85","80","39130","39100"
"In post","2022","Declared non-disabled","Planning Inspectors","G6/G7","260","230","57120","58810"
"In post","2022","Declared non-disabled","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Policy","AA/AO","440","425","23880","24340"
"In post","2022","Declared non-disabled","Policy","EO","1730","1670","28320","28310"
"In post","2022","Declared non-disabled","Policy","G6/G7","9150","8850","58340","57200"
"In post","2022","Declared non-disabled","Policy","SCS level","1470","1415","84840","77650"
"In post","2022","Declared non-disabled","Policy","SEO/HEO","9600","9345","37430","37000"
"In post","2022","Declared non-disabled","Policy","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Project Delivery","AA/AO","320","270","21980","21260"
"In post","2022","Declared non-disabled","Project Delivery","EO","980","920","26820","26750"
"In post","2022","Declared non-disabled","Project Delivery","G6/G7","3495","3400","57590","55210"
"In post","2022","Declared non-disabled","Project Delivery","SCS level","295","290","89820","83920"
"In post","2022","Declared non-disabled","Project Delivery","SEO/HEO","6015","5785","37230","37610"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","370","360","44890","41020"
"In post","2022","Declared non-disabled","Property","AA/AO","600","560","20480","21170"
"In post","2022","Declared non-disabled","Property","EO","985","920","27430","26950"
"In post","2022","Declared non-disabled","Property","G6/G7","1105","1075","58680","57600"
"In post","2022","Declared non-disabled","Property","SCS level","70","70","88430","80190"
"In post","2022","Declared non-disabled","Property","SEO/HEO","2430","2330","37820","36500"
"In post","2022","Declared non-disabled","Property","Unknown","40","40","22810","24080"
"In post","2022","Declared non-disabled","Psychology","AA/AO","50","45","21350","21140"
"In post","2022","Declared non-disabled","Psychology","EO","280","275","26480","26590"
"In post","2022","Declared non-disabled","Psychology","G6/G7","100","95","65650","65520"
"In post","2022","Declared non-disabled","Psychology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Psychology","SEO/HEO","680","650","37170","33900"
"In post","2022","Declared non-disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Science and Engineering","AA/AO","790","775","21630","21800"
"In post","2022","Declared non-disabled","Science and Engineering","EO","1395","1365","26170","26370"
"In post","2022","Declared non-disabled","Science and Engineering","G6/G7","2425","2310","55470","54410"
"In post","2022","Declared non-disabled","Science and Engineering","SCS level","65","60","93530","89300"
"In post","2022","Declared non-disabled","Science and Engineering","SEO/HEO","5230","5030","36920","38070"
"In post","2022","Declared non-disabled","Science and Engineering","Unknown","560","555","40900","38450"
"In post","2022","Declared non-disabled","Security","AA/AO","3400","3320","26140","21960"
"In post","2022","Declared non-disabled","Security","EO","705","685","33230","29200"
"In post","2022","Declared non-disabled","Security","G6/G7","350","345","59540","58240"
"In post","2022","Declared non-disabled","Security","SCS level","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Security","SEO/HEO","1320","1290","39270","37590"
"In post","2022","Declared non-disabled","Security","Unknown","130","130","32970","29640"
"In post","2022","Declared non-disabled","Social Research","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Social Research","EO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Social Research","G6/G7","275","260","58130","57460"
"In post","2022","Declared non-disabled","Social Research","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Social Research","SEO/HEO","510","490","36790","37610"
"In post","2022","Declared non-disabled","Statistics","AA/AO","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Statistics","EO","160","155","28160","28310"
"In post","2022","Declared non-disabled","Statistics","G6/G7","575","545","58490","59100"
"In post","2022","Declared non-disabled","Statistics","SCS level","40","40","82520","77960"
"In post","2022","Declared non-disabled","Statistics","SEO/HEO","810","780","37630","37860"
"In post","2022","Declared non-disabled","Tax","AA/AO","1550","1455","21380","21250"
"In post","2022","Declared non-disabled","Tax","EO","2655","2505","27360","26820"
"In post","2022","Declared non-disabled","Tax","G6/G7","2105","2015","59570","55210"
"In post","2022","Declared non-disabled","Tax","SCS level","70","65","82160","78810"
"In post","2022","Declared non-disabled","Tax","SEO/HEO","5215","4985","36200","33370"
"In post","2022","Declared non-disabled","Unknown","AA/AO","2530","2405","23250","22810"
"In post","2022","Declared non-disabled","Unknown","EO","3085","2995","28240","27500"
"In post","2022","Declared non-disabled","Unknown","G6/G7","4440","4315","61200","60640"
"In post","2022","Declared non-disabled","Unknown","SCS level","760","745","95960","84740"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","6420","6245","38020","37300"
"In post","2022","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","G6/G7","105","100","54910","54340"
"In post","2022","Declared non-disabled","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinarian","SEO/HEO","195","185","40170","37910"
"In post","2022","Undeclared","Commercial","AA/AO","10","10","[c]","[c]"
"In post","2022","Undeclared","Commercial","EO","45","40","27450","26740"
